atom_type,nonb,bond,angle,torsion,oop
Ac,Ac,c,c,c,c
Ag,Ag,c,c,c,c
Al,Al,Al,Al,Al,Al
Alcu,Alcu,Alcu,Alcu,Alcu,Alcu
Au,Au,c,c,c,c
Auc,Auc,Auc,c,c,c
Aue,Aue,Aue,c,c,c
Br,Br,Br,Br,Br,Br
CA,CA,CA,CA,CA,CA
CT3,CT3,CT3,CT3,CT3,CT3
Ca,Ca,c,c,c,c
Ce,Ce,c,c,c,c
Cr,Cr,Cr,Cr,Cr,Cr
Cu,Cu,c,c,c,c
Cual,Cual,Cual,Cual,Cual,Cual
Es,Es,c,c,c,c
Fe,Fe,c,c,c,c
HA3,HA3,HA3,HA3,HA3,HA3
IHOY,IHOY,IHOY,IHOY,IHOY,IHOY
Ir,Ir,c,c,c,c
K,K,c,c,c,c
Li,Li,c,c,c,c
Mo,Mo,c,c,c,c
NCH2,NCH2,NCH2,NCH2,NCH2,NCH2
NN,NN,NN,NN,NN,NN
Na,Na,Na,Na,Na,Na
Ni,Ni,Ni,Ni,Ni,Ni
Ni2,Ni2,Ni2,Ni2,Ni2,Ni2
OC,OC,OC,OC,OC,OC
Pb,Pb,c,c,c,c
Pd,Pd,c,c,c,c
Pt,Pt,c,c,c,c
Rh,Rh,c,c,c,c
S,S,S,S,S,S
Sn,Sn,c,c,c,c
Sr,Sr,c,c,c,c
Th,Th,c,c,c,c
W,W,c,c,c,c
Yb,Yb,c,c,c,c
ac1,ac1,ac1,ac1,ac1,sc4
al,sz,al,si,si,si
alo1,alo1,alo1,alo1,alo1,alo1
aot1,aot1,aot1,aot1,aot1,aot1
aot2,aot2,aot2,aot2,aot2,aot2
aot3,aot3,aot3,aot3,aot3,aot3
aot4,aot4,aot4,aot4,aot4,aot4
ar,ar,ar,ar,ar,ar
ato1,ato1,ato1,ato1,ato1,ato1
ato2,ato2,ato2,ato2,ato2,ato2
ato3,ato3,ato3,ato3,ato3,ato3
atoh,atoh,atoh,atoh,atoh,atoh
ay1,ay1,ay1,ay1,ay1,ay1
ay2,ay1,ay2,ay2,ay2,ay2
ayt1,ayt1,sy1,sy1,sy1,sy1
ayt2,ayt1,sy2,sy2,sy2,sy2
az,sz,az,sz,sz,sz
ba2+,ba2+,ba2+,ba2+,ba2+,ba2+
be2+,be2+,be2+,be2+,be2+,be2+
br,br,br,br,br,br
br-,br-,br-,br-,br-,br-
c,cg,c,c,c,c
"c""",c',c',c',c',c'
c$,c$,c$,c$,c$,c$
c',c',c',c',c',c'
c*,c',c',c',c',c'
c+,c',cr,c',cr,c'
c-,c',c',c',c',c'
c1,cg,c,c,c,c
c2,cg,c,c,c,c
c3,cg,c,c,c,c
c3h,cg,c,c,c,c
c3m,cg,c,c,c,c
c4h,cg,c,c,c,c
c4m,cg,c,c,c,c
c5,c',c5,c5,cp,cp
c=,c',c=,c=,c=,c=
c=1,c',c=1,c=,c=1,c=
c=2,c',c=2,c=,c=2,c=
ca,cg,c,c,c,c
ca+,ca+,ca+,ca+,ca+,ca+
ca++,ca++,ca++,ca++,ca++,ca++
ca+a,ca+a,ca+a,ca+a,ca+a,ca+a
ca+h,ca+h,ca+h,ca+h,ca+h,ca+h
ca2+,ca2+,ca2+,ca2+,ca2+,ca2+
cae,cae,cae,cae,cae,cae
ce1,ce1,ce1,ce1,ce1,ce1
cg,cg,c,c,c,c
cg1,cg1,cg1,cg1,cg1,cg1
cge,cge,cge,cge,cge,cge
ci,c',ci,c5,cp,cp
cl,cl,cl,cl,cl,cl
cl-,cl-,cl-,cl-,cl-,cl-
cn,cg,c,c,c,c
co,cg,c,c,c,c
coh,cg,c,c,c,c
cp,c',cp,cp,cp,cp
cr,c',cr,c',cr,c'
cs,c',cs,cs,cs,cs
cs+,cs+,cs+,cs+,cs+,cs+
ct,c',ct,ct,ct,ct
d,h,h,h,h,h
dw,h*,h*,h*,h*,h*
et5,et5,et5,et5,et5,et5
f,f,f,f,f,f
f-,f-,f-,f-,f-,f-
fft1,fft1,fft1,fft1,fft1,fft1
fft2,fft2,fft2,fft2,fft2,fft2
fft3,fft3,fft3,fft3,fft3,fft3
ffz1,ffz1,ffz1,ffz1,ffz1,ffz1
ffz2,ffz2,ffz2,ffz2,ffz2,ffz2
ffz3,ffz3,ffz3,ffz3,ffz3,ffz3
h,h,h,h,h,h
h$,h$,h$,h$,h$,h$
h*,h*,h*,h*,h*,h*
h+,hn,hn,hn,hn,hn
ha1,ha1,ha1,ha1,ha1,ha1
hc,h,h,h,h,h
he,he,he,he,he,he
he1,he1,he1,he1,he1,he1
