t1,t2,delta_ij,delta_ji
no,o-,0.16839999999999999,-0.16839999999999999
no,cp,-0.1792,0.1792
c',cp,-0.1792,0.1792
c,cr,0,0
c,ci,0,0
c,n1,0.10000000000000001,-0.10000000000000001
c,s1,-0.10000000000000001,0.10000000000000001
c',o-,0.070000000000000007,-0.56999999999999995
ci,h,-0.23000000000000001,0.23000000000000001
ci,ci,0,0
ci,ni,0.32000000000000001,-0.070000000000000007
cr,n,0.38,-0.38
cr,n1,0.5,0
cr,n2,0,0
cr,n=,0.40000000000000002,-0.40000000000000002
n,hn,-0.28000000000000003,0.28000000000000003
n,lp,0,0
n1,hn,0,0.5
n1,lp,0,0
n2,hn,-0.28000000000000003,0.28000000000000003
n2,lp,0,0
n3,hn,-0.14000000000000001,0.14000000000000001
n3,lp,0,0
n4,hn,-0.11,0.35999999999999999
n4,lp,0,0
np,hn,-0.28000000000000003,0.28000000000000003
np,lp,0,0
ni,hn,-0.35999999999999999,0.35999999999999999
ni,lp,0,0
o,ho,-0.2233,0.2233
o,lp,0,0
oh,ho,-0.34999999999999998,0.34999999999999998
oh,lp,0,0
o*,h*,-0.40999999999999998,0.40999999999999998
ospc,hspc,-0.40999999999999998,0.40999999999999998
otip,htip,-0.41699999999999998,0.41699999999999998
o*,lp,0,0
o-,p,-0.84999999999999998,0.34999999999999998
s-,p,-0.68240000000000001,0.18240000000000001
oz,sz,-0.14999999999999999,0.14999999999999999
sh,hs,-0.10000000000000001,0.10000000000000001
sh,lp,0,0
s1,s1,0,0
h,p,0.10000000000000001,-0.10000000000000001
h,sz,0.02,-0.02
d,d,0,0
p,lp,0,0
f,lp,0,0
cl,lp,0,0
br,lp,0,0
c,c,0,0
c,c',0,0
c,cp,0,0
c,c5,0,0
c,cs,0,0
c,c=,0.10000000000000001,-0.10000000000000001
c,c=1,0.10000000000000001,-0.10000000000000001
c,c=2,0.10000000000000001,-0.10000000000000001
c,c-,0.086499999999999994,-0.086499999999999994
c,ct,0.040000000000000001,-0.040000000000000001
c,n3,0.22,-0.22
c,n,0.22,-0.22
c,n2,0,0
c,n=,0.11,-0.11
c,n=1,0.11,-0.11
c,n=2,0.11,-0.11
c,np,0.11,-0.11
c,n4,0.41999999999999998,-0.17000000000000001
c,nt,0.10000000000000001,-0.10000000000000001
c,nz,0.36399999999999999,-0.36399999999999999
c,o,0.14999999999999999,-0.14999999999999999
c,oh,0.029999999999999999,-0.029999999999999999
c,oz,0.17419999999999999,-0.17419999999999999
c,op,0.3957,-0.3957
c,s,-0.050000000000000003,0.050000000000000003
c,sh,-0.10000000000000001,0.10000000000000001
c,sp,0.11799999999999999,-0.11799999999999999
c,s',0.11799999999999999,-0.11799999999999999
c,p,-0.0785,0.0785
c,h,-0.10000000000000001,0.10000000000000001
c,f,0.27500000000000002,-0.27500000000000002
c,cl,0.22600000000000001,-0.22600000000000001
c,br,0.192,-0.192
c,i,0.112,-0.112
c,si,0,0
c',c',0,0
c',c5,0,0
c',cs,0,0
c',c=,0,0
c',c=1,0,0
c',c=2,0,0
c',c-,-0.1368,0.1368
c',ct,-0.092700000000000005,0.092700000000000005
c',n3,-0.044200000000000003,0.044200000000000003
c',n,0,0
c',n2,0,0
c',n=,0.036200000000000003,-0.036200000000000003
c',n=1,0.036200000000000003,-0.036200000000000003
c',n=2,0.036200000000000003,-0.036200000000000003
c',np,0.036200000000000003,-0.036200000000000003
c',n4,0.1331,0.1169
c',nt,0.1641,-0.1641
c',o,0.029999999999999999,-0.029999999999999999
c',oh,0.029999999999999999,-0.029999999999999999
c',oz,-0.0135,0.0135
c',op,0.029999999999999999,-0.029999999999999999
c',o',0.38,-0.38
c',s,-0.15279999999999999,0.15279999999999999
c',sh,-0.20330000000000001,0.20330000000000001
c',sp,-0.1079,0.1079
c',s',0,0
c',p,-0.32829999999999998,0.32829999999999998
c',h,-0.2132,0.2132
c',f,0.1116,-0.1116
c',cl,-0.059400000000000001,0.059400000000000001
c',br,-0.1152,0.1152
c',i,-0.12909999999999999,0.12909999999999999
c',si,-0.4405,0.4405
cp,cp,0,0
cp,c5,0,0
cp,cs,0,0
cp,c=,0,0
cp,c=1,0,0
cp,c=2,0,0
cp,c-,0.0424,-0.0424
cp,ct,0.085199999999999998,-0.085199999999999998
cp,n3,0.1216,-0.1216
cp,n,0.11,-0.11
cp,n2,0.105,-0.105
cp,n=,0.1993,-0.1993
cp,n=1,0.1993,-0.1993
cp,n=2,0.1993,-0.1993
cp,np,0.11,-0.11
cp,n4,0.2989,-0.048899999999999999
cp,nt,0.32300000000000001,-0.32300000000000001
cp,o,0.028199999999999999,-0.028199999999999999
cp,oh,0.029999999999999999,-0.029999999999999999
cp,oz,0.13669999999999999,-0.13669999999999999
cp,op,0.35830000000000001,-0.35830000000000001
cp,o',0.35830000000000001,-0.35830000000000001
cp,s,0.028199999999999999,-0.028199999999999999
cp,sh,-0.022200000000000001,0.022200000000000001
cp,sp,0.073200000000000001,-0.073200000000000001
cp,s',0.073200000000000001,-0.073200000000000001
cp,p,-0.12670000000000001,0.12670000000000001
cp,h,-0.10000000000000001,0.10000000000000001
cp,f,0.13,-0.13
cp,cl,0.10199999999999999,-0.10199999999999999
cp,br,0.080000000000000002,-0.080000000000000002
cp,i,0.064199999999999993,-0.064199999999999993
cp,si,-0.22700000000000001,0.22700000000000001
c5,c5,0,0
c5,cs,0,0
c5,c=,0,0
c5,c=1,0,0
c5,c=2,0,0
c5,c-,0.0424,-0.0424
c5,ct,0.085199999999999998,-0.085199999999999998
c5,n3,0.1216,-0.1216
c5,n,0.11,-0.11
c5,n2,0.1993,-0.1993
c5,n=,0.1993,-0.1993
c5,n=1,0.1993,-0.1993
c5,n=2,0.1993,-0.1993
c5,np,0.14000000000000001,-0.14000000000000001
