t1,t2,t3,t4,style,kphi,n,phi0,source
*,ac1,oc3,*,torsion_1,0,2,0,cvff
*,ac1,oc4,*,torsion_1,0,2,0,cvff
*,ay1,oy4,*,torsion_1,0,2,0,cvff
*,ay1,oy5,*,torsion_1,0,2,0,cvff
*,ay1,oy6,*,torsion_1,0,2,0,cvff
*,ay1,oy7,*,torsion_1,0,2,0,cvff
*,ay1,oy8,*,torsion_1,0,2,0,cvff
*,ay1,oy9,*,torsion_1,0,2,0,cvff
*,ay2,oy4,*,torsion_1,0,2,0,cvff
*,ay2,oy5,*,torsion_1,0,2,0,cvff
*,ay2,oy6,*,torsion_1,0,2,0,cvff
*,ay2,oy7,*,torsion_1,0,2,0,cvff
*,ay2,oy8,*,torsion_1,0,2,0,cvff
*,ay2,oy9,*,torsion_1,0,2,0,cvff
*,ayt1,oc23,*,torsion_1,0,2,0,cvff
*,ayt2,oc23,*,torsion_1,0,2,0,cvff
*,c,c,*,torsion_1,1.4225000000000001,3,0,cvff
*,c,c',*,torsion_1,0,0,0,cvff
*,c,c=,*,torsion_1,1.266,3,0,cvff
*,c,c=1,*,torsion_1,1.266,3,0,cvff
*,c,c=2,*,torsion_1,1.266,3,0,cvff
*,c,cp,*,torsion_1,0,2,0,cvff
*,c,ct,*,torsion_1,0,0,0,cvff
*,c,n,*,torsion_1,0,0,0,cvff
*,c,n2,*,torsion_1,0,0,0,cvff
*,c,n3,*,torsion_1,0.80000000000000004,3,0,cvff
*,c,np,*,torsion_1,0,0,0,cvff
*,c,nt,*,torsion_1,0,0,0,cvff
*,c,o,*,torsion_1,0.39000000000000001,3,0,cvff
*,c,of,*,torsion_1,0.39000000000000001,3,0,cvff
*,c,s,*,torsion_1,0.41999999999999998,3,0,cvff
*,c,sh,*,torsion_1,0.41999999999999998,3,0,cvff
*,c',c=,*,torsion_1,1.8,2,180,cvff
*,c',c=1,*,torsion_1,1.8,2,180,cvff
*,c',c=2,*,torsion_1,1.8,2,180,cvff
*,c',cp,*,torsion_1,10,2,180,cvff
*,c',ct,*,torsion_1,0,0,0,cvff
*,c',n2,*,torsion_1,6,2,180,cvff
*,c',nt,*,torsion_1,0,0,0,cvff
*,c',o,*,torsion_1,4.5,2,180,cvff
*,c'_,c'_,*,torsion_1,0.45000000000000001,2,180,cvff_auto
*,c'_,c=_,*,torsion_1,0.45000000000000001,2,180,cvff_auto
*,c'_,c=_1,*,torsion_1,0.45000000000000001,2,180,cvff_auto
*,c'_,c=_2,*,torsion_1,0.45000000000000001,2,180,cvff_auto
*,c'_,c=_3,*,torsion_1,0.45000000000000001,2,180,cvff_auto
