atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
AC1,X,0,lj_ab_12_6,44881150.836777583,9474.2968959999962,
AG,X,0,lj_ab_12_6,2021411.1888849216,6072.1116660730941,
AL,X,0,lj_ab_12_6,1576654.3671959331,5035.1367632379761,
ALO1,X,0,lj_ab_12_6,171.45704344755032,8.2814743481472028,
AU,X,0,lj_ab_12_6,2307205.0096912542,6987.1638026503242,
AY1,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
AY2,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
AYT1,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
AYT2,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
Alcu,X,0,lj_ab_12_6,14237509198895.627,11932103.418465508,
C,X,0,lj_ab_12_6,1845493.76,901.12,
C3,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CA,X,0,lj_ab_12_6,1140850.6880000001,557.05600000000004,
CA++,X,0,lj_ab_12_6,559365.550121387,791.51084397875024,
CA+A,X,0,lj_ab_12_6,250183.42724294757,387.44039069999985,
CA+H,X,0,lj_ab_12_6,216825.63694388792,335.78167193999991,
CAI,X,0,lj_ab_12_6,1153240.0732154006,580.29828655519646,
CAL,X,0,lj_ab_12_6,20929.717613946417,100.23105534061925,
CAP,X,0,lj_ab_12_6,1121957.4448344507,560.48914757883244,
CC,X,0,lj_ab_12_6,1174405.1200000001,573.44000000000005,
CC1A,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CC1B,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CC2,X,0,lj_ab_12_6,1719095.2546476291,663.391577569231,
CD,X,0,lj_ab_12_6,1174405.1200000001,573.44000000000005,
CE1,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CE2,X,0,lj_ab_12_6,1719095.2546476291,663.391577569231,
CEL1,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CEL2,X,0,lj_ab_12_6,1719095.2546476291,663.391577569231,
CES,X,0,lj_ab_12_6,5724599.2024615426,2085.8320627200005,
CF1,X,0,lj_ab_12_6,543944.27450969943,361.31236607999989,
CF2,X,0,lj_ab_12_6,947666.59261537879,399.00875624399981,
CF3,X,0,lj_ab_12_6,1795246.0334711035,378.97187583999988,
CL,X,0,lj_ab_12_6,1174405.1200000001,573.44000000000005,
CL-,X,0,lj_ab_12_6,9989907.6993156392,3160.6815244999993,
CLAL,X,0,lj_ab_12_6,286396.62833518814,185.38499238132135,
CLI,X,0,lj_ab_12_6,11501685.637352673,2626.9776136106689,
CM,X,0,lj_ab_12_6,3314241.6435303674,1207.5869836800005,
CN,X,0,lj_ab_12_6,675844.10161132819,735.30625000000009,
COA,X,0,lj_ab_12_6,1845493.76,901.12,
CP1,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CP2,X,0,lj_ab_12_6,2524839.4826861233,745.29503298421832,
CP3,X,0,lj_ab_12_6,2524839.4826861233,745.29503298421832,
CPA,X,0,lj_ab_12_6,426454.32044894557,391.82082048000001,
CPB,X,0,lj_ab_12_6,426454.32044894557,391.82082048000001,
CPH1,X,0,lj_ab_12_6,616470.17777765938,409.4873482239999,
CPH2,X,0,lj_ab_12_6,616470.17777765938,409.4873482239999,
CPM,X,0,lj_ab_12_6,426454.32044894557,391.82082048000001,
CPT,X,0,lj_ab_12_6,695265.16946155438,524.71421469860672,
CS,X,0,lj_ab_12_6,5791949.9854455404,1596.3890483200007,
CT,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CT1,X,0,lj_ab_12_6,536870.91200000001,262.14400000000001,
CT2,X,0,lj_ab_12_6,997471.88643525098,472.68774318940854,
CT2A,X,0,lj_ab_12_6,997471.88643525098,472.68774318940854,
CT3,X,0,lj_ab_12_6,1659650.1891530692,719.59075801163374,
CTL1,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CTL2,X,0,lj_ab_12_6,997471.88643525098,472.68774318940854,
CTL3,X,0,lj_ab_12_6,1659650.1891530692,719.59075801163374,
CTL5,X,0,lj_ab_12_6,1913623.8690375926,782.53411305324551,
CU,X,0,lj_ab_12_6,484836.0166448339,3025.5088818667286,
CY,X,0,lj_ab_12_6,1153240.0732154006,580.29828655519646,
CaSO,X,0,lj_ab_12_6,173285.81243348101,390.50161964000006,
Cual,X,0,lj_ab_12_6,4891781420677.5137,7912951.5469685635,
DUM,X,0,lj_ab_12_6,0,0,
F1,X,0,lj_ab_12_6,194511.35951274069,324.09278630799542,
F2,X,0,lj_ab_12_6,151286.61295435383,252.07216712844084,
F3,X,0,lj_ab_12_6,111833.38594686423,208.30591385600007,
FA,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
FE,X,0,lj_ab_12_6,0,0,
H,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
H*,X,0,lj_ab_12_6,0,0,
HA,X,0,lj_ab_12_6,2521.5628838626608,14.896225487683587,
HA1,X,0,lj_ab_12_6,6177.7459138639015,33.34657800278017,
HA2,X,0,lj_ab_12_6,4667.6302460305033,25.19519226876724,
HA3,X,0,lj_ab_12_6,3294.7978207274141,17.784841601482757,
HAL1,X,0,lj_ab_12_6,2521.5628838626608,14.896225487683587,
HAL2,X,0,lj_ab_12_6,3843.9307908486503,20.748981868396552,
HAL3,X,0,lj_ab_12_6,3294.7978207274141,17.784841601482757,
HB1,X,0,lj_ab_12_6,2521.5628838626608,14.896225487683587,
HB2,X,0,lj_ab_12_6,3843.9307908486503,20.748981868396552,
HC,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
HCL,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
HE,X,0,lj_ab_12_6,9622.0591562593763,28.611969401188514,
HE1,X,0,lj_ab_12_6,1847.7439880371094,15.13671875,
HE2,X,0,lj_ab_12_6,1705.2177212607749,13.317005782499329,
HEL1,X,0,lj_ab_12_6,1847.7439880371094,15.13671875,
HEL2,X,0,lj_ab_12_6,1705.2177212607749,13.317005782499329,
HF1,X,0,lj_ab_12_6,3209.2618521888412,18.958832438870022,
HF2,X,0,lj_ab_12_6,2862.8686998504659,18.534946560000002,
HL,X,0,lj_ab_12_6,2.6079199692636141,0.69271731199999975,
HOC,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HOK,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HOL,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
HOP,X,0,lj_ab_12_6,0,0,
HOY,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
