t1,t2,t3,t4,style,kchi,n,chi0,source
C,HC,HC,NC2,out_of_plane,0,0,0,
CC,X,X,CT1,out_of_plane,96,0,0,
CC,X,X,CT2,out_of_plane,96,0,0,
CC,X,X,CT3,out_of_plane,96,0,0,
HE2,HE2,CE2,CE2,out_of_plane,3,0,0,
HEL2,HEL2,CEL2,CEL2,out_of_plane,3,0,0,
HR1,NR1,NR2,CPH2,out_of_plane,0.5,0,0,
HR1,NR2,NR1,CPH2,out_of_plane,0.5,0,0,
HR3,CPH1,NR1,CPH1,out_of_plane,0.5,0,0,
HR3,CPH1,NR2,CPH1,out_of_plane,0.5,0,0,
HR3,CPH1,NR3,CPH1,out_of_plane,1,0,0,
HR3,NR1,CPH1,CPH1,out_of_plane,0.5,0,0,
HR3,NR2,CPH1,CPH1,out_of_plane,0.5,0,0,
N,C,CP1,CP3,out_of_plane,0,0,0,
NC2,X,X,C,out_of_plane,45,0,0,
NC2,X,X,HC,out_of_plane,-2,0,0,
NH1,X,X,H,out_of_plane,20,0,0,
NH2,X,X,H,out_of_plane,4,0,0,
NR1,CPH1,CPH2,H,out_of_plane,0.45000000000000001,0,0,
NR1,CPH2,CPH1,H,out_of_plane,0.45000000000000001,0,0,
NR3,CPH1,CPH2,H,out_of_plane,1.2,0,0,
NR3,CPH2,CPH1,H,out_of_plane,1.2,0,0,
O,CP1,NH2,CC,out_of_plane,45,0,0,
O,CT1,NH2,CC,out_of_plane,45,0,0,
O,CT2,NH2,CC,out_of_plane,45,0,0,
O,CT3,NH2,CC,out_of_plane,45,0,0,
O,HA1,NH2,CC,out_of_plane,45,0,0,
O,N,CT2,CC,out_of_plane,120,0,0,
O,NH2,CP1,CC,out_of_plane,45,0,0,
O,NH2,CT1,CC,out_of_plane,45,0,0,
O,NH2,CT2,CC,out_of_plane,45,0,0,
O,NH2,CT3,CC,out_of_plane,45,0,0,
O,NH2,HA1,CC,out_of_plane,45,0,0,
O,X,X,C,out_of_plane,120,0,0,
OB,X,X,CD,out_of_plane,100,0,0,
OBL,X,X,CL,out_of_plane,100,0,0,
OC,X,X,CC,out_of_plane,96,0,0,
OCL,X,X,CL,out_of_plane,96,0,0,
X,AC1,OC3,X,out_of_plane,0,0,0,
X,AC1,OC4,X,out_of_plane,0,0,0,
X,AY1,OY4,X,out_of_plane,0,0,0,
X,AY1,OY5,X,out_of_plane,0,0,0,
X,AY1,OY6,X,out_of_plane,0,0,0,
X,AY1,OY7,X,out_of_plane,0,0,0,
X,AY1,OY8,X,out_of_plane,0,0,0,
X,AY1,OY9,X,out_of_plane,0,0,0,
X,AY2,OY4,X,out_of_plane,0,0,0,
X,AY2,OY5,X,out_of_plane,0,0,0,
X,AY2,OY6,X,out_of_plane,0,0,0,
X,AY2,OY7,X,out_of_plane,0,0,0,
X,AY2,OY8,X,out_of_plane,0,0,0,
X,AY2,OY9,X,out_of_plane,0,0,0,
X,AYT1,OC24,X,out_of_plane,0,0,0,
X,AYT1,OY1,X,out_of_plane,0,0,0,
X,AYT1,OY2,X,out_of_plane,0,0,0,
X,AYT1,OY3,X,out_of_plane,0,0,0,
X,AYT1,OY4,X,out_of_plane,0,0,0,
X,AYT1,OY7,X,out_of_plane,0,0,0,
X,AYT2,OC24,X,out_of_plane,0,0,0,
X,AYT2,OY1,X,out_of_plane,0,0,0,
X,AYT2,OY2,X,out_of_plane,0,0,0,
X,AYT2,OY3,X,out_of_plane,0,0,0,
X,AYT2,OY5,X,out_of_plane,0,0,0,
X,AYT2,OY8,X,out_of_plane,0,0,0,
X,HOY,OC24,X,out_of_plane,0,0,0,
X,OAP1,HOP,X,out_of_plane,0,0,0,
X,OC4,HOC,X,out_of_plane,0,0,0,
X,OY4,HOK,X,out_of_plane,0,0,0,
X,OY5,HOK,X,out_of_plane,0,0,0,
X,OY6,HOK,X,out_of_plane,0,0,0,
X,OY6,HOY,X,out_of_plane,0,0,0,
X,OY9,HOY,X,out_of_plane,0,0,0,
X,PAP,OAP1,X,out_of_plane,0,0,0,
X,SC1,OC1,X,out_of_plane,0,0,0,
X,SC4,OC23,X,out_of_plane,0,0,0,
X,SC4,OC24,X,out_of_plane,0,0,0,
X,SY1,OC24,X,out_of_plane,0,0,0,
X,SY1,OY1,X,out_of_plane,0,0,0,
X,SY1,OY2,X,out_of_plane,0,0,0,
X,SY1,OY3,X,out_of_plane,0,0,0,
X,SY1,OY4,X,out_of_plane,0,0,0,
X,SY1,OY7,X,out_of_plane,0,0,0,
X,SY2,OC24,X,out_of_plane,0,0,0,
X,SY2,OY1,X,out_of_plane,0,0,0,
X,SY2,OY2,X,out_of_plane,0,0,0,
X,SY2,OY3,X,out_of_plane,0,0,0,
X,SY2,OY5,X,out_of_plane,0,0,0,
X,SY2,OY8,X,out_of_plane,0,0,0,
cae,X,X,X,out_of_plane,0,0,0,
cg1,cg1,cg1,cg1,out_of_plane,24,0,180,
