t1,t2,t3,t4,style,kchi,n,chi0,source
*,c'_,*,*,out_of_plane,10,2,180,cvff_auto
*,c=_,*,*,out_of_plane,11.1,2,180,cvff_auto
*,cIL,*,*,out_of_plane,10,2,180,cvff_auto
*,cp_,*,*,out_of_plane,0.37,2,180,cvff_auto
*,n_,*,*,out_of_plane,0.050000000000000003,2,180,cvff_auto
*,np_,*,*,out_of_plane,0.37,2,180,cvff_auto
*,ti1,*,*,out_of_plane,0,2,180,cvff_auto
*,ti2,*,*,out_of_plane,0,2,180,cvff_auto
c,c',c,s',out_of_plane,7.5300000000000002,2,180,cvff
c,c',n,o',out_of_plane,10,2,180,cvff
c,c',n2,o',out_of_plane,10,2,180,cvff
c,c',o',o',out_of_plane,11.6,2,180,cvff
c,c=,c',c=,out_of_plane,11.1,2,180,cvff
c,cp,cp,np,out_of_plane,0.37,2,180,cvff
c,n,c,hn,out_of_plane,0.050000000000000003,2,180,cvff
c,n3,c,hn,out_of_plane,0.050000000000000003,2,180,cvff
c,n3,hn,hn,out_of_plane,0.37,2,180,cvff
c,np,c,c=,out_of_plane,0.37,2,180,cvff
c,np,cp,cp,out_of_plane,0.37,2,180,cvff
c',cp,cp,cp,out_of_plane,10,2,180,cvff
c',n,c,c,out_of_plane,0.050000000000000003,2,180,cvff
c',n,c,hn,out_of_plane,0.050000000000000003,2,180,cvff
c3,n,c3,c=,out_of_plane,0.050000000000000003,2,180,cvff
c=,c',n2,o',out_of_plane,10,2,180,cvff
cIL,cIL,hIL,hIL,out_of_plane,0,2,180,cvff
cIL,cIL,hIL,n3,out_of_plane,0,2,180,cvff
cIL,np,cIL,cIL,out_of_plane,0,2,180,cvff
cIL_l,cIL_l,o,o',out_of_plane,0,2,180,cvff
cg1,cg1,cg1,cg1,out_of_plane,0,2,180,cvff
cge,*,*,*,out_of_plane,0,2,180,cvff
cp,c',o',o',out_of_plane,10,2,180,cvff
cp,cp,cp,c,out_of_plane,0.37,2,180,cvff
cp,cp,cp,cp,out_of_plane,0.37,2,180,cvff
cp,cp,cp,h,out_of_plane,0.37,2,180,cvff
cp,cp,cp,no,out_of_plane,10,2,180,cvff
cp,cp,cp,np,out_of_plane,0.37,2,180,cvff
cp,cp,cp,o',out_of_plane,0,2,180,cvff
cp,cp,cs,h,out_of_plane,0.37,2,180,cvff
cp,cp,h,np,out_of_plane,0.37,2,180,cvff
cp,cp,np,np,out_of_plane,0.37,2,180,cvff
cp,n2,hn,hn,out_of_plane,0,2,180,cvff
cp,no,o',o',out_of_plane,10,2,180,cvff
cp,np,cp,o',out_of_plane,0.37,2,180,cvff
cx1,ti1,cx1,cx1,out_of_plane,0,2,180,cvff
h,c',n2,o',out_of_plane,10,2,180,cvff
h,c',o',n,out_of_plane,0.050000000000000003,2,180,cvff
h,c',o',o',out_of_plane,11.6,2,180,cvff
h,c',s',h,out_of_plane,7.5300000000000002,2,180,cvff
h,c3,ogy,sgy,out_of_plane,0,2,180,cvff
h,c=,c,c=,out_of_plane,11.1,2,180,cvff
h,c=,np,c=,out_of_plane,11.1,2,180,cvff
h,cp,np,np,out_of_plane,0.37,2,180,cvff
hIL,cIL,c-,n3,out_of_plane,0,2,180,cvff
hIL,cIL,hIL,hIL,out_of_plane,0,2,180,cvff
hn,n2,c',hn,out_of_plane,0.050000000000000003,2,180,cvff
hn,np,cp,cp,out_of_plane,0.37,2,180,cvff
n,c',n2,n2,out_of_plane,10,2,180,cvff
n,c=,n,o',out_of_plane,11.1,2,180,cvff
n2,cp,cp,np,out_of_plane,0.37,2,180,cvff
n2,cp,np,np,out_of_plane,0.37,2,180,cvff
o',cIL,cIL,o,out_of_plane,0,2,180,cvff
o-,np,o-,o-,out_of_plane,0.37,2,180,cvff
ogy,sgy,ogy,ogy,out_of_plane,0,2,180,cvff_auto
oni,nni,oni,oni,out_of_plane,0,2,180,cvff
sp,cs,cp,h,out_of_plane,2.9998,2,180,cvff
