atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
Ac,Ac,227,lj_ab_12_6,67550000,41940,0 Actinium metal
Ag,Ag,107.86799621582031,lj_ab_12_6,2021000,6072,0 Silver metal
Al,Al,26.982000350952148,lj_ab_12_6,1577000,5035,0 Aluminium metal
Alcu,Al,26.982000350952148,lj_ab_12_6,848621.67830000003,2913.1111860000001,0 Aluminium metal in AlCu alloy
Au,Au,196.96699523925781,lj_ab_12_6,2307000,6987,0 Gold metal (non-polarizable)
Auc,Au,195.96699523925781,lj_ab_12_6,1495800,4576,1 Gold nucleus in polarizable LJ model (+1.0e)
Aue,Au,1,lj_ab_12_6,85470,261.5,1 Gold electron in polarizable LJ model (-1.0e)
Br,Br,79.903999328613281,lj_ab_12_6,34375640,3517.8445999999999,1 Bromide ion Br-
CA,C,10.011150360107422,lj_ab_12_6,1140850.6880000001,557.05600000000004,4 C in benzene
CT3,C,12.01099967956543,lj_ab_12_6,1659650.189,719.59075800000005,4 CHARMM CT3
Ca,Ca,40.077999114990234,lj_ab_12_6,60750000,28570,0 Calcium metal (alpha)
Ce,Ce,140.11599731445312,lj_ab_12_6,46870000,34590,0 Cerium metal (gamma)
Cr,Cr,51.995998382568359,lj_ab_12_6,589600,3730,0 Chromium metal
Cu,Cu,63.546001434326172,lj_ab_12_6,484800,3026,0 Copper metal
Cual,Cu,63.546001434326172,lj_ab_12_6,291572.89390000002,1931.872936,0 Copper metal in AlCu alloy
Es,Es,252,lj_ab_12_6,71540000,28710,0 Einsteinium metal (beta)
Fe,Fe,55.847000122070312,lj_ab_12_6,596800,3950,0 Iron metal (bcc and fcc)
HA3,H,1.0080000162124634,lj_ab_12_6,3294.7978210000001,17.7848416,1 CHARMM HA3
IHOY,H,1.0079699754714966,lj_ab_12_6,0.0001,0.0001,"1 Hydrogen atom in (Al,Mg,Si)OH and OH- group in clay, silica"
Ir,Ir,192.21699523925781,lj_ab_12_6,2003000,8586,0 Iridium metal
K,K,39.102001190185547,lj_ab_12_6,24856948.194200002,23280.483199999999,0 Potassium metal
Li,Li,6.940000057220459,lj_ab_12_6,5192358.6600000001,9916.8176800000001,0 Lithium metal
Mo,Mo,95.94000244140625,lj_ab_12_6,5869689.0344000002,21298.663039999999,0 Molybdenum metal
NCH2,N,14.006999969482422,lj_ab_12_6,1316590.4010000001,1026.2905639999999,"3 N,N-dimethylaniline, N with connection to benzene ring C"
NN,N,14.006999969482422,lj_ab_12_6,1353809.4180000001,570.01250889999994,"2 for N=N bond in Azobenzene Compounds, or 1,2-diphenylhydrazine"
Na,Na,22.989799499511719,lj_ab_12_6,14000,300,1 Sodium ion
Na,Na,22.989999771118164,lj_ab_12_6,14000,300,0 Sodium metal
Ni,Ni,58.709999084472656,lj_ab_12_6,431100,3121,0 Nickel metal
