t1,t2,style,k,r0,source
*,cae,quadratic,500,0.69999999999999996,cvff
Al,o1a,quadratic,430,1.8,cvff
Auc,Aue,quadratic,50,0,cvff
CA,CA,quadratic,305,1.375,cvff
CA,CD,quadratic,254,1.48,cvff
CA,NCH2,quadratic,325,1.4099999999999999,cvff
CA,NN,quadratic,680,1.4099999999999999,cvff
CA,S,quadratic,230,1.8,cvff
CA,cae,quadratic,500,0.69999999999999996,cvff
CA,hiff,quadratic,363.416,1.0800000000000001,cvff
CT3,HA3,quadratic,322,1.111,cvff
CT3,NCH2,quadratic,315,1.4419999999999999,cvff
HGP1,NN,quadratic,437,1.01,cvff
IHOY,atoh,quadratic,495,0.94499999999999995,cvff
IHOY,rtoh,quadratic,495,0.94499999999999995,cvff
IHOY,zoh1,quadratic,495,0.94499999999999995,cvff
IHOY,zoh2,quadratic,495,0.94499999999999995,cvff
NN,NN,quadratic,355,1.3999999999999999,cvff
Ni,o00,quadratic,200,1.95,cvff
Ni,o10,quadratic,200,1.76,cvff
Ni,o11,quadratic,200,1.8600000000000001,cvff
Ni2,o00,quadratic,200,1.95,cvff
Ni2,o10,quadratic,200,1.96,cvff
OC,S,quadratic,540,1.448,cvff
ac1,oc3,quadratic,180,1.98,cvff
ac1,oc4,quadratic,180,1.8100000000000001,cvff
al,c,quadratic,392.80000000000001,1.8089999999999999,cvff
al,h,quadratic,392.80000000000001,1.3819999999999999,cvff
al,o,quadratic,392.80000000000001,1.7749999999999999,cvff
al,oz,quadratic,392.80000000000001,1.7749999999999999,cvff
al,si,quadratic,392.80000000000001,3.0899999999999999,cvff
al,sz,quadratic,392.80000000000001,3.0899999999999999,cvff
aot1,ato1,quadratic,50,1.9339999999999999,cvff
aot1,ato2,quadratic,50,1.98,cvff
aot2,ato1,quadratic,50,1.98,cvff
aot2,ato2,quadratic,50,1.9339999999999999,cvff
aot3,ato2,quadratic,50,1.9339999999999999,cvff
aot3,ato3,quadratic,50,1.98,cvff
aot4,ato2,quadratic,50,1.98,cvff
aot4,ato3,quadratic,50,1.9339999999999999,cvff
ato2,atoh,quadratic,50,1.9339999999999999,cvff
ato3,atoh,quadratic,50,1.9339999999999999,cvff
atoh,hspc,quadratic,540.6336,1,cvff
ay1,oy4,quadratic,430,2.0411999999999999,cvff
ay1,oy5,quadratic,430,2.0234000000000001,cvff
ay1,oy6,quadratic,430,2.0169999999999999,cvff
ay1,oy7,quadratic,430,2.0211999999999999,cvff
ay1,oy8,quadratic,430,2.0432999999999999,cvff
ay1,oy9,quadratic,430,2.0127999999999999,cvff
ay2,oy4,quadratic,430,2.0211999999999999,cvff
ay2,oy5,quadratic,430,2.0432999999999999,cvff
ay2,oy6,quadratic,430,2.0127999999999999,cvff
ay2,oy7,quadratic,430,2.0411999999999999,cvff
ay2,oy8,quadratic,430,2.0234000000000001,cvff
ay2,oy9,quadratic,430,2.0169999999999999,cvff
ayt1,oc23,quadratic,285,1.6799999999999999,cvff
ayt2,oc23,quadratic,285,1.6799999999999999,cvff
az,az,quadratic,392.80000000000001,3.0899999999999999,cvff
az,c,quadratic,392.80000000000001,1.8089999999999999,cvff
az,h,quadratic,392.80000000000001,1.3819999999999999,cvff
az,o,quadratic,392.80000000000001,1.7749999999999999,cvff
az,oh,quadratic,392.80000000000001,1.7749999999999999,cvff
az,oz,quadratic,392.80000000000001,1.7749999999999999,cvff
az,sz,quadratic,392.80000000000001,3.0899999999999999,cvff
br,br,quadratic,175.63999999999999,2.29,cvff
br,c,quadratic,223.59999999999999,1.9199999999999999,cvff
br,cp,quadratic,223.59999999999999,1.9199999999999999,cvff
br,lp,quadratic,223.59999999999999,1.9199999999999999,cvff
br_,br_,quadratic,175.63290000000001,2.29,cvff_auto
br_,c'_,quadratic,228.2808,1.875,cvff_auto
br_,c3m_,quadratic,223.59999999999999,1.9199999999999999,cvff_auto
br_,c4m_,quadratic,223.59999999999999,1.9199999999999999,cvff_auto
br_,c=_,quadratic,253.70079999999999,1.8799999999999999,cvff_auto
br_,c=_1,quadratic,253.70079999999999,1.8799999999999999,cvff_auto
br_,c=_2,quadratic,253.70079999999999,1.8799999999999999,cvff_auto
br_,c=_3,quadratic,253.70079999999999,1.8799999999999999,cvff_auto
br_,c_,quadratic,223.59999999999999,1.9199999999999999,cvff_auto
br_,cl_,quadratic,209.1876,2.1320000000000001,cvff_auto
br_,cp_,quadratic,223.59999999999999,1.9199999999999999,cvff_auto
br_,ct_,quadratic,268.8528,1.825,cvff_auto
br_,f_,quadratic,193.5,1.7949999999999999,cvff_auto
br_,h_,quadratic,314.1728,1.508,cvff_auto
br_,i_,quadratic,165.6156,2.4660000000000002,cvff_auto
br_,n+_,quadratic,196.59399999999999,1.837,cvff_auto
br_,n3m_,quadratic,203.834,1.837,cvff_auto
br_,n4m_,quadratic,203.834,1.837,cvff_auto
br_,n=_,quadratic,259.19799999999998,1.8100000000000001,cvff_auto
br_,n=_1,quadratic,259.19799999999998,1.8100000000000001,cvff_auto
br_,n=_2,quadratic,259.19799999999998,1.8100000000000001,cvff_auto
br_,n=_3,quadratic,259.19799999999998,1.8100000000000001,cvff_auto
br_,n_,quadratic,206.398,1.8100000000000001,cvff_auto
br_,na_,quadratic,203.834,1.837,cvff_auto
br_,np_,quadratic,259.19799999999998,1.8100000000000001,cvff_auto
br_,o'_,quadratic,233.2954,1.7549999999999999,cvff_auto
br_,o_,quadratic,284.79880000000003,1.798,cvff_auto
br_,op_,quadratic,260.8954,1.7549999999999999,cvff_auto
br_,p_,quadratic,183.1472,2.1800000000000002,cvff_auto
br_,s'_,quadratic,187.60169999999999,2.145,cvff_auto
br_,s3e_,quadratic,187.8836,2.1749999999999998,cvff_auto
br_,s4e_,quadratic,187.8836,2.1749999999999998,cvff_auto
br_,s_,quadratic,187.8836,2.1749999999999998,cvff_auto
br_,si_,quadratic,180.232,2.2349999999999999,cvff_auto
br_,sp_,quadratic,172.80170000000001,2.145,cvff_auto
c,c,quadratic,322.7158,1.526,cvff
c,c',quadratic,283.0924,1.52,cvff
c,c5,quadratic,283.0924,1.51,cvff
c,c=,quadratic,322.80000000000001,1.5,cvff
c,c=1,quadratic,322.80000000000001,1.5,cvff
c,c=2,quadratic,322.80000000000001,1.5,cvff
c,ci,quadratic,283.0924,1.51,cvff
c,cl,quadratic,314,1.7609999999999999,cvff
c,cp,quadratic,283.0924,1.51,cvff
c,f,quadratic,496,1.363,cvff
c,h,quadratic,340.61750000000001,1.105,cvff
c,n,quadratic,377.5752,1.46,cvff
c,n1,quadratic,377.5752,1.46,cvff
c,n2,quadratic,356.59879999999998,1.47,cvff
c,n3,quadratic,356.59879999999998,1.47,cvff
c,n4,quadratic,356.59879999999998,1.47,cvff
c,n=,quadratic,336.80000000000001,1.4750000000000001,cvff
c,n=1,quadratic,336.80000000000001,1.4750000000000001,cvff
c,n=2,quadratic,336.80000000000001,1.4750000000000001,cvff
c,np,quadratic,336.80000000000001,1.4750000000000001,cvff
c,o,quadratic,273.19999999999999,1.425,cvff
c,oh,quadratic,384,1.4199999999999999,cvff
c,s,quadratic,228,1.8,cvff
c,s1,quadratic,228,1.8,cvff
c,sh,quadratic,228,1.8200000000000001,cvff
c,si,quadratic,238,1.8089999999999999,cvff
c,sz,quadratic,238,1.8089999999999999,cvff
c',c=,quadratic,322.80000000000001,1.5,cvff
c',c=1,quadratic,322.80000000000001,1.5,cvff
c',c=2,quadratic,322.80000000000001,1.5,cvff
c',cp,quadratic,351.2527,1.472,cvff
c',h,quadratic,340.61750000000001,1.105,cvff
