t1,t2,t3,style,k,theta0_deg,source
AC1,OC3,AC1,quadratic,110,156.69999999999999,
AC1,OC4,HOC,quadratic,40,115,
AY1,OY4,AY2,quadratic,170,101.59999999999999,
AY1,OY4,AYT1,quadratic,170,127.5,
AY1,OY4,HOK,quadratic,45,126,
AY1,OY4,SY1,quadratic,170,127.5,
AY1,OY5,AY2,quadratic,170,101.59999999999999,
AY1,OY5,AYT2,quadratic,170,123.8,
AY1,OY5,HOK,quadratic,45,126,
AY1,OY5,SY2,quadratic,170,123.8,
AY1,OY6,AY2,quadratic,170,103,
AY1,OY6,HOK,quadratic,45,126,
AY1,OY6,HOY,quadratic,45,126,
AY1,OY7,AY2,quadratic,170,101.59999999999999,
AY1,OY7,AYT1,quadratic,170,123.7,
AY1,OY7,SY1,quadratic,170,123.7,
AY1,OY8,AY2,quadratic,170,101.59999999999999,
AY1,OY8,AYT2,quadratic,170,127.2,
AY1,OY8,SY2,quadratic,170,127.2,
AY1,OY9,AY2,quadratic,170,103,
AY1,OY9,HOY,quadratic,45,126,
AY2,OY4,AYT1,quadratic,170,123.7,
AY2,OY4,HOK,quadratic,45,126,
AY2,OY4,SY1,quadratic,170,123.7,
AY2,OY5,AYT2,quadratic,170,127.2,
AY2,OY5,HOK,quadratic,45,126,
AY2,OY5,SY2,quadratic,170,127.2,
AY2,OY6,HOK,quadratic,45,126,
AY2,OY6,HOY,quadratic,45,126,
AY2,OY7,AYT1,quadratic,170,127.5,
AY2,OY7,SY1,quadratic,170,127.5,
AY2,OY8,AYT2,quadratic,170,123.8,
AY2,OY8,SY2,quadratic,170,123.8,
AY2,OY9,HOY,quadratic,45,126,
AYT1,OC24,HOY,quadratic,50,115,
AYT1,OY1,SY2,quadratic,170,128.80000000000001,
AYT1,OY2,SY2,quadratic,170,139.90000000000001,
AYT1,OY3,SY2,quadratic,170,128.19999999999999,
AYT2,OC24,HOY,quadratic,50,115,
AYT2,OY1,SY1,quadratic,170,128.80000000000001,
AYT2,OY2,SY1,quadratic,170,139.90000000000001,
AYT2,OY3,SY1,quadratic,170,128.19999999999999,
C,CP1,CP2,quadratic,52,112.3,
C,CP1,HB,quadratic,50,112,
C,CP1,N,quadratic,50,108.2,
C,CP1,NP,quadratic,50,106,
C,CT1,CT1,quadratic,52,108,
