atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
AC1,X,0,lj_ab_12_6,44881150.836777583,9474.2968959999962,
AG,X,0,lj_ab_12_6,2021411.1888849216,6072.1116660730941,
AL,X,0,lj_ab_12_6,1576654.3671959331,5035.1367632379761,
AU,X,0,lj_ab_12_6,2307205.0096912542,6987.1638026503242,
AY1,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
AY2,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
AYT1,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
AYT2,X,0,lj_ab_12_6,1506473.4743319852,548.90317440000024,
C,X,0,lj_ab_12_6,1845493.76,901.12,
C3,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CA,X,0,lj_ab_12_6,1121957.4448344507,560.48914757883244,
CA++,X,0,lj_ab_12_6,559365.550121387,791.51084397875024,
CA+A,X,0,lj_ab_12_6,250183.42724294757,387.44039069999985,
CA+H,X,0,lj_ab_12_6,216825.63694388792,335.78167193999991,
CAL,X,0,lj_ab_12_6,20929.717613946417,100.23105534061925,
CAP,X,0,lj_ab_12_6,1121957.4448344507,560.48914757883244,
CC,X,0,lj_ab_12_6,1174405.1200000001,573.44000000000005,
CC1A,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CC1B,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CC2,X,0,lj_ab_12_6,1719095.2546476291,663.391577569231,
CD,X,0,lj_ab_12_6,1174405.1200000001,573.44000000000005,
CE1,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CE2,X,0,lj_ab_12_6,1719095.2546476291,663.391577569231,
CEL1,X,0,lj_ab_12_6,1934747.4993396455,725.43181610705744,
CEL2,X,0,lj_ab_12_6,1719095.2546476291,663.391577569231,
CES,X,0,lj_ab_12_6,5724599.2024615426,2085.8320627200005,
CF1,X,0,lj_ab_12_6,543944.27450969943,361.31236607999989,
CF2,X,0,lj_ab_12_6,947666.59261537879,399.00875624399981,
CF3,X,0,lj_ab_12_6,1795246.0334711035,378.97187583999988,
CL,X,0,lj_ab_12_6,1174405.1200000001,573.44000000000005,
CLA,X,0,lj_ab_12_6,11501685.637352673,2626.9776136106689,
CLAL,X,0,lj_ab_12_6,286396.62833518814,185.38499238132135,
CM,X,0,lj_ab_12_6,3314241.6435303674,1207.5869836800005,
CN,X,0,lj_ab_12_6,675844.10161132819,735.30625000000009,
COA,X,0,lj_ab_12_6,1845493.76,901.12,
CP1,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CP2,X,0,lj_ab_12_6,2524839.4826861233,745.29503298421832,
CP3,X,0,lj_ab_12_6,2524839.4826861233,745.29503298421832,
CPA,X,0,lj_ab_12_6,426454.32044894557,391.82082048000001,
CPB,X,0,lj_ab_12_6,426454.32044894557,391.82082048000001,
CPH1,X,0,lj_ab_12_6,236919.06691608089,217.67823360000003,
CPH2,X,0,lj_ab_12_6,236919.06691608089,217.67823360000003,
CPM,X,0,lj_ab_12_6,426454.32044894557,391.82082048000001,
CPT,X,0,lj_ab_12_6,426454.32044894557,391.82082048000001,
CS,X,0,lj_ab_12_6,5791949.9854455404,1596.3890483200007,
CST,X,0,lj_ab_12_6,50500.499967233489,108.24100882936268,
CT,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CT1,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CT1x,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CT2,X,0,lj_ab_12_6,2524839.4826861233,745.29503298421832,
CT2x,X,0,lj_ab_12_6,997471.88643525098,472.68774318940854,
CT3,X,0,lj_ab_12_6,1913623.8690375926,782.53411305324551,
CT3x,X,0,lj_ab_12_6,1659650.1891530692,719.59075801163374,
CTL1,X,0,lj_ab_12_6,1574587.3408867412,354.91828252562487,
CTL2,X,0,lj_ab_12_6,997471.88643525098,472.68774318940854,
CTL3,X,0,lj_ab_12_6,1659650.1891530692,719.59075801163374,
CTL5,X,0,lj_ab_12_6,1913623.8690375926,782.53411305324551,
CU,X,0,lj_ab_12_6,484836.0166448339,3025.5088818667286,
CY,X,0,lj_ab_12_6,1121957.4448344507,560.48914757883244,
DUM,X,0,lj_ab_12_6,0,0,
F1,X,0,lj_ab_12_6,194511.35951274069,324.09278630799542,
F2,X,0,lj_ab_12_6,151286.61295435383,252.07216712844084,
F3,X,0,lj_ab_12_6,111833.38594686423,208.30591385600007,
FA,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
FE,X,0,lj_ab_12_6,0,0,
H,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
H*,X,0,lj_ab_12_6,0,0,
HA,X,0,lj_ab_12_6,2521.5628838626608,14.896225487683587,
HA1,X,0,lj_ab_12_6,2521.5628838626608,14.896225487683587,
HA2,X,0,lj_ab_12_6,3843.9307908486503,20.748981868396552,
HA3,X,0,lj_ab_12_6,3294.7978207274141,17.784841601482757,
HAL1,X,0,lj_ab_12_6,2521.5628838626608,14.896225487683587,
HAL2,X,0,lj_ab_12_6,3843.9307908486503,20.748981868396552,
HAL3,X,0,lj_ab_12_6,3294.7978207274141,17.784841601482757,
HB,X,0,lj_ab_12_6,2521.5628838626608,14.896225487683587,
HC,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
HCL,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
HE,X,0,lj_ab_12_6,9622.0591562593763,28.611969401188514,
HE1,X,0,lj_ab_12_6,1847.7439880371094,15.13671875,
HE2,X,0,lj_ab_12_6,1705.2177212607749,13.317005782499329,
HEL1,X,0,lj_ab_12_6,1847.7439880371094,15.13671875,
HEL2,X,0,lj_ab_12_6,1705.2177212607749,13.317005782499329,
HF1,X,0,lj_ab_12_6,3209.2618521888412,18.958832438870022,
HF2,X,0,lj_ab_12_6,2862.8686998504659,18.534946560000002,
HL,X,0,lj_ab_12_6,2.6079199692636141,0.69271731199999975,
HOC,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HOK,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HOL,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
HOP,X,0,lj_ab_12_6,0,0,
HOY,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HP,X,0,lj_ab_12_6,4842.235599400703,24.105357743208963,
HR1,X,0,lj_ab_12_6,53.214243545604106,3.1291246080000001,
HR2,X,0,lj_ab_12_6,2.6079199692636141,0.69271731199999975,
HR3,X,0,lj_ab_12_6,3200.1270263701617,9.9921951153262132,
