t1,t2,style,k,r0,source
AC1,OC3,quadratic,180,1.98,
AC1,OC4,quadratic,180,1.8100000000000001,
AY1,OY4,quadratic,430,2.0411999999999999,
AY1,OY5,quadratic,430,2.0234000000000001,
AY1,OY6,quadratic,430,2.0169999999999999,
AY1,OY7,quadratic,430,2.0211999999999999,
AY1,OY8,quadratic,430,2.0432999999999999,
AY1,OY9,quadratic,430,2.0127999999999999,
AY2,OY4,quadratic,430,2.0211999999999999,
AY2,OY5,quadratic,430,2.0432999999999999,
AY2,OY6,quadratic,430,2.0127999999999999,
AY2,OY7,quadratic,430,2.0411999999999999,
AY2,OY8,quadratic,430,2.0234000000000001,
AY2,OY9,quadratic,430,2.0169999999999999,
AYT1,OC24,quadratic,285,1.6799999999999999,
AYT1,OY1,quadratic,430,1.7262,
AYT1,OY2,quadratic,430,1.7166999999999999,
AYT1,OY3,quadratic,430,1.7430000000000001,
AYT1,OY4,quadratic,430,1.7315,
AYT1,OY7,quadratic,430,1.7315,
AYT2,OC24,quadratic,285,1.6799999999999999,
AYT2,OY1,quadratic,430,1.7282999999999999,
AYT2,OY2,quadratic,430,1.7230000000000001,
AYT2,OY3,quadratic,430,1.7230000000000001,
AYT2,OY5,quadratic,430,1.7303999999999999,
AYT2,OY8,quadratic,430,1.7303999999999999,
C,C,quadratic,600,1.335,
C,CP1,quadratic,250,1.49,
C,CT1,quadratic,250,1.49,
C,CT2,quadratic,250,1.49,
C,CT3,quadratic,250,1.49,
C,N,quadratic,260,1.3,
C,NC2,quadratic,463,1.365,
C,NH1,quadratic,370,1.345,
C,O,quadratic,620,1.23,
CA,CA,quadratic,305,1.375,
CA,CPT,quadratic,305,1.3680000000000001,
CA,CT2,quadratic,230,1.49,
CA,CT3,quadratic,230,1.49,
CA,CY,quadratic,350,1.365,
CA,HA,quadratic,340,1.083,
CA,HP,quadratic,340,1.0800000000000001,
CA,NY,quadratic,270,1.3700000000000001,
CA,OC,quadratic,525,1.26,
CA,OH1,quadratic,334.30000000000001,1.411,
CC,CP1,quadratic,250,1.49,
CC,CT1,quadratic,200,1.522,
CC,CT2,quadratic,200,1.522,
CC,CT3,quadratic,200,1.522,
CC,HA,quadratic,317.13,1.1000000000000001,
CC,NH2,quadratic,430,1.3600000000000001,
CC,O,quadratic,650,1.23,
CC,OB,quadratic,750,1.22,
CC,OC,quadratic,525,1.26,
CD,CP1,quadratic,200,1.49,
CD,CT1,quadratic,200,1.522,
CD,CT2,quadratic,200,1.522,
CD,CT3,quadratic,200,1.522,
CD,H,quadratic,330,1.1100000000000001,
CD,OB,quadratic,750,1.22,
CD,OH1,quadratic,230,1.3999999999999999,
CD,OS,quadratic,150,1.3340000000000001,
CE1,CE1,quadratic,440,1.3400000000000001,
CE1,CE2,quadratic,500,1.3420000000000001,
CE1,CPB,quadratic,450,1.3799999999999999,
CE1,CT2,quadratic,365,1.502,
CE1,CT3,quadratic,383,1.504,
CE1,HE1,quadratic,360.5,1.1000000000000001,
CE2,CE2,quadratic,510,1.3300000000000001,
CE2,HE2,quadratic,365,1.1000000000000001,
CEL1,CEL1,quadratic,440,1.3400000000000001,
CEL1,CEL2,quadratic,500,1.3420000000000001,
CEL1,CTL2,quadratic,365,1.502,
CEL1,CTL3,quadratic,383,1.504,
CEL1,HEL1,quadratic,360.5,1.1000000000000001,
CEL2,CEL2,quadratic,510,1.3300000000000001,
CEL2,HEL2,quadratic,365,1.1000000000000001,
CL,CTL1,quadratic,200,1.522,
CL,CTL2,quadratic,200,1.522,
CL,CTL3,quadratic,200,1.522,
CL,OBL,quadratic,750,1.22,
CL,OCL,quadratic,525,1.26,
CL,OHL,quadratic,230,1.3999999999999999,
CL,OSL,quadratic,150,1.3340000000000001,
CM,FE,quadratic,258,1.8999999999999999,
CM,OM,quadratic,1115,1.1279999999999999,
CP1,CP2,quadratic,222.5,1.5269999999999999,
CP1,HB,quadratic,330,1.0800000000000001,
CP1,N,quadratic,320,1.4339999999999999,
CP1,NP,quadratic,320,1.4850000000000001,
CP2,CP2,quadratic,222.5,1.5369999999999999,
CP2,CP3,quadratic,222.5,1.5369999999999999,
CP2,HA,quadratic,309,1.111,
CP3,HA,quadratic,309,1.111,
CP3,N,quadratic,320,1.4550000000000001,
CP3,NP,quadratic,320,1.502,
CPA,CPB,quadratic,299.80000000000001,1.4432,
CPA,CPM,quadratic,360,1.3715999999999999,
CPA,NPH,quadratic,377.19999999999999,1.3756999999999999,
CPB,CPB,quadratic,340.69999999999999,1.3464,
CPB,CT2,quadratic,230,1.49,
CPB,CT3,quadratic,230,1.49,
CPH1,CPH1,quadratic,410,1.3600000000000001,
CPH1,CT2,quadratic,229.63,1.5,
CPH1,CT3,quadratic,229.63,1.5,
CPH1,HR1,quadratic,375,1.083,
CPH1,HR3,quadratic,365,1.083,
CPH1,NR1,quadratic,400,1.3799999999999999,
CPH1,NR2,quadratic,400,1.3799999999999999,
CPH1,NR3,quadratic,380,1.3700000000000001,
CPH2,HR1,quadratic,340,1.0900000000000001,
CPH2,HR2,quadratic,333,1.0700000000000001,
CPH2,NR1,quadratic,400,1.3600000000000001,
CPH2,NR2,quadratic,400,1.3200000000000001,
CPH2,NR3,quadratic,380,1.3200000000000001,
CPM,FE,quadratic,0,3.3814000000000002,
CPM,HA,quadratic,367.60000000000002,1.0900000000000001,
CPT,CPT,quadratic,360,1.3999999999999999,
CPT,CY,quadratic,350,1.4399999999999999,
CPT,NY,quadratic,270,1.375,
CS,CT3,quadratic,190,1.5309999999999999,
CS,HA,quadratic,300,1.111,
CS,SS,quadratic,205,1.8360000000000001,
CST,OST,quadratic,937.96000000000004,1.1599999999999999,
CT1,CT1,quadratic,222.5,1.5,
CT1,CT2,quadratic,222.5,1.538,
CT1,CT3,quadratic,222.5,1.538,
CT1,HA,quadratic,309,1.111,
CT1,HB,quadratic,330,1.0800000000000001,
CT1,NH1,quadratic,320,1.4299999999999999,
CT1,NH3,quadratic,200,1.48,
CT1,OH1,quadratic,428,1.4199999999999999,
CT2,CT2,quadratic,222.5,1.53,
CT2,CT3,quadratic,222.5,1.528,
CT2,CY,quadratic,230,1.51,
CT2,HA,quadratic,309,1.111,
CT2,HB,quadratic,330,1.0800000000000001,
CT2,NC2,quadratic,261,1.49,
CT2,NH1,quadratic,320,1.4299999999999999,
CT2,NH2,quadratic,240,1.4550000000000001,
CT2,NH3,quadratic,200,1.48,
CT2,OC,quadratic,450,1.3300000000000001,
CT2,OH1,quadratic,428,1.4199999999999999,
CT2,S,quadratic,198,1.8180000000000001,
CT2,SM,quadratic,214,1.8160000000000001,
CT3,CT3,quadratic,222.5,1.53,
CT3,HA,quadratic,322,1.111,
CT3,HB,quadratic,330,1.0800000000000001,
CT3,NC2,quadratic,261,1.49,
CT3,NH1,quadratic,320,1.4299999999999999,
CT3,NH2,quadratic,240,1.4550000000000001,
CT3,NH3,quadratic,200,1.48,
CT3,OC,quadratic,450,1.3300000000000001,
CT3,OH1,quadratic,428,1.4199999999999999,
CT3,OS,quadratic,340,1.4299999999999999,
CT3,S,quadratic,240,1.8160000000000001,
CT3,SM,quadratic,214,1.8160000000000001,
CTL1,CTL1,quadratic,222.5,1.5,
CTL1,CTL2,quadratic,222.5,1.538,
CTL1,CTL3,quadratic,222.5,1.538,
CTL1,HAL1,quadratic,309,1.111,
CTL1,OHL,quadratic,428,1.4199999999999999,
CTL1,OSL,quadratic,340,1.4299999999999999,
CTL2,CTL2,quadratic,222.5,1.53,
CTL2,CTL3,quadratic,222.5,1.528,
CTL2,HAL2,quadratic,309,1.111,
CTL2,HL,quadratic,300,1.0800000000000001,
CTL2,NH3L,quadratic,261,1.51,
CTL2,NTL,quadratic,215,1.51,
CTL2,OHL,quadratic,428,1.4199999999999999,
CTL2,OSL,quadratic,340,1.4299999999999999,
CTL3,CTL3,quadratic,222.5,1.53,
CTL3,HAL3,quadratic,322,1.111,
CTL3,OHL,quadratic,428,1.4199999999999999,
CTL3,OSL,quadratic,340,1.4299999999999999,
CTL5,HL,quadratic,300,1.0800000000000001,
CTL5,NTL,quadratic,215,1.51,
CY,HA,quadratic,330,1.0800000000000001,
CY,HP,quadratic,350,1.0800000000000001,
FE,NPH,quadratic,270.19999999999999,1.958,
FE,NR2,quadratic,65,2.2000000000000002,
FE,OM,quadratic,250,1.8,
FE,SS,quadratic,250,2.3199999999999998,
H,NH1,quadratic,440,0.997,
H,NH2,quadratic,480,1,
H,NR1,quadratic,466,1,
H,NR3,quadratic,453,1,
H,NY,quadratic,465,0.97599999999999998,
H,OH1,quadratic,545,0.95999999999999996,
H*,O*,quadratic,540.6336,0.95999999999999996,
HC,NC2,quadratic,455,1,
HC,NH1,quadratic,405,0.97999999999999998,
HC,NH2,quadratic,460,1,
HC,NH3,quadratic,403,1.04,
HC,NP,quadratic,460,1.006,
HCL,NH3L,quadratic,410,1.04,
HOC,OC4,quadratic,495,0.92900000000000005,
HOC,OC5,quadratic,495,0.92900000000000005,
HOK,OY4,quadratic,495,0.92900000000000005,
HOK,OY5,quadratic,495,0.92900000000000005,
HOK,OY6,quadratic,495,0.92900000000000005,
HOL,OHL,quadratic,545,0.95999999999999996,
HOP,OAP1,quadratic,500,0.93999999999999995,
HOP,OAP2,quadratic,500,0.93999999999999995,
HOY,OC23,quadratic,495,0.94499999999999995,
HOY,OC24,quadratic,495,0.94499999999999995,
HOY,OY6,quadratic,495,0.92900000000000005,
HOY,OY9,quadratic,495,0.92900000000000005,
HS,S,quadratic,275,1.325,
HT,HT,quadratic,0,1.5139,
HT,OT,quadratic,450,0.95720000000000005,
O2L,PL,quadratic,580,1.48,
