t1,t2,t3,t4,style,kphi,n,phi0,source
C,CP1,N,C,torsion_1,0.80000000000000004,3,0,
C,CP1,N,CP3,torsion_1,0.10000000000000001,3,0,
C,CP1,NP,CP3,torsion_1,0.080000000000000002,3,0,
C,CP1,NP,HC,torsion_1,0.080000000000000002,3,0,
C,CT1,CT2,CA,torsion_1,0.040000000000000001,3,0,
C,CT1,NH1,C,torsion_1,0.20000000000000001,1,180,
C,CT1,NH1,H,torsion_1,0,1,0,
C,CT2,NH1,C,torsion_1,0.20000000000000001,1,180,
C,CT2,NH1,H,torsion_1,0,1,0,
C,N,CP1,CC,torsion_1,0.80000000000000004,3,0,
C,N,CP1,CD,torsion_1,0,1,180,
C,N,CP1,CP2,torsion_1,0.80000000000000004,3,0,
C,N,CP1,HB,torsion_1,0.80000000000000004,3,0,
C,N,CP3,CP2,torsion_1,0,3,180,
C,N,CP3,HA,torsion_1,0,3,180,
C,NH1,CT1,CC,torsion_1,0.20000000000000001,1,180,
C,NH1,CT1,CD,torsion_1,0.20000000000000001,1,180,
C,NH1,CT1,CT1,torsion_1,1.8,1,0,
C,NH1,CT1,CT2,torsion_1,1.8,1,0,
C,NH1,CT1,CT3,torsion_1,1.8,1,0,
C,NH1,CT1,HB,torsion_1,0,1,0,
C,NH1,CT2,CC,torsion_1,0.20000000000000001,1,180,
C,NH1,CT2,CD,torsion_1,0.20000000000000001,1,180,
C,NH1,CT2,CT2,torsion_1,1.8,1,0,
C,NH1,CT2,HA,torsion_1,0,3,0,
C,NH1,CT2,HB,torsion_1,0,1,0,
C,NH1,CT3,HA,torsion_1,0,3,0,
C,NH1,CT3,HB,torsion_1,0,1,0,
CA,CA,CA,CA,torsion_1,3.1000000000000001,2,180,
CA,CA,CA,CPT,torsion_1,3.1000000000000001,2,180,
CA,CA,CA,CT2,torsion_1,3.1000000000000001,2,180,
CA,CA,CA,CT3,torsion_1,3.1000000000000001,2,180,
CA,CA,CA,HA,torsion_1,3.5,2,180,
CA,CA,CA,HP,torsion_1,4.2000000000000002,2,180,
CA,CA,CA,OC,torsion_1,3.1000000000000001,2,180,
CA,CA,CA,OH1,torsion_1,3.1000000000000001,2,180,
CA,CA,CPT,CPT,torsion_1,3.1000000000000001,2,180,
CA,CA,CPT,CY,torsion_1,3,2,180,
CA,CA,CPT,NY,torsion_1,2.7999999999999998,2,180,
CA,CA,CT2,CT1,torsion_1,0.23000000000000001,2,180,
CA,CA,CT2,CT3,torsion_1,0.23000000000000001,2,180,
CA,CA,OH1,H,torsion_1,0.98999999999999999,2,180,
CA,CPT,CPT,CA,torsion_1,3.1000000000000001,2,180,
CA,CPT,CPT,CY,torsion_1,10,2,180,
CA,CPT,CPT,NY,torsion_1,10,2,180,
CA,CPT,CY,CA,torsion_1,3,2,180,
CA,CPT,CY,CT2,torsion_1,3,2,180,
CA,CPT,CY,HA,torsion_1,3,2,180,
CA,CPT,CY,HP,torsion_1,2.7999999999999998,2,180,
CA,CPT,NY,CA,torsion_1,3,2,180,
CA,CPT,NY,H,torsion_1,0.80000000000000004,2,180,
CA,CT2,CT1,CC,torsion_1,0.040000000000000001,3,0,
CA,CT2,CT1,HA,torsion_1,0.040000000000000001,3,0,
CA,CT2,CT1,N,torsion_1,0.040000000000000001,3,0,
CA,CT2,CT3,HA,torsion_1,0.040000000000000001,3,0,
CA,CY,CPT,CPT,torsion_1,4,2,180,
CA,CY,CT2,CT1,torsion_1,0.23000000000000001,2,180,
CA,CY,CT2,CT3,torsion_1,0.23000000000000001,2,180,
CA,CY,CT2,HA,torsion_1,0.25,2,180,
CA,NY,CPT,CPT,torsion_1,5,2,180,
CC,CP1,N,CP3,torsion_1,0.10000000000000001,3,0,
CC,CP1,NP,CP3,torsion_1,0.080000000000000002,3,0,
CC,CP1,NP,HC,torsion_1,0.080000000000000002,3,0,
CC,CT1,NH1,H,torsion_1,0,1,0,
CC,CT2,NH1,H,torsion_1,0,1,0,
CD,CP1,NP,CP3,torsion_1,0.080000000000000002,3,0,
CD,CP1,NP,HC,torsion_1,0.080000000000000002,3,0,
CD,CT1,NH1,H,torsion_1,0,1,0,
CD,CT2,NH1,H,torsion_1,0,1,0,
CD,CT2,NH2,HC,torsion_1,0.11,3,0,
CE1,CE1,CT3,HA,torsion_1,0.029999999999999999,3,0,
CE2,CE1,CT2,CT3,torsion_1,0.5,1,180,
CE2,CE1,CT2,CT3,torsion_1,1.3,3,180,
CE2,CE1,CT2,HA,torsion_1,0.12,3,0,
CE2,CE1,CT3,HA,torsion_1,0.050000000000000003,3,180,
CEL1,CEL1,CTL2,CEL1,torsion_1,1,1,180,
CEL1,CEL1,CTL2,CEL1,torsion_1,0.10000000000000001,2,0,
CEL1,CEL1,CTL2,CEL1,torsion_1,0.29999999999999999,3,180,
CEL1,CEL1,CTL2,CEL1,torsion_1,0.20000000000000001,4,0,
CEL1,CEL1,CTL2,CTL2,torsion_1,0.5,1,180,
CEL1,CEL1,CTL2,CTL2,torsion_1,1.3,3,180,
CEL1,CEL1,CTL2,CTL3,torsion_1,0.5,1,180,
CEL1,CEL1,CTL2,CTL3,torsion_1,1.3,3,180,
CEL1,CEL1,CTL2,HAL2,torsion_1,0.029999999999999999,3,0,
CEL1,CEL1,CTL3,HAL3,torsion_1,0.029999999999999999,3,0,
CEL1,CTL2,CEL1,CEL2,torsion_1,1.2,1,180,
CEL1,CTL2,CEL1,CEL2,torsion_1,0.40000000000000002,2,180,
CEL1,CTL2,CEL1,CEL2,torsion_1,1.3,3,180,
CEL1,CTL2,CEL1,HEL1,torsion_1,0,2,0,
CEL1,CTL2,CEL1,HEL1,torsion_1,0,3,0,
CEL2,CEL1,CTL2,CTL2,torsion_1,0.5,1,180,
CEL2,CEL1,CTL2,CTL2,torsion_1,1.3,3,180,
CEL2,CEL1,CTL2,CTL3,torsion_1,0.5,1,180,
CEL2,CEL1,CTL2,CTL3,torsion_1,1.3,3,180,
CEL2,CEL1,CTL2,HAL2,torsion_1,0.12,3,0,
