atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
Ag,Ag,107.86799621582031,lj_ab_12_6,,,0 Silver metal
Al,Al,26.982000350952148,lj_ab_12_6,,,0 Aluminium metal
Au,Au,196.96699523925781,lj_ab_12_6,,,0 Gold metal
Br,Br,79.90899658203125,lj_ab_12_6,,,1 bromine ion
Cl,Cl,35.452999114990234,lj_ab_12_6,,,1 chlorine ion
Cr,Cr,51.995998382568359,lj_ab_12_6,,,0 Chromium metal
Cu,Cu,63.546001434326172,lj_ab_12_6,,,0 Copper metal
Fe,Fe,55.847000122070312,lj_ab_12_6,,,0 Iron metal
K,K,39.102001190185547,lj_ab_12_6,,,0 Potassium metal
Li,Li,6.940000057220459,lj_ab_12_6,,,0 Lithium metal
Mo,Mo,95.94000244140625,lj_ab_12_6,,,0 Molybdenum metal
Na,Na,22.989999771118164,lj_ab_12_6,,,0 Sodium metal
Ni,Ni,58.709999084472656,lj_ab_12_6,,,0 Nickel metal
Pb,Pb,207.19999694824219,lj_ab_12_6,,,0 Lead metal
Pd,Pd,106.40000152587891,lj_ab_12_6,,,0 Palladium metal
Pt,Pt,195.08999633789062,lj_ab_12_6,,,0 Platinum metal
Sn,Sn,118.69000244140625,lj_ab_12_6,,,0 Tin metal
W,W,183.85000610351562,lj_ab_12_6,,,0 Tungsten metal
ac1,Al,26.981529235839844,lj_ab_12_6,,,4 Aluminum atom in aluminate ring in Ca3Al2O6 (+1.2
ac2,Al,26.981529235839844,lj_ab_12_6,,,"6 Aluminum atom in ettringite, octahedrally coordinated (+1.6)"
ac3,Al,26.981529235839844,lj_ab_12_6,,,"6 Aluminum atom in monosulfate, octahedrally coordinated (+1.5)"
ar,Ar,39.944000244140625,lj_ab_12_6,,,0 Argon
ay1,Al,26.981529235839844,lj_ab_12_6,,,6 Aluminum atom (+1.45) or magnesium defect (+1.1) in octahedral aluminate sheet
ay2,Al,26.981529235839844,lj_ab_12_6,,,6 Aluminum atom (+1.45) or magnesium defect (+1.1) in octahedral aluminate sheet
ayt1,Al,26.981529235839844,lj_ab_12_6,,,4 Aluminum defect of sy1 (+0.8)
ayt2,Al,26.981529235839844,lj_ab_12_6,,,4 Aluminum defect of sy2 (+0.8)
az,Al,26.982000350952148,lj_ab_12_6,,,4 aluminium atom in zeolites
br,Br,79.90899658203125,lj_ab_12_6,,,1 bromine atom
c,C,12.011150360107422,lj_ab_12_6,,,4 generic SP3 carbon
c+,C,12.011150360107422,lj_ab_12_6,,,3 C in guanidinium group
c-,C,12.011150360107422,lj_ab_12_6,,,3 C in charged carboxylate
c1,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon with 1 H 3 heavies
c2,C,12.011150360107422,lj_ab_12_6,,,"4 sp3 carbon with 2 H's, 2 Heavy's"
c3,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon with 3 hHs 1 heavy
c3h,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon in 3-membered ring with hydrogens
c3m,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon in 3-membered ring
c4,C,12.011150360107422,lj_ab_12_6,,,"4 Carbon atom, sp3, generic, 4 bonds (compass)"
c4h,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon in 4-membered ring with hydrogens
c4m,C,12.011150360107422,lj_ab_12_6,,,4 sp3 carbon in 4-membered ring
c4o,C,12.011150360107422,lj_ab_12_6,,,"4 Carbon atom, sp3, bonded to oxygen (+0.054, compass)"
c5,C,12.011150360107422,lj_ab_12_6,,,3 sp2 aromatic carbon in 5-membered ring
c=,C,12.011150360107422,lj_ab_12_6,,,3 non aromatic end doubly bonded carbon
c=1,C,12.011150360107422,lj_ab_12_6,,,"3 non aromatic, next to end doubly bonded carbon"
c=2,C,12.011150360107422,lj_ab_12_6,,,3 non aromatic doubly bonded carbon
c_0,C,12.011150360107422,lj_ab_12_6,,,"3 carbonyl carbon of aldehydes, ketones"
c_1,C,12.011150360107422,lj_ab_12_6,,,"3 carbonyl carbon of acid, ester, amide"
