t1,t2,delta_ij,delta_ji
Ag,Ag,0,0
Al,Al,0,0
Au,Au,0,0
Cr,Cr,0,0
Cu,Cu,0,0
Fe,Fe,0,0
K,K,0,0
Li,Li,0,0
Mo,Mo,0,0
Na,Na,0,0
Ni,Ni,0,0
Pb,Pb,0,0
Pd,Pd,0,0
Pt,Pt,0,0
Sn,Sn,0,0
W,W,0,0
az,oah,0.30130000000000001,-0.30130000000000001
az,oas,0.1694,-0.1694
az,ob,0.028400000000000002,-0.028400000000000002
br,br,0,0
br,c,-0.16,0.16
br,c-,-0.0281,0.0281
br,c=,-0.080000000000000002,0.080000000000000002
br,c=1,-0.080000000000000002,0.080000000000000002
br,c=2,-0.080000000000000002,0.080000000000000002
br,c_0,-0.080000000000000002,0.080000000000000002
br,c_1,-0.080000000000000002,0.080000000000000002
br,cl,0.050700000000000002,-0.050700000000000002
br,cp,-0.080000000000000002,0.080000000000000002
br,ct,0.017299999999999999,-0.017299999999999999
br,f,0.2099,-0.2099
br,h,-0.1978,0.1978
br,i,-0.010999999999999999,0.010999999999999999
br,n,0.14219999999999999,-0.14219999999999999
br,n+,0.2452,0.0047999999999999996
br,n=,0.14219999999999999,-0.14219999999999999
br,n=1,0.14219999999999999,-0.14219999999999999
br,n=2,0.14219999999999999,-0.14219999999999999
br,na,0.060100000000000001,-0.060100000000000001
br,nh,-0.043799999999999999,0.043799999999999999
br,nn,0.14219999999999999,-0.14219999999999999
br,np,0.14219999999999999,-0.14219999999999999
br,o,0.081799999999999998,-0.081799999999999998
br,op,0.314,-0.314
br,p,-0.21560000000000001,0.21560000000000001
br,s,-0.043700000000000003,0.043700000000000003
br,s',0.0033999999999999998,-0.0033999999999999998
br,si,-0.32729999999999998,0.32729999999999998
br,sp,0.0033999999999999998,-0.0033999999999999998
c,c,0,0
c,c-,-0.23000000000000001,0.23000000000000001
c,c=,0,0
c,c=1,0,0
c,c=2,0,0
c,c_0,0,0
c,c_1,0,0
c,cl,0.184,-0.184
c,cp,0,0
c,cr,0,0
c,ct,0.040000000000000001,-0.040000000000000001
c,f,0.25,-0.25
c,h,-0.052999999999999999,0.052999999999999999
c,i,0.112,-0.112
c,n,0.21079999999999999,-0.21079999999999999
c,n+,0.40710000000000002,-0.15709999999999999
c,n=,0.29999999999999999,-0.29999999999999999
c,n=1,0.29999999999999999,-0.29999999999999999
c,n=2,0.29999999999999999,-0.29999999999999999
c,n_2,0.20999999999999999,-0.20999999999999999
c,na,0.082699999999999996,-0.082699999999999996
