atom_type,nonb,bond,angle,torsion,oop
Ag,Ag,Ag,Ag,Ag,Ag
Al,Al,Al,Al,Al,Al
Au,Au,Au,Au,Au,Au
Br,Br,Br,Br,Br,Br
Cl,Cl,Cl,Cl,Cl,Cl
Cr,Cr,Cr,Cr,Cr,Cr
Cu,Cu,Cu,Cu,Cu,Cu
Fe,Fe,Fe,Fe,Fe,Fe
K,K,K,K,K,K
Li,Li,Li,Li,Li,Li
Mo,Mo,Mo,Mo,Mo,Mo
Na,Na,Na,Na,Na,Na
Na,Na,Na,Na,Na,Na
Ni,Ni,Ni,Ni,Ni,Ni
Pb,Pb,Pb,Pb,Pb,Pb
Pd,Pd,Pd,Pd,Pd,Pd
Pt,Pt,Pt,Pt,Pt,Pt
Sn,Sn,Sn,Sn,Sn,Sn
W,W,W,W,W,W
ac1,ac1,ac1,ac1,ac1,ac1
ac2,ac2,ac2,ac2,ac2,ac2
ac3,ac3,ac3,ac3,ac3,ac3
ar,ar,ar,ar,ar,ar
ay1,ay1,ay1,ay1,ay1,ay1
ay2,ay1,ay2,ay2,ay2,ay2
ayt1,ayt1,ayt1,ayt1,ayt1,ayt1
ayt2,ayt1,ayt2,ayt2,ayt2,ayt2
az,az,az,az,az,az
br,br,br,br,br,br
c,c,c,c,c,c
c+,c+,c+,c+,c+,c+
c-,c-,c-,c-,c-,c-
c1,c,c,c,c,c
c2,c,c,c,c,c
c3,c,c,c,c,c
c3h,c,c,c,c,c
c3m,c,c,c,c,c
c4,c4,c4,c4,c4,c4
c4h,c,c,c,c,c
c4m,c,c,c,c,c
c4o,c4o,c4o,c4,c4,c4o
c5,cp,cp,cp,cp,cp
c=,c=,c=,c=,c=,c=
c=1,c=,c=1,c=,c=1,c=
c=2,c=,c=2,c=,c=2,c=
c_0,c_0,c_0,c_0,c_0,c_0
c_1,c_1,c_1,c_1,c_1,c_1
c_2,c_2,c_2,c_2,c_2,c_2
c_a,c,c,c,c,c
ca+,ca+,ca+,ca+,ca+,ca+
ca++,ca++,ca+,ca+,ca+,ca+
ca+a,ca+a,ca+,ca+,ca+,ca+
ca+e,ca+e,ca+,ca+,ca+,ca+
ca+g,ca+g,ca+,ca+,ca+,ca+
ca+h,ca+h,ca+,ca+,ca+,ca+
ca+m,ca+m,ca+,ca+,ca+,ca+
ca+t,ca+t,ca+,ca+,ca+,ca+
ce1,ce1,ce1,ce1,ce1,ce1
cg,c,c,c,c,c
ci,cp,cp,cp,cp,cp
cl,cl,cl,cl,cl,cl
co,c,c,c,c,c
coh,c,c,c,c,c
cp,cp,cp,cp,cp,cp
cr,cr,cr,cr,cr,cr
cs,cp,cp,cp,cp,cp
ct,ct,ct,ct,ct,ct
cz,cz,cz,cz,cz,cz
dw,h*,h*,h*,h*,h*
et5,et5,et5,et5,et5,et5
f,f,f,f,f,f
h,h,h,h,h,h
h*,h*,h*,h*,h*,h*
h+,h+,h+,h+,h+,h+
h1,h1,h1,h1,h1,h1
h1o,h1o,h1o,h1o,h1o,h1o
ha1,ha1,ha1,ha1,ha1,ha1
hb,hb,hb,hb,hb,hb
hc,h,h,h,h,h
he,he,he,he,he,he
he1,he1,he1,he1,he1,he1
hi,h*,hi,h*,h*,h*
hn,h*,h*,h*,h*,h*
hn2,hn2,hn2,hn2,hn2,hn2
ho,h*,h*,h*,h*,h*
ho2,ho2,ho2,ho2,ho2,ho2
hoa,hoa,hoa,hoa,hoa,hoa
hoc,hoc,hoc,hoc,hoc,hoc
hok,hok,hok,hok,hok,hok
hop,hop,hop,hop,hop,hop
hos,hos,hos,hos,hos,hos
hoy,hoy,hoy,hoy,hoy,hoy
hp,h,h,h,h,h
hs,h,h,h,h,h
hsi,hsi,h,h,h,h
ht5,ht5,ht5,ht5,ht5,ht5
hw,h*,h*,h*,h*,h*
i,i,i,i,i,i
k+,k+,k+,k+,k+,k+
kr,kr,kr,kr,kr,kr
n,n,n,n,n,n
n+,n+,n+,n+,n+,n+
n1,nr,nr,nr,nr,nr
n2,nr,nr,nr,nr,nr
n3m,na,na,na,na,na
n3n,n,n,n,n,n
n4,n+,n+,n+,n+,n+
n4m,na,na,na,na,na
n4n,n,n,n,n,n
n=,n=,n=,n=,n=,n=
n=1,n=,n=1,n=,n=1,n=
n=2,n=,n=2,n=,n=2,n=
n_2,n_2,n_2,n_2,n_2,n_2
na,na,na,na,na,na
na+,na+,na+,na+,na+,na+
nb,nn,nn,nn,nn,nn
ne,ne,ne,ne,ne,ne
nh,nh,nh,nh,nh,nh
nh+,nh,nh+,nh,nh,nh
nho,nh,nh,nh,nh,nh
ni,nh,nh,nh,nh,nh
nn,nn,nn,nn,nn,nn
np,np,np,np,np,np
npc,nh,nh,nh,nh,nh
nr,nr,nr,nr,nr,nr
nt,nt,nt,nt,nt,nt
nz,nz,nz,nz,nz,nz
o,o,o,o,o,o
o*,o*,o*,o*,o*,o*
o-,o-,o-,o-,o-,o-
o2*,o2*,o2*,o2*,o2*,o2*
o2e,o2e,o2e,o2e,o2e,o2e
o2h,o2h,o2h,o2h,o2h,o2h
o3e,o,o,o,o,o
o4e,o,o,o,o,o
o=,o=,o=,o-,o-,o-
o_1,o_1,o_1,o_1,o_1,o_1
o_2,o_2,o_2,o_2,o_2,o_2
oa1,oa1,oa1,oa1,oe1,oa1
oah,oah,oah,oah,oah,oah
oap1,oap1,oap1,oap1,oap1,oap1
oap2,oap2,oap2,oap2,oap2,oap2
oas,oas,oas,oas,oas,oas
oat5,oat5,oa1,oa1,oet5,oa1
ob,ob,ob,ob,ob,ob
oc,o,o,o,o,o
oc1,oc1,oc1,oc1,oc1,oc1
oc10,oc5,oc5,oc10,oc5,oc5
oc11,oc11,oc11,oc11,oc11,oc11
oc12,oc12,oc12,oc12,oc12,oc12
oc13,oc13,oc13,oc13,oc12,oc12
oc14,oc13,oc14,oc14,oc12,oc12
oc15,oc15,oc15,oc15,oc15,oc15
oc16,oc16,oc16,oc16,oc16,oc16
oc17,oc16,oc16,oc17,oc16,oc16
oc18,oc16,oc16,oc18,oc16,oc16
oc19,oc16,oc16,oc19,oc16,oc16
oc2,oc2,oc2,oc2,oc2,oc2
oc20,oc16,oc16,oc20,oc16,oc16
oc21,oc16,oc16,oc21,oc16,oc16
oc22,oc22,oc22,oc12,oc12,oc12
oc23,oc23,oc23,oc23,oc23,oc23
oc24,oc24,oc23,oc23,oc23,oc23
oc25,oc25,oc11,oc11,oc11,oc11
oc3,oc3,oc3,oc3,oc3,oc3
oc4,oc4,oc4,oc4,oc4,oc4
oc5,oc5,oc5,oc5,oc5,oc5
oc6,oc5,oc5,oc6,oc5,oc5
oc7,oc5,oc5,oc7,oc5,oc5
oc8,oc5,oc5,oc8,oc5,oc5
oc9,oc5,oc5,oc9,oc5,oc5
oe,o,o,o,o,o
oe1,oe1,oe1,oe1,oe1,oe1
oet5,oe1,oe1,oe1,oet5,oe1
oh,o,o,o,o,o
oo,oo,oo,oo,oo,oo
op,op,op,op,op,op
osh,osh,osh,osh,osh,osh
osi,osi,osi,osi,osi,osi
oss,oss,oss,oss,oss,oss
ot5,ot5,ot5,ot5,ot5,ot5
oy1,oy1,oy1,oy1,oy1,oy1
oy2,oy1,oy2,oy2,oy2,oy2
oy3,oy1,oy3,oy3,oy3,oy3
oy4,oy4,oy4,oy4,oy4,oy4
oy5,oy4,oy5,oy5,oy5,oy5
oy6,oy4,oy6,oy6,oy6,oy6
oy7,oy4,oy7,oy7,oy7,oy7
oy8,oy4,oy8,oy8,oy8,oy8
oy9,oy4,oy9,oy9,oy9,oy9
oz,oz,oz,oz,oz,oz
p,p,p,p,p,p
p=,p=,p=,p=,p=,p=
pap,pap,pap,pap,pap,pap
s,s,s,s,s,s
s',s',s',s',s',s'
s-,sp,sp,sp,sp,sp
s1,s,s,s,s,s
s3e,s,s,s,s,s
s4e,s,s,s,s,s
s_m,s_m,s_m,s_m,s_m,s_m
sc,s,s,s,s,s
sc1,sc1,sc1,sc1,sc1,sc1
sc2,sc2,sc2,sc2,sc2,sc2
sc3,sc2,sc2,sc3,sc2,sc2
sc4,sc4,sc4,sc4,sc4,sc4
sf,s',s',s',s',s'
sh,s,s,s,s,s
si,si,si,si,si,si
sio,sio,sio,sio,sio,sio
sp,sp,sp,sp,sp,sp
sy1,sy1,sy1,sy1,sy1,sy1
sy2,sy1,sy2,sy2,sy2,sy2
sz,sz,sz,sz,sz,sz
xe,xe,xe,xe,xe,xe
