t1,t2,t3,t4,style,kphi,n,phi0,source
*,c'_,c'_,*,torsion_1,0.45000000000000001,2,180,cff91_auto
*,c'_,c=_,*,torsion_1,0.45000000000000001,2,180,cff91_auto
*,c'_,c=_1,*,torsion_1,0.45000000000000001,2,180,cff91_auto
*,c'_,c=_2,*,torsion_1,0.45000000000000001,2,180,cff91_auto
*,c'_,c=_3,*,torsion_1,0.45000000000000001,2,180,cff91_auto
*,c'_,c_,*,torsion_1,0,0,0,cff91_auto
*,c'_,cp_,*,torsion_1,2.5,2,180,cff91_auto
*,c'_,ct_,*,torsion_1,0,0,0,cff91_auto
*,c'_,n3n_,*,torsion_1,0.69999999999999996,2,180,cff91_auto
*,c'_,n=_,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c'_,n=_1,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c'_,n=_2,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c'_,n=_3,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c'_,n_,*,torsion_1,3.2000000000000002,2,180,cff91_auto
*,c'_,n_,h_,torsion_1,1.2,2,180,cff91_auto
*,c'_,np_,*,torsion_1,5,2,180,cff91_auto
*,c'_,np_,h,torsion_1,1,2,180,cff91_auto
*,c'_,o_,*,torsion_1,2.25,2,180,cff91_auto
*,c'_,op_,*,torsion_1,2.25,2,180,cff91_auto
*,c'_,s_,*,torsion_1,1.5,2,180,cff91_auto
*,c'_,si_,*,torsion_1,0,0,0,cff91_auto
*,c'_,sp_,*,torsion_1,1.5,2,180,cff91_auto
*,c+_,n_,*,torsion_1,3.3999999999999999,2,180,cff91_auto
*,c=_,c=_,*,torsion_1,4.0750000000000002,2,180,cff91_auto
*,c=_,c_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_,cp_,*,torsion_1,0.5,2,180,cff91_auto
*,c=_,ct_,*,torsion_1,0,0,0,cff91_auto
*,c=_,n3n_,*,torsion_1,0.5,2,180,cff91_auto
*,c=_,n=_,*,torsion_1,8.1500000000000004,2,180,cff91_auto
*,c=_,n_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_,na_,*,torsion_1,0,0,0,cff91_auto
*,c=_,np_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_,np_,h_,torsion_1,0.75,2,180,cff91_auto
*,c=_,o_,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c=_,op_,*,torsion_1,4,2,180,cff91_auto
*,c=_,p_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_,s_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_,si_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_,sp_,*,torsion_1,6,2,180,cff91_auto
*,c=_1,c=_1,*,torsion_1,0.625,2,180,cff91_auto
*,c=_1,c=_2,*,torsion_1,0.625,2,180,cff91_auto
*,c=_1,c=_3,*,torsion_1,4.0750000000000002,2,180,cff91_auto
*,c=_1,c_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_1,cp_,*,torsion_1,0.5,2,180,cff91_auto
*,c=_1,ct_,*,torsion_1,0,0,0,cff91_auto
*,c=_1,n3n_,*,torsion_1,0.69999999999999996,2,180,cff91_auto
*,c=_1,n=_1,*,torsion_1,0.625,2,180,cff91_auto
*,c=_1,n=_2,*,torsion_1,0.625,2,180,cff91_auto
*,c=_1,n=_3,*,torsion_1,8.1500000000000004,2,180,cff91_auto
*,c=_1,n_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_1,na_,*,torsion_1,0,0,0,cff91_auto
*,c=_1,np_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_1,np_,h_,torsion_1,0.75,2,180,cff91_auto
*,c=_1,o_,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c=_1,op_,*,torsion_1,4,2,180,cff91_auto
*,c=_1,p_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_1,s_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_1,si_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_1,sp_,*,torsion_1,6,2,180,cff91_auto
*,c=_2,c=_2,*,torsion_1,3,2,180,cff91_auto
*,c=_2,c=_3,*,torsion_1,0.625,2,180,cff91_auto
*,c=_2,c_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_2,cp_,*,torsion_1,0.5,2,180,cff91_auto
*,c=_2,ct_,*,torsion_1,0,0,0,cff91_auto
*,c=_2,n3n_,*,torsion_1,0.69999999999999996,2,180,cff91_auto
*,c=_2,n=_1,*,torsion_1,0.625,2,180,cff91_auto
*,c=_2,n=_2,*,torsion_1,2.5,2,180,cff91_auto
*,c=_2,n=_3,*,torsion_1,0.625,2,180,cff91_auto
*,c=_2,n_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_2,na_,*,torsion_1,0,0,0,cff91_auto
*,c=_2,np_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_2,np_,h_,torsion_1,0.75,2,180,cff91_auto
*,c=_2,o_,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c=_2,op_,*,torsion_1,4,2,180,cff91_auto
*,c=_2,p_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_2,s_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_2,si_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_2,sp_,*,torsion_1,6,2,180,cff91_auto
*,c=_3,c=_3,*,torsion_1,4.0750000000000002,2,180,cff91_auto
*,c=_3,c_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_3,cp_,*,torsion_1,0.5,2,180,cff91_auto
*,c=_3,ct_,*,torsion_1,0,0,0,cff91_auto
*,c=_3,n3n_,*,torsion_1,0.69999999999999996,2,180,cff91_auto
*,c=_3,n=_1,*,torsion_1,8.1500000000000004,2,180,cff91_auto
*,c=_3,n=_2,*,torsion_1,0.625,2,180,cff91_auto
*,c=_3,n=_3,*,torsion_1,8.1500000000000004,2,180,cff91_auto
*,c=_3,n_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_3,na_,*,torsion_1,0,0,0,cff91_auto
*,c=_3,np_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_3,np_,h_,torsion_1,0.75,2,180,cff91_auto
*,c=_3,o_,*,torsion_1,0.90000000000000002,2,180,cff91_auto
*,c=_3,op_,*,torsion_1,4,2,180,cff91_auto
*,c=_3,p_,*,torsion_1,1.25,2,180,cff91_auto
*,c=_3,s_,*,torsion_1,1.5,2,180,cff91_auto
*,c=_3,si_,*,torsion_1,0.21099999999999999,3,0,cff91_auto
*,c=_3,sp_,*,torsion_1,6,2,180,cff91_auto
*,c_,c_,*,torsion_1,0.158,3,0,cff91_auto
*,c_,cp_,*,torsion_1,0,0,0,cff91_auto
*,c_,ct_,*,torsion_1,0,0,0,cff91_auto
*,c_,n3n_,*,torsion_1,0.050000000000000003,3,0,cff91_auto
*,c_,n=_,*,torsion_1,0,0,0,cff91_auto
*,c_,n=_1,*,torsion_1,0,0,0,cff91_auto
*,c_,n=_2,*,torsion_1,0,0,0,cff91_auto
*,c_,n=_3,*,torsion_1,0,0,0,cff91_auto
*,c_,n_,*,torsion_1,0,0,0,cff91_auto
*,c_,na_,*,torsion_1,0.050000000000000003,3,0,cff91_auto
*,c_,np_,*,torsion_1,0,0,0,cff91_auto
*,c_,o_,*,torsion_1,0.13,3,0,cff91_auto
*,c_,p_,*,torsion_1,0,0,0,cff91_auto
*,c_,p_,*,torsion_1,0.11,3,0,cff91_auto
*,c_,s_,*,torsion_1,0.13669999999999999,3,0,cff91_auto
*,c_,si_,*,torsion_1,0.1111,3,0,cff91_auto
*,cp_,cp_,*,torsion_1,3,2,180,cff91_auto
*,cp_,ct_,*,torsion_1,0,0,0,cff91_auto
*,cp_,n3n_,*,torsion_1,0.5,2,180,cff91_auto
*,cp_,n=_,*,torsion_1,1.25,2,180,cff91_auto
*,cp_,n=_1,*,torsion_1,1.25,2,180,cff91_auto
*,cp_,n=_2,*,torsion_1,1.25,2,180,cff91_auto
*,cp_,n=_3,*,torsion_1,1.25,2,180,cff91_auto
*,cp_,n_,*,torsion_1,2.25,2,180,cff91_auto
*,cp_,na_,*,torsion_1,2.25,2,180,cff91_auto
*,cp_,np_,*,torsion_1,2,2,180,cff91_auto
*,cp_,np_,h_,torsion_1,1,2,180,cff91_auto
*,cp_,o_,*,torsion_1,1.8,2,180,cff91_auto
*,cp_,o_,h_,torsion_1,0.75,2,180,cff91_auto
*,cp_,op_,*,torsion_1,6,2,180,cff91_auto
*,cp_,p_,*,torsion_1,0.25,3,0,cff91_auto
*,cp_,s_,*,torsion_1,1.5,2,180,cff91_auto
*,cp_,si_,*,torsion_1,0.16669999999999999,3,0,cff91_auto
*,cp_,sp_,*,torsion_1,6,2,180,cff91_auto
*,ct_,ct_,*,torsion_1,0,0,0,cff91_auto
*,ct_,n3n_,*,torsion_1,0,0,0,cff91_auto
*,ct_,n_,*,torsion_1,0,0,0,cff91_auto
*,ct_,na_,*,torsion_1,0,0,0,cff91_auto
*,ct_,np_,*,torsion_1,0,0,0,cff91_auto
*,ct_,o_,*,torsion_1,0,0,0,cff91_auto
*,ct_,s_,*,torsion_1,0,0,0,cff91_auto
*,ct_,si_,*,torsion_1,0,0,0,cff91_auto
*,n3n_,n3n_,*,torsion_1,0.050000000000000003,2,180,cff91_auto
*,n3n_,n=_,*,torsion_1,0.050000000000000003,2,180,cff91_auto
*,n3n_,n=_1,*,torsion_1,0.050000000000000003,2,180,cff91_auto
*,n3n_,n=_2,*,torsion_1,0.050000000000000003,2,180,cff91_auto
*,n3n_,n=_3,*,torsion_1,0.050000000000000003,2,180,cff91_auto
*,n3n_,n_,*,torsion_1,0.050000000000000003,2,180,cff91_auto
*,n3n_,na_,*,torsion_1,0,0,0,cff91_auto
*,n3n_,np_,*,torsion_1,0.050000000000000003,2,180,cff91_auto
*,n3n_,o_,*,torsion_1,0.29999999999999999,3,0,cff91_auto
*,n3n_,s_,*,torsion_1,0.29999999999999999,2,0,cff91_auto
*,n3n_,si_,*,torsion_1,0.050000000000000003,3,0,cff91_auto
*,n=_,n=_,*,torsion_1,15,2,180,cff91_auto
*,n=_,n_,*,torsion_1,0.75,2,180,cff91_auto
*,n=_,na_,*,torsion_1,0,0,0,cff91_auto
*,n=_,np_,*,torsion_1,1.5,2,180,cff91_auto
*,n=_,np_,h_,torsion_1,0.75,2,180,cff91_auto
*,n=_,o_,*,torsion_1,0.69999999999999996,2,180,cff91_auto
*,n=_,s_,*,torsion_1,0.69999999999999996,2,180,cff91_auto
*,n=_,si_,*,torsion_1,0.23330000000000001,2,180,cff91_auto
*,n=_1,n=_1,*,torsion_1,1.5,2,180,cff91_auto
