id,element,ff_type,charge,x,y,z
1,Ca,ca+g,1.5,5.2432499999999997,0,2.15835
2,Ca,ca+g,1.5,5.2432499999999997,3.4980000000000002,5.2773500000000002
3,Ca,ca+g,1.5,1.7477499999999999,0,4.07965
4,Ca,ca+g,1.5,1.7477499999999999,3.4980000000000002,0.96065
5,S,s',0.5,1.7477499999999999,0,0.96689000000000003
6,S,s',0.5,1.7477499999999999,3.4980000000000002,4.08589
7,S,s',0.5,5.2432499999999997,0,5.2711100000000002
8,S,s',0.5,5.2432499999999997,3.4980000000000002,2.15211
9,O,oc11,-0.5,1.7477499999999999,1.1963200000000001,0.09357
10,O,oc11,-0.5,1.7477499999999999,4.6943200000000003,3.2125699999999999
11,O,oc11,-0.5,5.2432499999999997,-1.1963200000000001,6.1444299999999998
12,O,oc11,-0.5,5.2432499999999997,2.3016800000000002,3.0254300000000001
13,O,oc11,-0.5,1.7477499999999999,-1.1963200000000001,0.09357
14,O,oc11,-0.5,1.7477499999999999,2.3016800000000002,3.2125699999999999
15,O,oc11,-0.5,5.2432499999999997,1.1963200000000001,6.1444299999999998
16,O,oc11,-0.5,5.2432499999999997,4.6943200000000003,3.0254300000000001
17,O,oc11,-0.5,0.55928,0,1.8589199999999999
18,O,oc11,-0.5,0.55928,3.4980000000000002,4.9779200000000001
19,O,oc11,-0.5,4.0547800000000001,0,4.3790800000000001
20,O,oc11,-0.5,4.0547800000000001,3.4980000000000002,1.2600800000000001
21,O,oc11,-0.5,2.9362200000000001,0,1.8589199999999999
22,O,oc11,-0.5,2.9362200000000001,3.4980000000000002,4.9779200000000001
23,O,oc11,-0.5,6.4317200000000003,0,4.3790800000000001
24,O,oc11,-0.5,6.4317200000000003,3.4980000000000002,1.2600800000000001
