id,element,ff_type,charge,x,y,z
1,S,s',0.5,11.992529615,0.16624560099999999,3.205777893
2,S,s',0.5,5.9468239140000003,3.6296956009999999,9.5413075470000006
3,S,s',0.5,-0.020541017000000002,0.16624560099999999,9.4652814149999998
4,S,s',0.5,6.0251646839999999,3.6296956009999999,3.1297517610000001
5,S,s',0.5,8.6740193249999997,1.3230378979999999,5.2838316770000002
6,S,s',0.5,2.628313624,4.7864878979999999,11.619361331
7,S,s',0.5,3.2979692730000001,1.3230378979999999,7.387227631
8,S,s',0.5,9.3436749740000007,4.7864878979999999,1.0516979769999999
9,S,s',0.5,3.3155542250000001,1.413087574,1.1023821279999999
10,S,s',0.5,9.3015485239999993,4.8765375740000003,7.4379117819999996
11,S,s',0.5,8.6564343729999997,1.413087574,11.56867718
12,S,s',0.5,2.6704400740000001,4.8765375740000003,5.2331475259999998
13,Ca,ca+g,1.5,8.6293858459999999,1.2260613069999999,1.9893563780000001
14,Ca,ca+g,1.5,2.5836801450000002,4.6895113070000001,8.3248860320000002
15,Ca,ca+g,1.5,3.3426027519999999,1.2260613069999999,10.68170293
16,Ca,ca+g,1.5,9.3883084530000005,4.6895113070000001,4.346173276
17,Ca,ca+g,1.5,3.1442144939999999,1.5100641640000001,4.2701471440000001
18,Ca,ca+g,1.5,9.1302087929999995,4.973514164,10.605676797999999
19,Ca,ca+g,1.5,8.8277741039999995,1.5100641640000001,8.4009121639999993
20,Ca,ca+g,1.5,2.8417798049999998,4.973514164,2.0653825100000001
21,O,oc11,-0.5,12.879173271000001,1.0805964219999999,3.9913836520000001
22,O,oc11,-0.5,6.8334675699999998,4.5440464220000001,10.326913306
23,O,oc11,-0.5,-0.90718467300000005,1.0805964219999999,8.6796756560000006
24,O,oc11,-0.5,5.1385210280000004,4.5440464220000001,2.344146002
25,O,oc11,-0.5,12.778889349,-0.70654378699999998,2.2934616619999999
26,O,oc11,-0.5,6.7331836479999998,2.7569062130000002,8.6289913160000005
27,O,oc11,-0.5,-0.80690075100000003,-0.70654378699999998,10.377597646
28,O,oc11,-0.5,5.2388049499999996,2.7569062130000002,4.0420679919999998
29,O,oc11,-0.5,11.070447603,0.90049696700000004,2.280790766
30,O,oc11,-0.5,5.0247419019999997,4.3639469670000004,8.6163204199999992
31,O,oc11,-0.5,0.90154099499999996,0.90049696700000004,10.390268541999999
32,O,oc11,-0.5,6.9472466959999997,4.3639469670000004,4.0547388880000002
33,O,oc11,-0.5,11.230233324,-0.72732447700000002,4.1180941239999997
34,O,oc11,-0.5,5.1845276230000001,2.7361255230000001,10.453623778000001
35,O,oc11,-0.5,0.74175527399999996,-0.72732447700000002,8.5529651839999996
36,O,oc11,-0.5,6.7874609750000001,2.7361255230000001,2.2174355299999999
37,O,oc11,-0.5,8.8595104100000004,2.341292197,4.219462804
38,O,oc11,-0.5,2.8138047089999998,5.8047421970000004,10.554992457999999
39,O,oc11,-0.5,3.1124781879999999,2.341292197,8.4515965039999994
40,O,oc11,-0.5,9.158183889,5.8047421970000004,2.1160668500000002
41,O,oc11,-0.5,7.5387405220000003,1.607040754,6.1961479080000004
42,O,oc11,-0.5,1.493034821,5.0704907539999997,12.531677562
43,O,oc11,-0.5,4.4332480759999999,1.607040754,6.4749113999999999
44,O,oc11,-0.5,10.478953776999999,5.0704907539999997,0.139381746
45,O,oc11,-0.5,9.8971326150000003,1.2468420499999999,6.1581348419999999
46,O,oc11,-0.5,3.8514269140000001,4.7102920499999996,12.493664495999999
47,O,oc11,-0.5,2.074855983,1.2468420499999999,6.5129244660000003
48,O,oc11,-0.5,8.1205616840000001,4.7102920499999996,0.17739481200000001
49,O,oc11,-0.5,8.4725851819999995,-0.020780699999999999,4.6249367680000004
50,O,oc11,-0.5,2.4268794809999998,3.4426692999999999,10.960466422
51,O,oc11,-0.5,3.4994034159999998,-0.020780699999999999,8.0461225400000007
52,O,oc11,-0.5,9.5451091170000009,3.4426692999999999,1.7105928859999999
53,O,oc11,-0.5,2.7103268649999999,2.5213915490000001,1.8753168019999999
54,O,oc11,-0.5,8.6963211640000004,5.9848415490000004,8.2108464560000005
55,O,oc11,-0.5,9.2616617330000004,2.5213915490000001,10.795742506
56,O,oc11,-0.5,3.2756674339999998,5.9848415490000004,4.4602128519999997
57,O,oc11,-0.5,4.5226053940000002,1.690163619,0.27876330300000002
58,O,oc11,-0.5,10.508599693000001,5.1536136189999997,6.614292957
59,O,oc11,-0.5,7.4493832040000001,1.690163619,12.392296005
60,O,oc11,-0.5,1.463388905,5.1536136189999997,6.0567663510000003
61,O,oc11,-0.5,2.3337318890000001,0.90742388100000004,0.088697418
62,O,oc11,-0.5,8.3197261880000006,4.3708738809999996,6.4242270719999999
63,O,oc11,-0.5,9.6382567090000002,0.90742388100000004,12.58236189
64,O,oc11,-0.5,3.6522624100000001,4.3708738809999996,6.2468322360000004
65,O,oc11,-0.5,3.5878647039999998,0.29092979600000002,2.0400405290000001
66,O,oc11,-0.5,9.5738590030000008,3.7543797959999998,8.3755701830000007
67,O,oc11,-0.5,8.384123894,0.29092979600000002,10.631018779
68,O,oc11,-0.5,2.3981295949999999,3.7543797959999998,4.2954891249999996
69,O,o2*,-0.81999999284744263,0.55074087500000002,3.4842308449999999,8.2361882479999995
70,O,o2*,-0.81999999284744263,6.596446576,6.9476808449999998,1.900658594
71,O,o2*,-0.81999999284744263,11.421247723,3.4842308449999999,4.4348710599999999
72,O,o2*,-0.81999999284744263,5.3755420220000003,6.9476808449999998,10.770400714000001
73,H,h1o,0.40999999642372131,-0.59188202899999998,3.0201283270000001,0.494171323
74,H,h1o,0.40999999642372131,5.3941122699999999,6.483578327,6.8297009769999999
75,H,h1o,0.40999999642372131,0.59188202899999998,3.0201283270000001,-0.494171323
76,H,h1o,0.40999999642372131,6.5778763280000003,6.483578327,5.8413583310000003
77,H,h1o,0.40999999642372131,-0.29201550900000001,3.9275521050000002,8.3502278239999992
78,H,h1o,0.40999999642372131,5.7536901919999996,7.3910021050000001,2.01469817
