id,element,ff_type,charge,x,y,z
1,Ca,ca+a,1.5,-0.15578405200000001,-2.1644438269999999,2.1651800030000001
2,Ca,ca+a,1.5,5.1137729119999999,-1.161145836,1.9949278530000001
3,Ca,ca+a,1.5,3.729870419,4.4843955390000003,3.9594950189999998
4,Ca,ca+a,1.5,5.7112723609999998,6.5529873780000001,5.8718697899999999
5,Ca,ca+a,1.5,1.885347903,6.1195712889999996,2.4072439889999999
6,Ca,ca+a,1.5,5.7377072089999999,6.256303988,1.794380608
7,Al,ac1,1.2000000476837158,3.581848361,0.69246261200000003,0.115890849
8,Al,ac1,1.2000000476837158,3.4199937550000001,4.1534148760000003,-0.062649222000000004
9,O,oc3,-0.75,3.9161905840000002,2.439550235,-0.173965537
10,O,oc3,-0.75,7.300797556,2.5104349610000001,3.6381961930000002
11,O,oc4,-1.3500000238418579,3.6964762069999999,4.8169194580000001,1.564514556
12,O,oc4,-1.3500000238418579,3.147350039,6.7011171059999999,4.1892771360000003
13,O,oc4,-1.3500000238418579,5.0690178530000001,-0.247541334,-0.10099575399999999
14,O,oc4,-1.3500000238418579,2.1470020600000002,0.345578995,-0.77592844800000005
15,Ca,ca+a,1.5,8.4217181930000002,-0.51834984200000001,6.6282729500000004
16,Ca,ca+a,1.5,-2.6473463659999998,-1.25300653,5.6854305219999999
17,Ca,ca+a,1.5,3.626385462,12.033625647999999,11.462679824
18,Ca,ca+a,1.5,1.949795465,10.261540769,13.337343049999999
19,Ca,ca+a,1.5,5.5528838450000002,10.365869168,9.8718014049999994
20,Ca,ca+a,1.5,1.779942444,10.240365018,9.3110992610000007
21,Al,ac1,1.2000000476837158,3.6514386640000001,15.618449686,7.780228761
22,Al,ac1,1.2000000476837158,4.0127582789999998,12.221111391999999,7.587148504
23,O,oc3,-0.75,3.4258301910000002,13.893278077,7.7272032959999999
24,O,oc3,-0.75,15.520725296,14.050077884,11.292202069
25,O,oc4,-1.3500000238418579,3.7120275650000001,11.444478294,9.1392800340000004
26,O,oc4,-1.3500000238418579,4.0965117290000004,9.906050231,11.880484818999999
27,O,oc4,-1.3500000238418579,2.15841605,16.247389693999999,7.070219518
28,O,oc4,-1.3500000238418579,5.2951398359999997,15.862337191,7.2035261640000003
29,Ca,ca+a,1.5,-0.053471681,8.1466094309999999,7.5708837510000002
30,Ca,ca+a,1.5,7.522724148,8.3354470999999997,7.5212902289999999
31,Ca,ca+a,1.5,11.426673937,12.312465726999999,3.639919962
32,Ca,ca+a,1.5,9.3334004279999991,14.160795726,1.615354492
33,Ca,ca+a,1.5,13.358829789,13.956616587999999,5.4130833589999998
34,Ca,ca+a,1.5,9.4624511180000006,14.120162968000001,5.9498729250000002
35,Al,ac1,1.2000000476837158,11.265084616999999,8.5911098349999993,7.4926896300000001
36,Al,ac1,1.2000000476837158,11.71822618,12.019378037999999,7.5234791669999996
37,O,oc3,-0.75,11.142927962,10.345155625,7.5552476249999998
38,O,oc3,-0.75,7.7712239040000002,10.115609369,4.0018782890000004
39,O,oc4,-1.3500000238418579,11.352335375999999,12.632679789000001,5.9472038009999997
40,O,oc4,-1.3500000238418579,11.569385294,-0.66344396800000005,3.481595784
41,O,oc4,-1.3500000238418579,9.7696000329999997,8.082031959,8.2679364979999992
42,O,oc4,-1.3500000238418579,12.885557840000001,8.3788114969999992,8.1096299510000005
43,Ca,ca+a,1.5,7.5414070620000002,8.2139772390000001,-0.034599105999999998
44,Ca,ca+a,1.5,0.118593402,8.2258727220000001,-0.113530355
45,Ca,ca+a,1.5,11.467551405,4.4095090099999998,11.268963708999999
46,Ca,ca+a,1.5,14.505923909,0.66971691,7.3650294240000003
47,Ca,ca+a,1.5,9.4600122740000003,2.3405601890000001,12.843837114999999
48,Ca,ca+a,1.5,13.217253292000001,2.4905048810000001,13.308024264
49,Al,ac1,1.2000000476837158,11.507897623,7.7361522259999997,15.053900714999999
50,Al,ac1,1.2000000476837158,11.053452468,4.2791616149999996,15.073088846999999
51,O,oc3,-0.75,11.665702395,5.9681133219999998,15.07226562
52,O,oc3,-0.75,-0.23629725300000001,6.4548407110000001,11.093695359
53,O,oc4,-1.3500000238418579,11.201852895,3.5255798270000001,13.453999380000001
54,O,oc4,-1.3500000238418579,10.991735895,17.463063028000001,11.034092103000001
55,O,oc4,-1.3500000238418579,13.005383523000001,8.3803049049999991,15.765508710000001
56,O,oc4,-1.3500000238418579,9.9572552519999995,8.0779076859999996,15.693388617
57,Ca,ca+a,1.5,1.8684552320000001,2.5340068969999998,5.5633148309999996
58,Ca,ca+a,1.5,1.529129481,6.1567946219999996,5.6679613050000004
59,Al,ac1,1.2000000476837158,0.025224139,4.3706262420000002,0.15890564800000001
60,Al,ac1,1.2000000476837158,-0.154079515,4.1355744940000001,3.5725984579999999
61,O,oc3,-0.75,-0.121758962,4.6636212129999999,1.8688205760000001
62,O,oc3,-0.75,3.5863049569999998,7.937488793,1.829673176
63,O,oc4,-1.3500000238418579,1.4245281380000001,4.3314248170000003,4.2550673689999998
64,O,oc4,-1.3500000238418579,4.0001039360000004,3.7366170639999998,6.2254482969999998
65,O,oc4,-1.3500000238418579,-0.66338468699999997,5.857093077,-0.47320951300000003
66,O,oc4,-1.3500000238418579,-0.73008948299999998,2.7905914589999998,-0.251929607
67,Ca,ca+a,1.5,9.8250347940000005,6.410520902,9.5898114589999999
68,Ca,ca+a,1.5,8.7135829759999996,2.257469376,9.0651231269999997
69,Al,ac1,1.2000000476837158,7.7229781940000004,4.1466369820000004,14.977748461999999
70,Al,ac1,1.2000000476837158,7.5388653999999997,4.3814846029999996,11.592614280999999
71,O,oc3,-0.75,7.3638601250000004,3.9640047269999998,13.272917855999999
72,O,oc3,-0.75,11.347523753000001,16.103663037,13.333702612
