id,element,ff_type,charge,x,y,z
1,Ca,ca+a,1.5,0.53616663200000003,0.110927226,0.84650213299999999
2,Ca,ca+a,1.5,6.8819842690000002,-0.40439037999999999,0.43027617299999998
3,Ca,ca+a,1.5,3.4718415739999999,3.7411688829999998,3.8033147550000002
4,Ca,ca+a,1.5,5.3287612419999997,5.6015126510000002,5.7443944619999998
5,Ca,ca+a,1.5,1.5992645299999999,5.4653282279999997,2.3257318640000002
6,Ca,ca+a,1.5,5.5224031599999996,5.1639786120000002,1.8240622820000001
7,Al,ac1,1.2000000476837158,3.6917225199999999,-0.097133222000000005,-0.124250869
8,Al,ac1,1.2000000476837158,3.2760666980000002,3.324826952,-0.090966641000000001
9,O,oc3,-0.75,3.9444663150000001,1.6540280620000001,-0.300648468
10,O,oc3,-0.75,7.03385981,1.6095259399999999,3.6902110019999999
11,O,oc4,-1.3500000238418579,3.5860402229999999,3.9822586150000001,1.5258638980000001
12,O,oc4,-1.3500000238418579,2.9915396959999998,5.891455916,4.290674707
13,O,oc4,-1.3500000238418579,5.1103394690000004,-0.50895929200000001,-0.96533408899999995
14,O,oc4,-1.3500000238418579,2.0547128059999999,-0.074623103999999996,-0.60465591600000002
15,Ca,ca+a,1.5,8.1432725710000007,-0.0096585720000000007,6.8330825629999996
16,Ca,ca+a,1.5,-0.65695838799999995,-0.30515551600000002,7.3357445879999998
17,Ca,ca+a,1.5,3.7415336699999999,11.215080232,11.610566155000001
18,Ca,ca+a,1.5,1.9194521529999999,9.3933601190000005,13.468223441999999
19,Ca,ca+a,1.5,5.378044461,9.3622843729999996,9.8024217260000004
20,Ca,ca+a,1.5,1.7642258289999999,9.6690525300000001,9.4394883620000005
21,Al,ac1,1.2000000476837158,3.6861063729999999,14.797494061,7.9330170410000003
22,Al,ac1,1.2000000476837158,3.9610244200000002,11.449908781,7.781869146
23,O,oc3,-0.75,3.277569857,13.090622352,7.870863387
24,O,oc3,-0.75,15.365491585999999,12.954819921,11.432690704000001
25,O,oc4,-1.3500000238418579,3.6992701810000002,10.68621613,9.3028268520000008
26,O,oc4,-1.3500000238418579,4.1171454919999997,8.7887450789999999,11.938096136
27,O,oc4,-1.3500000238418579,2.0688120080000001,15.278334002999999,7.2924240649999996
28,O,oc4,-1.3500000238418579,5.2028182980000004,14.797612074,7.1895558939999997
29,Ca,ca+a,1.5,-0.36511800599999999,7.3381382139999998,7.7006571509999997
30,Ca,ca+a,1.5,7.2760222219999999,7.6337700240000004,7.4569518669999999
31,Ca,ca+a,1.5,11.304197995999999,11.334838695,3.8344122930000002
32,Ca,ca+a,1.5,9.1069512530000001,13.387437559,1.577365181
33,Ca,ca+a,1.5,13.04026504,13.176820024,5.8663669829999998
34,Ca,ca+a,1.5,9.3625746579999998,12.856629484000001,5.8753172630000003
35,Al,ac1,1.2000000476837158,11.125801838999999,7.455263049,7.4539863129999997
36,Al,ac1,1.2000000476837158,11.573394985,10.731419824,7.7424073460000002
37,O,oc3,-0.75,10.92299979,9.1318495469999998,7.6112797570000001
38,O,oc3,-0.75,7.5781133069999997,9.1930027689999996,3.7550823919999998
39,O,oc4,-1.3500000238418579,11.116534546,11.569621264,6.28901339
40,O,oc4,-1.3500000238418579,11.570207706,-0.82130707700000005,3.113255053
41,O,oc4,-1.3500000238418579,9.6268748080000002,6.873830914,8.1340554750000003
42,O,oc4,-1.3500000238418579,12.643343678000001,7.0282410840000002,8.2139859430000008
43,Ca,ca+a,1.5,7.0926886470000001,7.5649528180000001,0.134962674
44,Ca,ca+a,1.5,-0.153814751,7.468697852,0.27618775000000001
45,Ca,ca+a,1.5,11.366222428,3.45975783,11.655535757999999
46,Ca,ca+a,1.5,13.264022300000001,1.2525148829999999,9.5904480499999991
47,Ca,ca+a,1.5,9.5214586210000007,1.2954113819999999,13.251150012
48,Ca,ca+a,1.5,13.115025677,1.4815262929999999,13.628932709000001
49,Al,ac1,1.2000000476837158,11.180167123,6.9012627660000003,15.34417374
50,Al,ac1,1.2000000476837158,10.979223596000001,3.4103976770000002,15.36196646
51,O,oc3,-0.75,11.564837588,5.117379219,15.336665907
52,O,oc3,-0.75,-0.148794971,5.2243994420000002,11.926455697
53,O,oc4,-1.3500000238418579,11.258018492,2.4705426149999998,13.747595586999999
54,O,oc4,-1.3500000238418579,11.03846963,16.414882023000001,11.101402273
55,O,oc4,-1.3500000238418579,12.722890661999999,7.4615719470000004,15.865961321
56,O,oc4,-1.3500000238418579,9.7349303139999996,7.2630107810000002,16.149601201999999
57,Ca,ca+a,1.5,1.7902970760000001,1.8691439519999999,5.2199774489999999
58,Ca,ca+a,1.5,1.34743305,5.5263852040000003,5.6057293550000002
59,Al,ac1,1.2000000476837158,-0.027330351999999999,3.4376805629999998,0.25809163299999999
60,Al,ac1,1.2000000476837158,-0.33873229700000002,3.2100488299999999,3.5331072639999999
61,O,oc3,-0.75,-0.28098960000000001,3.760187299,1.8932860659999999
62,O,oc3,-0.75,3.0935492299999998,7.4200115469999997,2.0983218940000001
63,O,oc4,-1.3500000238418579,1.2130360600000001,3.8061039879999998,4.1499607310000002
64,O,oc4,-1.3500000238418579,3.6952274479999998,2.828161444,6.2277696459999996
65,O,oc4,-1.3500000238418579,-0.30394473999999999,4.8294875099999999,-0.63642104099999997
66,O,oc4,-1.3500000238418579,-0.36692108800000001,1.7790054390000001,-0.34333673300000001
67,Ca,ca+a,1.5,9.5814901070000005,5.388282212,9.5908185560000003
68,Ca,ca+a,1.5,8.8465297169999992,1.1964672510000001,9.6408603900000003
69,Al,ac1,1.2000000476837158,7.6851974099999998,2.9340988339999998,15.154298769
70,Al,ac1,1.2000000476837158,7.4755250330000003,3.5492469770000001,11.871490268000001
71,O,oc3,-0.75,7.2280988959999997,3.6228881180000001,13.585145233
72,O,oc3,-0.75,11.443273805,15.304946541,13.480556647
73,O,oc4,-1.3500000238418579,9.0980980139999996,2.5957779670000001,11.57951183
74,O,oc4,-1.3500000238418579,11.281950956999999,3.947988837,9.3822630270000005
75,O,oc4,-1.3500000238418579,7.7378867969999998,1.2940526450000001,14.476327434
76,O,oc4,-1.3500000238418579,6.4277224960000003,3.2730952210000002,16.114929417999999
77,Ca,ca+a,1.5,5.3465775300000002,12.87591334,13.401737769
78,Ca,ca+a,1.5,5.816914937,9.2292360000000002,13.317426215999999
79,Al,ac1,1.2000000476837158,7.3160475319999998,11.135978258,8.0207992400000006
80,Al,ac1,1.2000000476837158,7.5769794490000004,11.309112220999999,11.404673511
81,O,oc3,-0.75,7.396747296,10.729344724000001,9.7246283659999992
82,O,oc3,-0.75,3.6556592440000002,7.573181827,9.5568817609999996
83,O,oc4,-1.3500000238418579,5.9400384940000004,11.024171240999999,12.059318943999999
84,O,oc4,-1.3500000238418579,3.4461992289999999,11.363287978000001,-1.5450840939999999
85,O,oc4,-1.3500000238418579,7.7425181250000001,9.6724061690000003,7.2289336930000001
86,O,oc4,-1.3500000238418579,8.2930197280000009,12.510747214,7.7648683380000003
87,Ca,ca+a,1.5,12.999919956999999,9.5024840269999995,2.0092347410000002
88,Ca,ca+a,1.5,13.293504866999999,13.433257841,2.1937538289999998
89,Al,ac1,1.2000000476837158,14.906902641,10.974590663000001,7.4541052629999998
90,Al,ac1,1.2000000476837158,15.091660329,10.904889880000001,4.1704212959999998
91,O,oc3,-0.75,15.072211685999999,11.359445730999999,5.8424407299999999
92,O,oc3,-0.75,11.469634555000001,-0.39563372000000002,6.002257159
93,O,oc4,-1.3500000238418579,13.511893598,11.138803895000001,3.4244775180000002
94,O,oc4,-1.3500000238418579,11.000425566000001,10.707025571000001,16.823967728
95,O,oc4,-1.3500000238418579,15.315562411,12.318130258,8.3959206789999996
96,O,oc4,-1.3500000238418579,15.700162262999999,9.4387674130000008,7.6237192819999997
97,Ca,ca+a,1.5,5.24152065,2.0988324559999998,2.1433363060000001
98,Ca,ca+a,1.5,4.8932463090000002,1.189670459,5.4024622320000004
99,Al,ac1,1.2000000476837158,-0.25407933700000002,-0.26759638200000002,3.9233062059999999
100,Al,ac1,1.2000000476837158,3.2074901439999999,-0.19106558300000001,3.2521048160000001
101,O,oc3,-0.75,1.490268881,-0.57108167200000004,3.4299201909999999
102,O,oc3,-0.75,1.4836459879999999,3.4410953659999999,7.4602481550000004
103,O,oc4,-1.3500000238418579,3.343958668,1.5487339309999999,3.5693992400000001
104,O,oc4,-1.3500000238418579,5.6631377609999998,4.0421093729999997,3.7613971990000001
105,O,oc4,-1.3500000238418579,0.057825349999999998,0.47198246399999999,5.5149119390000001
106,O,oc4,-1.3500000238418579,-0.82811880400000004,0.30738329199999997,2.3821445570000002
107,Ca,ca+a,1.5,9.5053243359999993,9.7563356500000005,5.6716050009999996
108,Ca,ca+a,1.5,9.5484447130000003,9.2566472280000003,1.908350964
109,Al,ac1,1.2000000476837158,14.639034394999999,7.46081752,3.9615216059999998
110,Al,ac1,1.2000000476837158,11.329279249000001,7.340296726,4.1099892469999997
111,O,oc3,-0.75,12.980810397000001,7.4252517940000002,3.5822711530000002
112,O,oc3,-0.75,13.445844675,11.134504428,15.640201455
113,O,oc4,-1.3500000238418579,10.586928795,8.8366329140000008,3.88277531
114,O,oc4,-1.3500000238418579,8.9694564270000008,11.353019605,4.3585471260000004
115,O,oc4,-1.3500000238418579,15.204459238,6.6913053309999997,2.475330134
116,O,oc4,-1.3500000238418579,14.714012515,6.593542147,5.5440539920000003
117,Ca,ca+a,1.5,13.319758624,5.6093796490000001,13.547891361
118,Ca,ca+a,1.5,12.935778454999999,5.550207511,9.7125018470000004
