id,element,ff_type,charge,x,y,z
1,Ca,ca+a,1.5,0.23777605700000001,0.060413811999999997,0.73003996199999999
2,Ca,ca+a,1.5,4.7133370790000004,-1.648581745,2.0670245010000001
3,Ca,ca+a,1.5,3.5593279419999999,4.1214405679999997,3.9059133880000001
4,Ca,ca+a,1.5,5.7972143459999996,5.8377421280000004,5.8586566680000001
5,Ca,ca+a,1.5,1.8925210770000001,5.851955706,2.0228159940000001
6,Ca,ca+a,1.5,5.6059410820000002,5.6252938290000003,1.7588404609999999
7,Al,ac1,1.2000000476837158,3.3052910390000001,0.26734317899999999,-0.020996324
8,Al,ac1,1.2000000476837158,3.3225822709999999,3.7264430700000002,-0.18428333899999999
9,O,oc3,-0.75,3.7423131650000001,1.9727251690000001,-0.234619039
10,O,oc3,-0.75,6.8816518120000003,2.1017640590000002,3.5423532550000001
11,O,oc4,-1.3500000238418579,3.7126393110000002,4.3376048770000004,1.4149955009999999
12,O,oc4,-1.3500000238418579,2.9876096859999999,6.3316748010000001,4.0666195380000003
13,O,oc4,-1.3500000238418579,4.6803968759999997,-0.79976024199999995,-0.097020250000000002
14,O,oc4,-1.3500000238418579,1.7338229140000001,0.074926510000000002,-0.862114359
15,Ca,ca+a,1.5,8.0369416640000004,0.058190209,6.71329479
16,Ca,ca+a,1.5,-2.8074407579999998,-1.582342731,5.2934227299999996
17,Ca,ca+a,1.5,3.740398721,11.781912459000001,11.342067685
18,Ca,ca+a,1.5,2.1866844510000001,9.9233229390000002,13.15428603
19,Ca,ca+a,1.5,5.651237901,9.8053665910000003,10.000952363
20,Ca,ca+a,1.5,1.826119987,10.015097227,9.3012360520000001
21,Al,ac1,1.2000000476837158,3.9301333039999999,15.165636611,7.8104635199999999
22,Al,ac1,1.2000000476837158,4.1244485470000001,11.819583055000001,7.6179916509999996
23,O,oc3,-0.75,3.7330981649999999,13.48770341,7.9816588770000001
24,O,oc3,-0.75,15.615633150000001,13.429153368,11.290851653000001
25,O,oc4,-1.3500000238418579,3.7866664550000002,10.957067844999999,9.132660649
26,O,oc4,-1.3500000238418579,4.2012900289999999,9.2366942020000007,11.805020142
27,O,oc4,-1.3500000238418579,2.3586646949999999,15.606482937000001,7.1888170330000003
28,O,oc4,-1.3500000238418579,5.4206915379999998,15.367405754,7.0069349230000002
29,Ca,ca+a,1.5,-0.25351465099999998,7.9702277730000004,7.39385168
30,Ca,ca+a,1.5,7.5692144309999998,7.9840275949999997,7.5635584040000001
31,Ca,ca+a,1.5,11.286683330000001,11.843498959,3.7275247220000001
32,Ca,ca+a,1.5,9.3866918500000001,13.753578287,1.8007938109999999
33,Ca,ca+a,1.5,13.252100727,13.674461717,5.7457666280000002
34,Ca,ca+a,1.5,9.4881686849999998,13.536689669999999,6.0410664550000002
35,Al,ac1,1.2000000476837158,11.399765589999999,7.9590614220000004,7.4152444239999999
36,Al,ac1,1.2000000476837158,11.811856451000001,11.354893567,7.7683697780000003
37,O,oc3,-0.75,11.687462807999999,9.5886465189999992,7.902902181
38,O,oc3,-0.75,7.8035528010000004,9.4637609900000008,3.761752188
39,O,oc4,-1.3500000238418579,11.335349529,11.850172456999999,6.1718182090000004
40,O,oc4,-1.3500000238418579,11.651711807,-0.88272682400000002,3.4594958500000002
41,O,oc4,-1.3500000238418579,9.8437263739999992,7.5204657529999999,8.1405861220000002
42,O,oc4,-1.3500000238418579,12.893626942999999,7.0773074019999997,7.7505992839999998
