id,element,ff_type,charge,x,y,z
1,Ca,ca++,1.5,11.131932258999999,1.835847735,2.7176372999999998
2,Ca,ca++,1.5,9.2264299390000009,5.1361861229999999,5.7121744159999999
3,Ca,ca++,1.5,8.2193784710000006,3.5174071790000001,2.7175223829999999
4,Si,sc1,1,0.0072309219999999999,8.9100000000000002e-07,0.028616547999999999
5,Si,sc1,1,0.0072970709999999996,1.672e-06,5.5251588820000004
6,Si,sc1,1,8.1302967069999994,5.5999999999999999e-08,2.9542129039999998
7,O,oc1,-1,2.0380532740000001,3.517407656,4.5957875250000004
8,O,oc2,-1.5,10.161074638000001,3.517406464,4.1568284029999996
9,O,oc1,-1,-0.74354231400000004,1.3004024030000001,6.0484237670000001
10,O,oc1,-1,1.508809447,4.8760000000000004e-06,6.0486688610000003
11,O,oc1,-1,0.0070740239999999999,-1.378e-06,1.600960851
12,O,oc1,-1,0.0074706399999999997,4.6260000000000003e-06,3.9433636669999999
13,O,oc2,-1.5,10.161149025,3.5174045559999998,7.1827778819999999
14,O,oc2,-1.5,4.068757057,-3.3749999999999999e-06,1.031637669
15,O,oc1,-1,8.880521774,-1.2991771700000001,7.9461045270000001
16,O,oc1,-1,0.52701783199999996,3.5174095630000002,2.3980231289999998
17,O,oc1,-1,0.53794944300000003,3.517399073,7.9458856579999999
18,O,oc1,-1,2.7935132980000001,4.8259563449999998,2.397971869
19,Ca,ca++,1.5,7.0704898829999996,1.835847735,11.142574310000001
20,Ca,ca++,1.5,5.164988041,5.1361861229999999,14.13711071
21,Ca,ca++,1.5,11.151305198999999,1.802490234,8.3706340790000002
22,Ca,ca++,1.5,7.9688568120000003,3.5174026490000001,14.137010574
23,Ca,ca++,1.5,4.1579365729999997,3.5174071790000001,11.142458916000001
24,Ca,ca++,1.5,8.1810026170000008,3.5174028869999998,8.3707504270000008
25,Si,sc1,1,8.1303892139999991,8.9100000000000002e-07,8.4535532
26,Si,sc1,1,8.1304559709999999,1.672e-06,13.950095177
27,Si,sc1,1,4.0688548090000003,5.5999999999999999e-08,11.379149437000001
28,O,oc1,-1,10.161211967,3.517407656,13.020724296999999
29,O,oc2,-1.5,6.0996327399999997,3.517406464,12.581765174999999
30,O,oc1,-1,7.3796157840000003,1.3004024030000001,14.473360061999999
31,O,oc1,-1,9.6319675450000002,4.8760000000000004e-06,14.473605156
32,O,oc1,-1,8.1302328110000008,-1.378e-06,10.02589798
33,O,oc1,-1,8.1306295389999992,4.6260000000000003e-06,12.368300438
34,O,oc2,-1.5,6.0997071270000003,3.5174045559999998,15.607714653
35,O,oc2,-1.5,0.0073153929999999999,-3.3749999999999999e-06,9.4565744400000007
36,O,oc1,-1,4.819079876,-1.2991771700000001,16.371040344000001
37,O,oc1,-1,8.6501760480000005,3.5174095630000002,10.822959900000001
38,O,oc1,-1,8.6611080170000001,3.517399073,16.370822906000001
39,O,oc1,-1,10.916671752999999,4.8259563449999998,10.822908400999999
40,Ca,ca++,1.5,3.0090487000000001,1.835847735,19.567510604999999
41,Ca,ca++,1.5,1.1035466190000001,5.1361861229999999,22.562047958000001
42,Ca,ca++,1.5,7.0898628229999998,1.802490234,16.795570374
43,Ca,ca++,1.5,3.9074156279999999,3.5174026490000001,22.561946869
44,Ca,ca++,1.5,0.096495144000000005,3.5174071790000001,19.567396164000002
45,Ca,ca++,1.5,4.1195611950000002,3.5174028869999998,16.795686721999999
46,Si,sc1,1,4.0689477920000003,8.9100000000000002e-07,16.878490448000001
47,Si,sc1,1,4.0690135959999996,1.672e-06,22.375032425000001
48,Si,sc1,1,0.0074133790000000003,5.5999999999999999e-08,19.804086685000001
49,O,oc1,-1,6.0997695920000004,3.517407656,21.445661545
