id,element,ff_type,charge,x,y,z
1,Ca,ca++,1.5,-1.078170061,1.8842471839999999,2.6729741100000002
2,Ca,ca++,1.5,9.2332763670000002,5.1880455019999996,5.5734887119999996
3,Ca,ca++,1.5,3.0543322559999999,1.783810616,-0.013335701
4,Ca,ca++,1.5,-0.16433721800000001,3.5364999770000001,5.5559854509999997
5,Ca,ca++,1.5,8.2817716600000004,3.5364999770000001,2.6404683590000002
6,Ca,ca++,1.5,0.004507769,3.5364999770000001,-0.0041670759999999996
7,Si,sc1,1,0.031373209999999999,0,0.0058343680000000004
8,Si,sc1,1,-0.028324551999999999,0,5.436797619
9,Si,sc1,1,8.141782761,0,2.9780282969999998
10,O,oc1,-1,2.0139667989999999,3.5364999770000001,4.5899806019999998
11,O,oc2,-1.5,-2.0549883840000001,3.5364999770000001,4.1932439800000001
12,O,oc1,-1,-0.74142366599999998,1.249091744,5.9535560609999996
13,O,oc1,-1,1.4195610279999999,0,5.9777269359999998
14,O,oc1,-1,-0.034940246000000001,0,1.641957879
15,O,oc1,-1,0.074668229000000003,0,3.8056750300000002
16,O,oc2,-1.5,-2.0986142160000001,3.5364999770000001,7.1295981409999998
17,O,oc2,-1.5,4.1010856630000001,0,1.0493527650000001
18,O,oc1,-1,-3.3692519660000002,5.7602510450000004,7.8905663490000002
19,O,oc1,-1,0.48248317800000001,3.5364999770000001,2.379588842
20,O,oc1,-1,0.54529076799999998,3.5364999770000001,7.8597273830000001
21,O,oc1,-1,2.7658307550000001,4.9008817670000004,2.4012591840000002
22,Ca,ca++,1.5,-1.078170061,5.1887526509999997,2.6729741100000002
23,Ca,ca++,1.5,9.2332763670000002,1.884954453,5.5734887119999996
24,Ca,ca++,1.5,3.0543322559999999,5.289189339,-0.013335701
25,O,oc1,-1,-0.74142366599999998,5.823908329,5.9535560609999996
26,O,oc1,-1,-3.3692519660000002,1.312748909,7.8905663490000002
27,O,oc1,-1,2.7658307550000001,2.1721181870000001,2.4012591840000002
28,Ca,ca++,1.5,5.0393300060000001,5.4207472799999996,2.6729741100000002
29,Ca,ca++,1.5,3.1157762999999998,1.651545525,5.5734887119999996
30,Ca,ca++,1.5,9.1718320850000001,5.3203105930000003,-0.013335701
31,Ca,ca++,1.5,5.9531626700000002,0,5.5559854509999997
32,Ca,ca++,1.5,2.164271593,0,2.6404683590000002
33,Ca,ca++,1.5,6.1220078469999999,0,-0.0041670759999999996
34,Si,sc1,1,6.1488733289999997,3.5364999770000001,0.0058343680000000004
35,Si,sc1,1,6.0891752239999999,3.5364999770000001,5.436797619
36,Si,sc1,1,2.024282694,3.5364999770000001,2.9780282969999998
37,O,oc1,-1,8.1314668660000002,0,4.5899806019999998
38,O,oc2,-1.5,4.0625114440000001,0,4.1932439800000001
39,O,oc1,-1,5.3760762209999999,4.7855916020000002,5.9535560609999996
40,O,oc1,-1,7.5370612140000004,3.5364999770000001,5.9777269359999998
41,O,oc1,-1,6.0825595860000004,3.5364999770000001,1.641957879
42,O,oc1,-1,6.1921682359999997,3.5364999770000001,3.8056750300000002
43,O,oc2,-1.5,4.0188856120000001,0,7.1295981409999998
44,O,oc2,-1.5,10.218585967999999,3.5364999770000001,1.0493527650000001
45,O,oc1,-1,2.7482481000000001,2.2237510679999999,7.8905663490000002
46,O,oc1,-1,6.599983215,0,2.379588842
47,O,oc1,-1,6.6627907750000004,0,7.8597273830000001
48,O,oc1,-1,8.8833303449999992,1.3643817899999999,2.4012591840000002
49,Ca,ca++,1.5,5.0393300060000001,1.6522527929999999,2.6729741100000002
50,Ca,ca++,1.5,3.1157762999999998,5.4214544299999998,5.5734887119999996
51,Ca,ca++,1.5,9.1718320850000001,1.7526893619999999,-0.013335701
52,O,oc1,-1,5.3760762209999999,2.2874083519999999,5.9535560609999996
53,O,oc1,-1,2.7482481000000001,4.8492488859999998,7.8905663490000002
54,O,oc1,-1,8.8833303449999992,5.7086181639999998,2.4012591840000002
