id,element,ff_type,charge,x,y,z
1,Ca,ca++,1.5,-1.052668095,1.835847735,2.7176372999999998
2,Ca,ca++,1.5,9.2264299390000009,5.1361861229999999,5.7121744159999999
3,Ca,ca++,1.5,3.028146505,1.802490234,-0.054302994
4,Ca,ca++,1.5,-0.15430149400000001,3.5174026490000001,5.7120742800000004
5,Ca,ca++,1.5,8.2193784710000006,3.5174071790000001,2.7175223829999999
6,Ca,ca++,1.5,0.057844408,3.5174028869999998,-0.054186113000000001
7,Si,sc1,1,0.0072309219999999999,8.9100000000000002e-07,0.028616547999999999
8,Si,sc1,1,0.0072970709999999996,1.672e-06,5.5251588820000004
9,Si,sc1,1,8.1302967069999994,5.5999999999999999e-08,2.9542129039999998
10,O,oc1,-1,2.0380532740000001,3.517407656,4.5957875250000004
11,O,oc2,-1.5,-2.0235252379999999,3.517406464,4.1568284029999996
12,O,oc1,-1,-0.74354231400000004,1.3004024030000001,6.0484237670000001
13,O,oc1,-1,1.508809447,4.8760000000000004e-06,6.0486688610000003
14,O,oc1,-1,0.0070740239999999999,-1.378e-06,1.600960851
15,O,oc1,-1,0.0074706399999999997,4.6260000000000003e-06,3.9433636669999999
16,O,oc2,-1.5,-2.02345109,3.5174045559999998,7.1827778819999999
17,O,oc2,-1.5,4.068757057,-3.3749999999999999e-06,1.031637669
18,O,oc1,-1,-3.3040781020000001,5.7356228829999996,7.9461045270000001
19,O,oc1,-1,0.52701783199999996,3.5174095630000002,2.3980231289999998
20,O,oc1,-1,0.53794944300000003,3.517399073,7.9458856579999999
21,O,oc1,-1,2.7935132980000001,4.8259563449999998,2.397971869
22,Ca,ca++,1.5,-1.0526667830000001,5.1989712719999996,2.717641354
23,Ca,ca++,1.5,9.2264280319999994,1.898623943,5.7121715550000003
24,Ca,ca++,1.5,3.0281474589999999,5.2323145870000003,-0.054302976000000003
25,O,oc1,-1,-0.74353510099999998,5.734405518,6.0484218600000004
26,O,oc1,-1,-3.3040721419999999,1.2991856340000001,7.9461088179999999
27,O,oc1,-1,2.7935070990000002,2.2088480000000001,2.3979744909999998
28,Ca,ca++,1.5,5.0396099090000002,5.3532428740000002,2.717640877
29,Ca,ca++,1.5,3.1341536049999998,1.6187821630000001,5.7121739390000004
30,Ca,ca++,1.5,9.1204242709999992,5.3199009899999998,-0.054302960999999997
31,Ca,ca++,1.5,5.9379730220000004,8.4e-07,5.7120742800000004
32,Ca,ca++,1.5,2.1271018979999998,-1.9149999999999999e-06,2.7175228599999999
33,Ca,ca++,1.5,6.1501188280000001,-2.0810000000000001e-06,-0.054185881999999998
34,Si,sc1,1,6.0995073319999999,3.5174033640000002,0.028616355999999999
35,Si,sc1,1,6.0995736120000004,3.5174040789999999,5.5251588820000004
36,Si,sc1,1,2.0380220410000001,3.5174050330000002,2.9542126660000001
37,O,oc1,-1,8.1303272250000003,-1.5740000000000001e-06,4.5957880019999999
38,O,oc2,-1.5,4.0687494280000003,-1.99e-06,4.1568284029999996
39,O,oc1,-1,5.3487377169999997,4.8178086279999999,6.0484218600000004
40,O,oc1,-1,7.6010856630000001,3.5174021720000002,6.0486693379999998
41,O,oc1,-1,6.0993504520000004,3.5174021720000002,1.6009607320000001
42,O,oc1,-1,6.0997471809999997,3.5174026490000001,3.9433636669999999
43,O,oc2,-1.5,4.0688233379999996,1.124e-06,7.1827778819999999
44,O,oc2,-1.5,10.16103363,3.517408133,1.0316377880000001
45,O,oc1,-1,2.7882030009999998,2.218219757,7.9461069110000002
46,O,oc1,-1,6.6192922589999998,-2.2290000000000002e-06,2.398023367
47,O,oc1,-1,6.6302237509999999,8.1159999999999999e-06,7.9458861350000003
48,O,oc1,-1,8.8857841489999991,1.3085553649999999,2.3979742530000001
49,Ca,ca++,1.5,5.0396060939999998,1.6815575359999999,2.717638016
50,Ca,ca++,1.5,3.1341531279999999,5.4160294530000002,5.7121720309999997
51,Ca,ca++,1.5,9.1204214100000005,1.714915872,-0.054302916
52,O,oc1,-1,5.3487353320000004,2.2170023919999999,6.0484232899999997
53,O,oc1,-1,2.7881977560000002,4.8165922160000001,7.9461064339999998
54,O,oc1,-1,8.8857870099999996,5.7262563709999998,2.3979725840000001
