id,element,ff_type,charge,x,y,z
1,Al,ac2,1.2000000476837158,0,0,0
2,Ca,ca+e,1.6000000238418579,0.087762907000000001,9.1374902729999992,18.795000076000001
3,Ca,ca+e,1.6000000238418579,9.6929368969999992,-3.4680798049999999,2.6849999429999998
4,O,oc8,-0.89999997615814209,-0.058508999999999999,1.5426199439999999,-1.1169590949999999
5,O,oc5,-0.89999997615814209,-0.03900547,-1.4975795750000001,1.2243599890000001
6,O,oc7,-0.89999997615814209,0.039005771000000002,1.6214400529999999,17.291400909
7,O,oc8,-0.89999997615814209,0.039005954000000002,-1.4187599420000001,4.2530398370000002
8,O,o*,-0.81999999284744263,1.7e-08,3.9184799190000001,1.009559989
9,O,o*,-0.81999999284744263,0.097514353999999998,7.4090800290000001,20.577840805000001
10,O,o*,-0.81999999284744263,9.7221918110000001,-1.728409767,4.2745199200000004
11,O,o*,-0.81999999284744263,9.7124404910000006,1.7678201200000001,16.926240921000002
12,O,o*,-0.81999999284744263,2.5646302699999999,3.0796101089999999,13.274640083
13,O,o*,-0.81999999284744263,7.2550759319999996,2.4884600639999999,8.0335197449999995
14,O,o*,-0.81999999284744263,2.525624514,3.113389969,2.7064800259999999
15,O,o*,-0.81999999284744263,7.48911047,2.4096398350000001,18.687599182
16,O,oc11,-0.60000002384185791,3.250482082,5.6300001140000004,9.0215997699999999
17,O,oc11,-0.60000002384185791,3.250482082,5.6300001140000004,17.484720230000001
18,O,oc11,-0.60000002384185791,3.250482082,5.6300001140000004,1.5036000009999999
19,O,oc11,-0.60000002384185791,1.901531935,6.131070137,11.12664032
20,O,oc11,-0.60000002384185791,1.901532054,5.8833498950000003,15.530039787
21,O,oc11,-0.60000002384185791,1.8722774980000001,5.5061402319999999,-0.38663908800000002
22,O,o*,-0.81999999284744263,1.921034694,6.0635099410000004,5.2196397780000003
23,S,s',0.60000002384185791,3.250482082,5.6300001140000004,10.54668045
24,S,s',0.60000002384185791,3.250482082,5.6300001140000004,16.11000061
25,S,s',0.60000002384185791,3.250482082,5.6300001140000004,0.19332000599999999
26,H,h*,0.40999999642372131,0.79725818599999998,6.7387684510000003,20.724975501999999
27,H,h*,0.40999999642372131,-0.66914471499999995,6.9350528669999996,20.957405799
28,H,h*,0.40999999642372131,10.410723631,-1.1208431059999999,4.5794588730000001
29,H,h*,0.40999999642372131,8.9360722280000005,-1.167890139,4.4509287259999999
30,H,h*,0.40999999642372131,8.9633627750000002,1.157211502,16.846597763999998
31,H,h*,0.40999999642372131,10.419419799,1.243175573,16.503008956999999
32,H,h*,0.40999999642372131,2.8777148279999998,3.5960417649999998,12.503672502000001
33,H,h*,0.40999999642372131,2.9288210910000001,3.6186741800000002,14.005012371999999
34,H,h*,0.40999999642372131,6.9052302399999999,2.0836038440000002,8.8494237879999993
35,H,h*,0.40999999642372131,7.0446421490000004,1.753827273,7.4274037990000004
36,H,h*,0.40999999642372131,3.0682986730000001,2.3363182899999999,2.4835179479999998
37,H,h*,0.40999999642372131,2.8723756640000002,3.80621565,2.114301744
38,H,h*,0.40999999642372131,7.0843914650000004,1.6078602179999999,19.070165948
39,H,h*,0.40999999642372131,6.7764199400000003,3.060723077,18.759908226
40,H,h*,0.40999999642372131,0.73400351900000005,4.4179841819999996,0.598862915
41,H,h*,0.40999999642372131,-0.73428700000000002,4.53169047,0.81975284500000001
42,H,h*,0.40999999642372131,2.7219025289999998,6.5349373130000004,5.5143533419999997
43,H,h*,0.40999999642372131,1.7717329470000001,6.5344523580000002,4.3774758440000001
44,Al,ac2,1.2000000476837158,9.7514457700000001,-5.6300001140000004,0
45,Ca,ca+e,1.6000000238418579,9.8392086029999994,3.507490158,18.795000076000001
46,Ca,ca+e,1.6000000238418579,19.444383621,-9.0980796809999998,2.6849999429999998
47,O,oc8,-0.89999997615814209,9.6929368969999992,-4.0873799320000002,-1.1169590949999999
48,O,oc5,-0.89999997615814209,9.7124404910000006,-7.1275796890000001,1.2243599890000001
49,O,oc7,-0.89999997615814209,9.7904520030000004,-4.0085597039999996,17.291400909
50,O,oc8,-0.89999997615814209,9.7904520030000004,-7.0487599369999998,4.2530398370000002
51,O,o*,-0.81999999284744263,9.7514457700000001,-1.711520076,1.009559989
52,O,o*,-0.81999999284744263,9.8489608759999996,1.7790797949999999,20.577840805000001
53,O,o*,-0.81999999284744263,19.473638534999999,-7.3584098820000001,4.2745199200000004
54,O,o*,-0.81999999284744263,19.463886260999999,-3.862179995,16.926240921000002
55,O,o*,-0.81999999284744263,12.316076279000001,-2.550389767,13.274640083
56,O,o*,-0.81999999284744263,17.006521225,-3.141539812,8.0335197449999995
57,O,o*,-0.81999999284744263,12.277070998999999,-2.5166099069999999,2.7064800259999999
58,O,o*,-0.81999999284744263,17.240556717,-3.2203600410000002,18.687599182
59,O,oc11,-0.60000002384185791,13.001928329,1.1600000000000001e-07,9.0215997699999999
60,O,oc11,-0.60000002384185791,13.001928329,1.1600000000000001e-07,17.484720230000001
61,O,oc11,-0.60000002384185791,13.001928329,1.1600000000000001e-07,1.5036000009999999
62,O,oc11,-0.60000002384185791,11.652977943,0.50107008200000003,11.12664032
63,O,oc11,-0.60000002384185791,11.652977943,0.25334995999999999,15.530039787
64,O,oc11,-0.60000002384185791,11.623723984,-0.123859815,-0.38663908800000002
65,O,o*,-0.81999999284744263,11.672480583,0.43350979699999997,5.2196397780000003
66,S,s',0.60000002384185791,13.001928329,1.1600000000000001e-07,10.54668045
67,S,s',0.60000002384185791,13.001928329,1.1600000000000001e-07,16.11000061
68,S,s',0.60000002384185791,13.001928329,1.1600000000000001e-07,0.19332000599999999
69,H,h*,0.40999999642372131,10.548704675,1.108768194,20.724975303000001
70,H,h*,0.40999999642372131,9.0823021789999991,1.3050525470000001,20.957406508999998
71,H,h*,0.40999999642372131,20.162171987000001,-6.7508446620000004,4.5794580539999998
72,H,h*,0.40999999642372131,18.687520062000001,-6.7978890190000003,4.4509297270000001
73,H,h*,0.40999999642372131,18.714808285,-4.4727883190000002,16.846598005000001
74,H,h*,0.40999999642372131,20.170865715000001,-4.3868247289999998,16.503009578
75,H,h*,0.40999999642372131,12.629160777999999,-2.0339580540000002,12.503672523000001
76,H,h*,0.40999999642372131,12.680267062,-2.011325695,14.005012383
77,H,h*,0.40999999642372131,16.656675970999999,-3.546396219,8.8494239140000008
78,H,h*,0.40999999642372131,16.79608781,-3.876172897,7.427403966
79,H,h*,0.40999999642372131,12.819747139,-3.2936801509999998,2.4835177129999999
80,H,h*,0.40999999642372131,12.623821194,-1.823782998,2.1143025130000002
81,H,h*,0.40999999642372131,16.835838021000001,-4.0221396479999996,19.070166205
82,H,h*,0.40999999642372131,16.527866418999999,-2.5692767160000001,18.759908824
83,H,h*,0.40999999642372131,10.485448201000001,-1.212014951,0.59886210100000004
84,H,h*,0.40999999642372131,9.0171580290000009,-1.0983099329999999,0.81975403499999999
85,H,h*,0.40999999642372131,12.473348209999999,0.90493768100000005,5.5143530040000002
86,H,h*,0.40999999642372131,11.523177682,0.90445266499999999,4.3774762760000003
87,Al,ac2,1.2000000476837158,0,-0,5.3699998859999996
88,Al,ac2,1.2000000476837158,9.7514457700000001,-5.6300001140000004,5.3699998859999996
89,H,hoc,0.34999999403953552,-0.040497592999999998,-2.3354957719999998,0.77780538899999996
