id,element,ff_type,charge,x,y,z
1,Al,ac3,1.5,0,0,0
2,Ca,ca+m,1.3999999761581421,2.8793001170000001,1.662364602,0.56884938500000004
3,O,oc21,-0.80000001192092896,1.602618337,-0.27129790199999998,0.99407964900000001
4,O,o*,-0.81999999284744263,0,0,20.937299727999999
5,S,s_m,1,0,0,13.397299767
6,O,oc18,-0.80000001192092896,-0.56635832799999997,1.5235571859999999,0.99407964900000001
7,O,o*,-0.81999999284744263,5.0318226810000004,-0.49676090499999997,14.244731903
8,O,oc16,-0.80000001192092896,4.722340107,-1.2522592539999999,0.99407964900000001
9,Ca,ca+m,1.3999999761581421,-0,3.324729204,26.225749968999999
10,O,oc20,-0.80000001192092896,4.1559815410000001,0.27129790199999998,-0.99408006699999996
11,O,o*,-0.81999999284744263,0,0,5.8572993279999999
12,O,oc15,-0.60000002384185791,0,0,12.156709671
13,O,oc19,-0.80000001192092896,6.3249583239999998,-1.5235571859999999,-0.99408006699999996
14,O,oc15,-0.60000002384185791,1.30720222,-0.43886420100000001,14.032332419999999
15,O,oc17,-0.80000001192092896,1.0362601279999999,1.2522592539999999,-0.99408006699999996
16,O,oc15,-0.60000002384185791,-0.27353349300000002,1.351502419,14.032332419999999
17,Al,ac3,1.5,2.8793001170000001,1.662364602,8.9315328600000008
18,Ca,ca+m,1.3999999761581421,-0,3.324729204,9.5003824229999996
19,O,oc21,-0.80000001192092896,4.4819183349999996,1.3910666700000001,9.9256134029999998
20,O,o*,-0.81999999284744263,2.8793001170000001,1.662364602,3.0742337700000002
21,S,s_m,1,8.6379003520000008,1.662364602,22.328832626000001
22,O,oc15,-0.60000002384185791,9.6715688709999998,2.5750029090000002,21.693801879999999
23,O,oc15,-0.60000002384185791,8.6379003520000008,1.662364602,23.569423676
24,O,oc18,-0.80000001192092896,2.31294179,3.185921907,9.9256134029999998
25,O,oc15,-0.60000002384185791,7.3306980130000001,2.101228952,21.693801879999999
26,O,oc16,-0.80000001192092896,1.843039989,0.41010534799999998,9.9256134029999998
27,O,oc15,-0.60000002384185791,8.9114332199999993,0.31086218399999999,21.693801879999999
28,Ca,ca+m,1.3999999761581421,0,0,8.3626842499999992
29,O,oc20,-0.80000001192092896,1.2766816620000001,1.933662534,7.9374537470000002
30,O,o*,-0.81999999284744263,2.8793001170000001,1.662364602,14.788832663999999
31,O,oc19,-0.80000001192092896,3.4456582070000001,0.138807446,7.9374537470000002
32,O,oc17,-0.80000001192092896,3.9155600069999998,2.9146239760000001,7.9374537470000002
33,Al,ac3,1.5,-0,3.324729204,17.863065720000002
34,Ca,ca+m,1.3999999761581421,0,0,18.431915282999999
35,O,oc21,-0.80000001192092896,1.602618337,3.0534312730000002,18.857147217000001
36,O,o*,-0.81999999284744263,-0,3.324729204,12.005766869
37,O,o*,-0.81999999284744263,0.82484990400000002,3.7388315200000002,3.6521844859999999
38,O,oc18,-0.80000001192092896,-0.56635832799999997,4.8482866290000004,18.857147217000001
39,O,oc16,-0.80000001192092896,-1.0362601279999999,2.0724699499999999,18.857147217000001
40,Ca,ca+m,1.3999999761581421,2.8793001170000001,1.662364602,17.294218062999999
41,O,oc20,-0.80000001192092896,-1.602618337,3.596027136,16.86898613
42,O,o*,-0.81999999284744263,-0,3.324729204,23.720365524000002
43,O,o*,-0.81999999284744263,-1.2156490090000001,2.641522884,5.146234035
44,O,oc19,-0.80000001192092896,0.56635832799999997,1.8011720179999999,16.86898613
45,O,oc17,-0.80000001192092896,1.0362601279999999,4.576988697,16.86898613
46,Al,ac3,1.5,5.7586002350000003,0,0
47,Ca,ca+m,1.3999999761581421,8.6379003520000008,1.662364602,0.56884938500000004
48,O,oc21,-0.80000001192092896,7.3612184520000001,-0.27129790199999998,0.99407964900000001
49,O,o*,-0.81999999284744263,5.7586002350000003,0,20.937299727999999
50,O,o*,-0.81999999284744263,6.935245514,0.73760420100000001,12.691995621
51,O,oc18,-0.80000001192092896,5.1922416690000004,1.5235571859999999,0.99407964900000001
52,O,oc16,-0.80000001192092896,-1.036260247,-1.2522592539999999,0.99407964900000001
53,Ca,ca+m,1.3999999761581421,5.7586002350000003,3.324729204,26.225749968999999
54,O,oc20,-0.80000001192092896,-1.602618694,0.27129790199999998,-0.99408006699999996
55,O,o*,-0.81999999284744263,5.7586002350000003,0,5.8572993279999999
56,O,oc15,-0.60000002384185791,-1.0336686369999999,-0.91263812799999999,14.032332419999999
57,O,oc19,-0.80000001192092896,0.56635796999999999,-1.5235571859999999,-0.99408006699999996
58,O,oc17,-0.80000001192092896,6.7948598860000002,1.2522592539999999,-0.99408006699999996
59,Al,ac3,1.5,8.6379003520000008,1.662364602,8.9315328600000008
60,Ca,ca+m,1.3999999761581421,5.7586002350000003,3.324729204,9.5003824229999996
61,O,oc21,-0.80000001192092896,10.240518570000001,1.3910666700000001,9.9256134029999998
62,O,o*,-0.81999999284744263,8.6379003520000008,1.662364602,3.0742337700000002
63,O,o*,-0.81999999284744263,1.5302926299999999,2.4356253149999998,21.557168960999999
64,O,oc18,-0.80000001192092896,8.0715417859999992,3.185921907,9.9256134029999998
65,O,oc16,-0.80000001192092896,7.6016397480000002,0.41010534799999998,9.9256134029999998
66,Ca,ca+m,1.3999999761581421,5.7586002350000003,0,8.3626842499999992
67,O,oc20,-0.80000001192092896,7.0352816579999997,1.933662534,7.9374537470000002
68,O,o*,-0.81999999284744263,8.6379003520000008,1.662364602,14.788832663999999
69,O,oc19,-0.80000001192092896,9.204257965,0.138807446,7.9374537470000002
70,O,o*,-0.81999999284744263,3.9278209209999999,1.4953159090000001,22.688299179000001
71,O,oc17,-0.80000001192092896,9.6741600040000009,2.9146239760000001,7.9374537470000002
72,Al,ac3,1.5,5.7586002350000003,3.324729204,17.863065720000002
73,Ca,ca+m,1.3999999761581421,5.7586002350000003,0,18.431915282999999
74,O,oc21,-0.80000001192092896,7.3612184520000001,3.0534312730000002,18.857147217000001
75,O,o*,-0.81999999284744263,5.7586002350000003,3.324729204,12.005766869
76,S,s_m,1,5.7586002350000003,3.324729204,4.4657664300000004
77,O,oc15,-0.60000002384185791,6.7922687530000001,4.2373676299999996,3.8307347300000001
