id,element,ff_type,charge,x,y,z
1,Al,ac3,1.5,0,0,0
2,Ca,ca+m,1.3999999761581421,3.3247294429999998,-8.3000000000000002e-08,0.56884938500000004
3,O,oc21,-0.80000001192092896,1.2522592539999999,-1.036260009,0.99407964900000001
4,O,o*,-0.81999999284744263,0,0,20.937299727999999
5,S,s_m,1,-0,0,13.397299767
6,O,oc18,-0.80000001192092896,0.27129790199999998,1.602618337,0.99407964900000001
7,O,o*,-0.81999999284744263,4.109305859,8.5710811610000004,14.244731903
8,O,oc16,-0.80000001192092896,3.463536978,8.0715417859999992,0.99407964900000001
9,Ca,ca+m,1.3999999761581421,1.662364602,2.879299879,26.225749968999999
10,O,oc20,-0.80000001192092896,3.7348344330000001,9.6741600040000009,-0.99408006699999996
11,O,o*,-0.81999999284744263,0,0,5.8572993279999999
12,O,oc15,-0.60000002384185791,0,0,12.156709671
13,O,oc19,-0.80000001192092896,4.7157959939999996,7.0352816579999997,-0.99408006699999996
14,O,oc15,-0.60000002384185791,0.91263824699999996,-1.0336686369999999,14.032332419999999
15,O,oc17,-0.80000001192092896,1.5235571859999999,0.566358268,-0.99408006699999996
16,O,oc15,-0.60000002384185791,0.43886426099999998,1.30720222,14.032332419999999
17,Al,ac3,1.5,3.3247294429999998,-8.3000000000000002e-08,8.9315328600000008
18,Ca,ca+m,1.3999999761581421,1.662364602,2.879299879,9.5003824229999996
19,O,oc21,-0.80000001192092896,4.576988697,-1.0362601279999999,9.9256134029999998
20,O,o*,-0.81999999284744263,3.3247294429999998,-8.3000000000000002e-08,3.0742337700000002
21,S,s_m,1,8.3118238449999993,8.6379003520000008,22.328832626000001
22,O,oc15,-0.60000002384185791,9.6633262630000001,8.9114332199999993,21.693801879999999
23,O,oc15,-0.60000002384185791,8.3118238449999993,8.6379003520000008,23.569423676
24,O,oc18,-0.80000001192092896,3.5960273740000002,1.6026184560000001,9.9256134029999998
25,O,oc15,-0.60000002384185791,7.399185181,9.6715688709999998,21.693801879999999
26,O,oc16,-0.80000001192092896,1.801172137,-0.56635832799999997,9.9256134029999998
27,O,oc15,-0.60000002384185791,7.8729586600000001,7.3306980130000001,21.693801879999999
28,Ca,ca+m,1.3999999761581421,0,0,8.3626842499999992
29,O,oc20,-0.80000001192092896,2.0724699499999999,1.036260009,7.9374537470000002
30,O,o*,-0.81999999284744263,3.3247294429999998,-8.3000000000000002e-08,14.788832663999999
31,O,oc19,-0.80000001192092896,3.0534312730000002,-1.602618337,7.9374537470000002
32,O,oc17,-0.80000001192092896,4.8482866290000004,0.56635838699999996,7.9374537470000002
33,Al,ac3,1.5,1.662364602,2.879299879,17.863065720000002
34,Ca,ca+m,1.3999999761581421,0,0,18.431915282999999
35,O,oc21,-0.80000001192092896,2.9146237369999999,1.8430398699999999,18.857147217000001
36,O,o*,-0.81999999284744263,1.662364602,2.879299879,12.005766869
37,O,o*,-0.81999999284744263,2.583756685,2.8254981039999998,3.6521844859999999
38,O,oc18,-0.80000001192092896,1.9336626530000001,4.4819183349999996,18.857147217000001
39,O,oc16,-0.80000001192092896,0.138807386,2.31294179,18.857147217000001
40,Ca,ca+m,1.3999999761581421,3.3247294429999998,-8.3000000000000002e-08,17.294218062999999
41,O,oc20,-0.80000001192092896,0.41010537699999999,3.9155600069999998,16.86898613
42,O,o*,-0.81999999284744263,1.662364602,2.879299879,23.720365524000002
43,O,o*,-0.81999999284744263,0.26797851900000003,2.8954503539999998,5.146234035
44,O,oc19,-0.80000001192092896,1.3910666700000001,1.2766815419999999,16.86898613
45,O,oc17,-0.80000001192092896,3.185921907,3.4456584449999998,16.86898613
46,Al,ac3,1.5,4.9870939249999999,8.6379003520000008,-0
47,Ca,ca+m,1.3999999761581421,8.3118238449999993,8.6379003520000008,0.56884938500000004
48,O,oc21,-0.80000001192092896,6.2393531800000002,7.6016402239999996,0.99407964900000001
49,O,o*,-0.81999999284744263,4.9870939249999999,8.6379003520000008,20.937299727999999
50,O,o*,-0.81999999284744263,6.3749008180000004,8.6883611680000001,12.691995621
51,O,oc18,-0.80000001192092896,5.2583918570000003,10.240518570000001,0.99407964900000001
52,O,oc16,-0.80000001192092896,-1.523557305,-0.566358209,0.99407964900000001
53,Ca,ca+m,1.3999999761581421,6.6494588849999996,-1.66e-07,26.225749968999999
54,O,oc20,-0.80000001192092896,-1.2522594929999999,1.036260247,-0.99408006699999996
55,O,o*,-0.81999999284744263,4.9870939249999999,8.6379003520000008,5.8572993279999999
56,O,oc15,-0.60000002384185791,-1.351502419,-0.27353349300000002,14.032332419999999
57,O,oc19,-0.80000001192092896,-0.27129819999999999,-1.6026182170000001,-0.99408006699999996
58,O,oc17,-0.80000001192092896,6.5106511119999997,9.2042589190000008,-0.99408006699999996
59,Al,ac3,1.5,8.3118238449999993,8.6379003520000008,8.9315328600000008
60,Ca,ca+m,1.3999999761581421,6.6494588849999996,-1.66e-07,9.5003824229999996
61,O,oc21,-0.80000001192092896,9.5640821460000005,7.6016397480000002,9.9256134029999998
62,O,o*,-0.81999999284744263,8.3118238449999993,8.6379003520000008,3.0742337700000002
63,O,o*,-0.81999999284744263,2.54308486,1.3441671129999999,21.557168960999999
64,O,oc18,-0.80000001192092896,8.5831213000000002,10.240518570000001,9.9256134029999998
65,O,oc16,-0.80000001192092896,6.7882657049999997,8.0715417859999992,9.9256134029999998
66,Ca,ca+m,1.3999999761581421,4.9870939249999999,8.6379003520000008,8.3626842499999992
67,O,oc20,-0.80000001192092896,7.0595641139999996,9.6741600040000009,7.9374537470000002
68,O,o*,-0.81999999284744263,8.3118238449999993,8.6379003520000008,14.788832663999999
69,O,oc19,-0.80000001192092896,8.0405244830000004,7.0352816579999997,7.9374537470000002
70,O,o*,-0.81999999284744263,4.1492505069999996,-0.66892892100000001,22.688299179000001
71,O,oc17,-0.80000001192092896,9.8353805540000003,9.2042589190000008,7.9374537470000002
72,Al,ac3,1.5,6.6494588849999996,-1.66e-07,17.863065720000002
73,Ca,ca+m,1.3999999761581421,4.9870939249999999,8.6379003520000008,18.431915282999999
74,O,oc21,-0.80000001192092896,7.9017176630000003,-1.0362601279999999,18.857147217000001
75,O,o*,-0.81999999284744263,6.6494588849999996,-1.66e-07,12.005766869
76,S,s_m,1,6.6494588849999996,-1.66e-07,4.4657664300000004
77,O,oc15,-0.60000002384185791,8.0009613040000005,0.27353364200000002,3.8307347300000001
78,O,oc15,-0.60000002384185791,6.6494588849999996,-1.66e-07,5.7063565250000003
79,O,oc18,-0.80000001192092896,6.9207563399999996,1.6026185749999999,18.857147217000001
80,O,oc15,-0.60000002384185791,5.7368202210000003,1.033668518,3.8307347300000001
81,O,oc16,-0.80000001192092896,5.1259016989999999,-0.56635844700000004,18.857147217000001
82,O,oc15,-0.60000002384185791,6.2105941769999999,-1.30720222,3.8307347300000001
83,Ca,ca+m,1.3999999761581421,8.3118238449999993,8.6379003520000008,17.294218062999999
84,O,oc20,-0.80000001192092896,5.3971991539999999,1.0362601279999999,16.86898613
85,O,o*,-0.81999999284744263,6.6494588849999996,-1.66e-07,23.720365524000002
86,O,oc19,-0.80000001192092896,6.3781604769999998,-1.6026184560000001,16.86898613
87,O,oc17,-0.80000001192092896,8.1730155940000007,0.56635856600000001,16.86898613
88,H,h*,0.40999999642372131,0.33144238599999998,-0.38617533399999998,21.771612167000001
89,H,h*,0.40999999642372131,-0.70401901,0.60726714100000001,21.284320830999999
90,H,h*,0.40999999642372131,3.5555737019999998,7.7863388059999998,14.441386223
91,H,h*,0.40999999642372131,3.4658706189999999,9.3109884259999998,14.281846046
92,H,h*,0.40999999642372131,0.12605042799999999,0.84977889100000004,5.3776779169999998
93,H,h*,0.40999999642372131,0.31159940400000002,-0.64839470399999999,5.1755104059999999
94,H,h*,0.40999999642372131,4.2404332159999996,0.08052057,3.4457042219999998
95,H,h*,0.40999999642372131,3.085672379,-0.89449542800000004,3.4339993
96,H,h*,0.40999999642372131,2.4145390990000002,-0.13056618,14.414495468
97,H,h*,0.40999999642372131,3.5172231200000001,0.90907812099999996,14.438649178
98,H,hoy,0.20000000298023224,2.9344170090000001,1.460961819,19.705444335999999
99,H,h*,0.40999999642372131,2.4776968959999999,2.8064246179999999,12.565628051999999
100,H,h*,0.40999999642372131,1.083289266,2.3148849010000001,12.581095695
101,H,h*,0.40999999642372131,3.0864281650000001,1.9831504820000001,3.5802519319999999
102,H,h*,0.40999999642372131,3.2787647249999998,3.4976031779999999,3.502977848
103,H,hoy,0.20000000298023224,2.1478486060000002,4.6744894979999998,19.746019362999998
104,H,hoy,0.20000000298023224,-0.19025731100000001,2.4847486019999998,19.714836121000001
105,H,hoy,0.20000000298023224,0.27298557800000001,4.0895643230000003,15.964114189
106,H,h*,0.40999999642372131,2.175239801,3.57473588,23.231433868
107,H,h*,0.40999999642372131,0.80612444900000002,2.9837081429999999,23.230434418000002
108,H,h*,0.40999999642372131,1.1097329849999999,2.8919060230000002,4.623032093
