id,element,ff_type,charge,x,y,z
1,Ca,ca+t,1.5,3.2334870520000001,2.6390055750000001,7.981892395
2,Ca,ca+t,1.5,-0.051936152999999999,2.6576337940000001,6.0088088580000001
3,Si,sc2,1,3.479814159,2.3968379830000002,4.9033224110000004
4,Si,sc3,1,2.9745169499999999,4.6570685300000001,2.9134465989999998
5,Si,sc2,1,1.091799484,5.9672573010000001,4.9005236639999996
6,O,oc12,-0.5,2.9803281859999999,3.1792256010000002,3.4927775049999998
7,O,oc12,-0.5,4.3491663569999996,1.173581242,4.315595471
8,O,oc13,-1,4.2910431530000004,3.4400214120000001,5.7933090629999997
9,O,oc13,-1,2.2633358029999999,1.8690368310000001,5.7793153269999999
10,O,oc22,-1,4.956198627,1.5523608840000001,26.638026598
11,O,oc14,-0.6600000262260437,4.3456613170000002,5.5139802949999996,3.2884724919999999
12,O,o*,-0.81999999284744263,0.15499063299999999,2.7631939499999998,3.6271152940000002
13,O,oc12,-0.5,1.610738547,5.3401053369999998,3.5039724950000002
14,O,oc13,-1,0.019667272999999999,5.1165659650000004,5.7849128209999998
15,O,oc13,-1,2.4083471780000001,6.4143357209999996,5.7905103159999998
16,O,o*,-0.81999999284744263,3.2675916310000002,4.7750475610000001,26.419727951999999
17,O,o*,-0.81999999284744263,1.1372265770000001,1.316398022,0.083961000999999993
18,Ca,ca+t,1.5,1.8734142170000001,6.1721682680000001,0.053175301000000001
19,O,o*,-0.81999999284744263,3.190262777,2.6638431389999999,0
20,Ca,ca+t,1.5,-0.13401294799999999,2.6390055750000001,21.975392395
21,Ca,ca+t,1.5,3.315563847,2.6576337940000001,20.002308857999999
22,Si,sc2,1,0.112314159,2.3968379830000002,18.896822410999999
23,Si,sc3,1,-0.39298305,4.6570685300000001,16.906946599000001
24,Si,sc2,1,-2.2757005160000001,5.9672573010000001,18.894023663999999
25,O,oc12,-0.5,-0.387171814,3.1792256010000002,17.486277505
26,O,oc12,-0.5,0.98166635700000004,1.173581242,18.309095470999999
27,O,oc13,-1,0.92354315300000001,3.4400214120000001,19.786809063
28,O,oc13,-1,-1.104164197,1.8690368310000001,19.772815327
29,O,oc22,-1,1.5886986270000001,1.5523608840000001,12.644526598000001
30,O,oc14,-0.6600000262260437,0.97816131699999997,5.5139802949999996,17.281972492000001
31,O,o*,-0.81999999284744263,3.5224906329999999,2.7631939499999998,17.620615294
32,O,oc12,-0.5,-1.756761453,5.3401053369999998,17.497472495
33,O,oc13,-1,-3.3478327270000001,5.1165659650000004,19.778412821
34,O,oc13,-1,-0.95915282199999996,6.4143357209999996,19.784010316
35,O,o*,-0.81999999284744263,-0.099908368999999997,4.7750475610000001,12.426227952
36,Ca,ca+t,1.5,1.197948437,5.7437179279999997,20.005107604999999
37,Ca,ca+t,1.5,-2.0874747679999999,5.7623461469999997,21.978191142
38,Si,sc2,1,1.444275545,5.5015503360000002,23.083677589000001
39,Si,sc3,1,5.010055564,1.5523561770000001,25.073553401000002
40,Si,sc2,1,3.1273380990000001,2.862544947,23.086476336
41,O,oc12,-0.5,5.0158668009999996,0.074513247000000005,24.494222494999999
42,O,oc12,-0.5,2.3136277430000001,4.2782935960000001,23.671404529
43,O,oc13,-1,2.255481767,6.5447090589999997,22.193690937
44,O,oc13,-1,0.22779718800000001,4.973749185,22.207684672999999
45,O,oc22,-1,2.9206372420000002,4.6570685300000001,1.3489734019999999
46,O,oc14,-0.6600000262260437,6.3811999310000003,2.409267941,24.698527508000002
47,O,o*,-0.81999999284744263,-1.8805479810000001,5.8679063039999999,24.359884705999999
48,O,oc12,-0.5,3.6462771620000001,2.2353929830000001,24.483027504999999
49,O,oc13,-1,2.0552058870000001,2.0118536109999998,22.202087178999999
50,O,oc13,-1,4.4439085629999999,3.309628075,22.196489683999999
51,O,o*,-0.81999999284744263,5.3031302460000003,1.670335208,1.567272048
52,O,o*,-0.81999999284744263,-0.89831203800000003,4.4211103759999997,27.903038999
53,Ca,ca+t,1.5,-2.1695515630000002,5.7437179279999997,6.011607605
54,Ca,ca+t,1.5,1.2800252320000001,5.7623461469999997,7.984691142
55,Si,sc2,1,-1.9232244549999999,5.5015503360000002,9.0901775889999996
56,Si,sc3,1,1.642555564,1.5523561770000001,11.080053401000001
57,Si,sc2,1,-0.24016190100000001,2.862544947,9.0929763359999995
58,O,oc12,-0.5,1.6483668010000001,0.074513247000000005,10.500722495
59,O,oc12,-0.5,-1.0538722570000001,4.2782935960000001,9.6779045289999992
60,O,oc13,-1,-1.1120182329999999,6.5447090589999997,8.2001909370000003
61,O,oc13,-1,-3.1397028119999999,4.973749185,8.2141846730000001
62,O,oc22,-1,-0.44686275800000003,4.6570685300000001,15.342473402
63,O,oc14,-0.6600000262260437,3.0136999310000001,2.409267941,10.705027508000001
64,O,o*,-0.81999999284744263,1.4869520190000001,5.8679063039999999,10.366384706
65,O,oc12,-0.5,0.27877716200000002,2.2353929830000001,10.489527505
66,O,oc13,-1,-1.3122941130000001,2.0118536109999998,8.2085871790000002
67,O,oc13,-1,1.076408563,3.309628075,8.2029896840000003
68,O,o*,-0.81999999284744263,1.9356302460000001,1.670335208,15.560772048
69,O,o*,-0.81999999284744263,5.3039130319999996,1.7821001869999999,14.077461001
70,O,o*,-0.81999999284744263,2.4691879619999999,4.4211103759999997,13.909538999
71,Ca,ca+t,1.5,0.54145283200000005,3.067455915,13.940324699
72,O,o*,-0.81999999284744263,-2.2127758380000002,5.768555492,13.993499999999999
73,H,hoy,0.40999999642372131,6.8434234140000001,2.7910269379999999,25.423346562999999
74,H,hoy,0.40999999642372131,1.430525643,5.9043066160000004,16.556567615999999
75,H,hoy,0.40999999642372131,3.708867862,2.3956888850000002,11.336226581
76,H,hoy,0.40999999642372131,4.8327973149999996,5.8381061609999998,2.5503924429999998
77,H,h*,0.40999999642372131,5.6337345609999998,1.725693551,2.49829919
78,H,h*,0.40999999642372131,4.4150896140000002,2.070426667,1.7126902049999999
79,H,h*,0.40999999642372131,0.0082529170000000002,3.6367830649999999,3.1979213259999999
80,H,h*,0.40999999642372131,1.10490292,2.6306136520000001,3.3865073479999999
81,H,h*,0.40999999642372131,1.1622666189999999,2.1658009310000002,0.576324689
82,H,h*,0.40999999642372131,2.0650624720000001,1.3876430980000001,-0.24854859500000001
83,H,h*,0.40999999642372131,4.0509164069999999,2.3873230009999999,-0.41233962499999999
84,H,h*,0.40999999642372131,3.3749569799999999,3.497716686,0.50773471199999998
85,H,h*,0.40999999642372131,1.1118161010000001,5.6295659990000004,11.240697981
86,H,h*,0.40999999642372131,2.3960566889999999,6.1465887459999999,10.628428401000001
87,H,h*,0.40999999642372131,-0.92299993199999997,5.24584736,12.704850911999999
88,H,h*,0.40999999642372131,-0.388250759,4.5177184539999997,11.510968959
89,H,h*,0.40999999642372131,2.846418908,4.6848916239999996,13.042448887000001
90,H,h*,0.40999999642372131,3.1948738049999998,4.8286360999999998,14.441054179
91,H,h*,0.40999999642372131,5.1906333250000003,0.81602355000000004,13.947312897
92,H,h*,0.40999999642372131,4.3884586360000002,2.0306706870000002,14.334808815000001
93,H,h*,0.40999999642372131,1.8263786639999999,0.69821797399999996,15.649539151999999
94,H,h*,0.40999999642372131,2.1187071839999998,1.8826654350000001,16.507602957
95,H,h*,0.40999999642372131,-1.3851551499999999,5.5798575399999999,14.515919081
96,H,h*,0.40999999642372131,-2.0914660829999998,6.6770091709999999,13.603581678999999
97,H,h*,0.40999999642372131,3.4300633020000002,3.6570985469999999,17.219969854999999
98,H,h*,0.40999999642372131,4.4580537739999997,2.578700569,17.360758008000001
99,H,h*,0.40999999642372131,-2.0280473780000001,6.7224945089999997,24.823259273000001
100,H,h*,0.40999999642372131,-0.95414088500000005,5.6936984410000004,24.654904704
101,H,h*,0.40999999642372131,-1.022468524,3.4648210430000002,27.728846518000001
102,H,h*,0.40999999642372131,-1.789048763,4.7623345600000002,27.666951214000001
103,H,h*,0.40999999642372131,3.145948272,3.7972874600000002,26.448947827000001
104,H,h*,0.40999999642372131,3.4059037339999998,4.8806433199999999,25.446882538000001
