id,element,ff_type,charge,x,y,z
1,Al,ay1,1.4490000009536743,0.93827681100000004,4.4018364050000001,3.3526851770000001
2,Al,ay2,1.4490000009536743,1.0827720590000001,7.303633477,3.2171513900000002
3,Al,ay1,1.4490000009536743,3.644013041,8.8012749340000003,3.3526891120000002
4,Al,ay2,1.4490000009536743,3.4981060400000001,2.848365587,3.2813503929999999
5,Si,sy1,1.1000000238418579,0.22296806399999999,3.1071741249999998,0.39946929599999997
6,Si,sy2,1.1000000238418579,0.28302296300000002,5.7914356180000004,0.61347023499999997
7,Si,sy1,1.1000000238418579,2.6790162280000001,7.5017626899999996,0.54213626000000004
8,Si,sy2,1.1000000238418579,2.768464571,1.6022659400000001,0.47793740699999998
9,O,oy7,-0.75800001621246338,-0.011567381,2.9837851870000001,2.189943822
10,O,oy8,-0.75800001621246338,0.22686833000000001,5.8403813170000003,2.0686762060000001
11,O,oy1,-0.55000001192092896,0.48967801700000002,4.3702122000000001,-0.19260458999999999
12,O,oy2,-0.55000001192092896,1.3801380839999999,1.9720730099999999,-0.14266963399999999
13,O,oy3,-0.55000001192092896,1.29718117,6.8758916110000001,-0.24966297500000001
14,O,oy7,-0.75800001621246338,2.6884866430000001,7.4668424990000002,2.097208636
15,O,oy8,-0.75800001621246338,2.9462123980000001,1.329524178,2.1899466460000001
16,O,oy1,-0.55000001192092896,2.8705421040000001,0.032639092000000001,-0.171198135
17,O,oy2,-0.55000001192092896,3.938787316,6.4756473520000002,0.214002884
18,O,oy3,-0.55000001192092896,3.9906874239999999,2.3471473870000001,-0.12839750599999999
19,O,oy9,-0.68300002813339233,0.034421875999999997,8.5712910440000005,2.2256173029999999
20,O,oy5,-0.68300002813339233,4.1622281609999998,1.422807677,4.1667717040000003
21,O,oy4,-0.68300002813339233,-0.44848201300000001,4.0163008429999998,4.1730221790000002
22,O,oy6,-0.68300002813339233,-0.576940381,7.3929717039999998,4.272888891
23,O,oy9,-0.68300002813339233,2.5596594289999999,4.1111913940000004,2.1685501760000001
24,O,oy5,-0.68300002813339233,1.5870695290000001,5.7585350890000004,4.2158268469999998
25,O,oy4,-0.68300002813339233,1.979372098,8.5696928630000002,4.1159600000000003
26,O,oy6,-0.68300002813339233,1.888439948,3.157883456,4.1730205280000003
27,H,hoy,0.20000000298023224,0.63084909499999997,9.502510418,2.4538634859999999
28,H,hok,0.20000000298023224,4.6830687109999998,1.5256856190000001,5.0869832510000004
29,H,hok,0.20000000298023224,-0.96034682100000002,4.5326952509999998,5.0290243869999998
30,H,hok,0.20000000298023224,-0.91826224300000003,7.3201653840000001,5.1003668769999999
31,H,hoy,0.20000000298023224,3.0950144009999998,4.8749140930000001,1.7976107189999999
32,H,hok,0.20000000298023224,1.849340867,5.611037091,5.1360292650000003
33,H,hok,0.20000000298023224,1.7013442400000001,8.6061051039999992,5.1502964249999996
34,H,hok,0.20000000298023224,1.7814459789999999,2.4673459169999998,5.0218916550000001
