id,element,ff_type,charge,x,y,z
1,Al,ay1,1.4490000009536743,0.79804855600000002,0.75277757599999995,4.9879369740000001
2,Si,sy1,1.1000000238418579,1.639848113,8.376114845,7.6895365719999997
3,Si,sy2,1.1000000238418579,1.572234511,2.3268489840000002,7.6907334330000001
4,K,k+,1,-1.001559138,0.88349938400000005,9.9726829529999996
5,H,hoy,0.20000000298023224,1.314217567,5.8590435980000004,6.1810688970000003
6,O,oy1,-0.55000001192092896,1.325518727,0.83571833399999995,8.3431463239999992
7,O,oy2,-0.55000001192092896,0.48361423599999998,7.3087038990000002,8.1343183519999993
8,O,oy3,-0.55000001192092896,0.46030280000000001,3.3383655550000002,8.3509254459999998
9,O,oy7,-0.75800001621246338,1.785613656,8.503231049,6.0520224569999996
10,O,oy8,-0.75800001621246338,1.3956093789999999,2.2673480509999999,6.0530195239999998
11,O,oy9,-0.68300002813339233,1.7692798380000001,5.0729093550000002,5.9871997830000003
12,Al,ay1,1.4490000009536743,2.3906331060000001,0.75277757599999995,14.957428931999999
13,Si,sy1,1.1000000238418579,1.548833728,8.376114845,12.255828856999999
14,Si,sy2,1.1000000238418579,1.61644733,2.3268489840000002,12.254631996000001
15,H,hoy,0.20000000298023224,1.874464393,5.8590435980000004,13.764296531999999
16,O,oy1,-0.78299999237060547,1.863163114,0.83571833399999995,11.602218627999999
17,O,oy2,-0.78299999237060547,2.705067396,7.3087038990000002,11.811046599999999
18,O,oy3,-0.55000001192092896,2.7283790109999999,3.3383655550000002,11.59444046
19,O,oy7,-0.75800001621246338,1.403068185,8.503231049,13.893342971999999
20,O,oy8,-0.75800001621246338,1.7930725810000001,2.2673480509999999,13.892346381999999
21,O,oy9,-0.68300002813339233,1.4194020030000001,5.0729093550000002,13.958166122
22,Al,ay2,1.4479999542236328,3.392192364,8.2625226969999996,4.9847459790000004
23,Al,ay2,1.4479999542236328,-0.20351053799999999,8.2625226969999996,14.960619926
24,Si,sy1,1.1000000238418579,0.63828903400000003,0.63918477299999998,17.662220001000001
25,Si,sy2,1.1000000238418579,0.57067543300000001,6.6884512899999997,17.663415909000001
26,H,hoy,0.20000000298023224,0.312658459,3.1562564370000001,16.153751372999999
27,O,oy1,-0.78299999237060547,0.32395961899999998,8.1795816420000005,18.315828323000002
28,O,oy2,-0.55000001192092896,-0.51794493200000002,1.706596255,18.107000351
29,O,oy3,-0.55000001192092896,-0.54125630899999999,5.6769342419999997,18.323608398000001
30,O,oy4,-0.75800001621246338,0.78405457700000003,0.51206904600000003,16.024703979000002
31,O,oy5,-0.75800001621246338,0.39405021099999998,6.7479519840000002,16.025701522999999
32,O,oy6,-0.68300002813339233,0.76772075900000003,3.9423906799999999,15.959882736000001
33,Al,ay1,1.4490000009536743,3.3939485550000001,5.2604274750000002,4.9879369740000001
34,Si,sy1,1.1000000238418579,4.2357478139999998,3.8684651849999998,7.6895365719999997
35,Si,sy2,1.1000000238418579,4.1681346890000004,6.8344988820000001,7.6907334330000001
36,K,k+,1,1.5943409200000001,5.391149521,9.9726829529999996
37,H,hoy,0.20000000298023224,3.9101176259999999,1.351393461,6.1810688970000003
38,O,oy1,-0.55000001192092896,3.9214186670000002,5.3433685300000002,8.3431463239999992
39,O,oy2,-0.55000001192092896,3.0795140270000001,2.801053762,8.1343183519999993
40,O,oy3,-0.55000001192092896,3.0562026499999999,7.8460154529999997,8.3509254459999998
41,O,oy7,-0.75800001621246338,4.3815135959999996,3.9955809119999999,6.0520224569999996
42,O,oy8,-0.75800001621246338,3.991509438,6.7749981879999996,6.0530195239999998
43,O,oy9,-0.68300002813339233,4.3651800160000001,0.56525933699999997,5.9871997830000003
44,Al,ay1,1.4490000009536743,-0.20526675899999999,5.2604274750000002,14.957428931999999
45,Si,sy1,1.1000000238418579,-1.0470663309999999,3.8684651849999998,12.255828856999999
46,Al,ayt2,0.80000001192092896,-0.97945272900000002,6.8344988820000001,12.254631996000001
47,H,hoy,0.20000000298023224,-0.72143572600000005,1.351393461,13.764296531999999
48,O,oy1,-0.78299999237060547,-0.73273694499999997,5.3433685300000002,11.602218627999999
49,O,oy2,-0.55000001192092896,0.10916759099999999,2.801053762,11.811046599999999
50,O,oy3,-0.78299999237060547,0.132478967,7.8460154529999997,11.59444046
51,O,oy7,-0.75800001621246338,-1.1928318739999999,3.9955809119999999,13.893342971999999
52,O,oy8,-0.75800001621246338,-0.80282753699999998,6.7749981879999996,13.892346381999999
53,O,oy9,-0.68300002813339233,-1.1764980549999999,0.56525933699999997,13.958166122
54,Al,ay2,1.4479999542236328,0.796292365,3.754872561,4.9847459790000004
55,Al,ay2,1.4479999542236328,2.3923892969999998,3.754872561,14.960619926
56,Si,sy1,1.1000000238418579,3.2341890339999999,5.1468348500000003,17.662220001000001
57,Si,sy2,1.1000000238418579,3.1665754320000001,2.180801153,17.663415909000001
58,H,hoy,0.20000000298023224,2.9085583690000001,7.6639065740000003,16.153751372999999
59,O,oy1,-0.55000001192092896,2.9198596480000001,3.6719317440000001,18.315828323000002
60,O,oy2,-0.55000001192092896,2.077955008,6.2142462729999997,18.107000351
61,O,oy3,-0.55000001192092896,2.0546436309999998,1.1692844630000001,18.323608398000001
62,O,oy4,-0.75800001621246338,3.3799545759999998,5.0197191239999999,16.024703979000002
63,O,oy5,-0.75800001621246338,2.9899501800000001,2.2403020859999998,16.025701522999999
64,O,oy6,-0.68300002813339233,3.3636207580000002,8.4500408169999996,15.959882736000001
65,Al,ay1,1.4490000009536743,0.79804855600000002,9.7680778499999992,4.9879369740000001
66,Si,sy1,1.1000000238418579,1.639848113,17.391414642000001,7.6895365719999997
67,Al,ayt2,0.80000001192092896,1.572234511,11.342148781000001,7.6907334330000001
68,K,k+,1,-1.001559138,9.8987989429999992,9.9726829529999996
69,H,hoy,0.20000000298023224,1.314217567,14.874343872000001,6.1810688970000003
70,O,oy1,-0.78299999237060547,1.325518727,9.8510179519999994,8.3431463239999992
71,O,oy2,-0.78299999237060547,0.48361423599999998,16.324003220000002,8.1343183519999993
72,O,oy3,-0.78299999237060547,0.46030280000000001,12.353665352,8.3509254459999998
73,O,oy7,-0.75800001621246338,1.785613656,17.518531799000002,6.0520224569999996
74,O,oy8,-0.75800001621246338,1.3956093789999999,11.282648087,6.0530195239999998
75,O,oy9,-0.68300002813339233,1.7692798380000001,14.088209151999999,5.9871997830000003
76,Al,ay1,1.4490000009536743,2.3906331060000001,9.7680778499999992,14.957428931999999
77,Si,sy1,1.1000000238418579,1.548833728,17.391414642000001,12.255828856999999
78,Si,sy2,1.1000000238418579,1.61644733,11.342148781000001,12.254631996000001
79,H,hoy,0.20000000298023224,1.874464393,14.874343872000001,13.764296531999999
80,O,oy1,-0.55000001192092896,1.863163114,9.8510179519999994,11.602218627999999
81,O,oy2,-0.55000001192092896,2.705067396,16.324003220000002,11.811046599999999
82,O,oy3,-0.55000001192092896,2.7283790109999999,12.353665352,11.59444046
83,O,oy7,-0.75800001621246338,1.403068185,17.518531799000002,13.893342971999999
84,O,oy8,-0.75800001621246338,1.7930725810000001,11.282648087,13.892346381999999
85,O,oy9,-0.68300002813339233,1.4194020030000001,14.088209151999999,13.958166122
86,Al,ay2,1.4479999542236328,3.392192364,17.277822494999999,4.9847459790000004
