id,element,ff_type,charge,x,y,z
1,Al,ay2,1.4490000009536743,2.3900276410000001,1.3159270270000001,4.6891367319999997
2,Si,sy2,1.1000000238418579,0.59976172299999997,4.2208793150000004,7.370465651
3,Si,sy1,1.1000000238418579,3.2444182619999999,2.6858193859999999,7.3760713490000001
4,Si,sy1,1.1000000238418579,0.69258540700000004,7.1687309729999997,7.3760713490000001
5,O,oy5,-0.75800001621246338,2.9585860949999998,-0.186690946,5.7513021379999998
6,O,oy5,-0.75800001621246338,0.406753419,4.2962205390000001,5.7513021379999998
7,O,oy4,-0.75800001621246338,3.397925018,2.5576930029999998,5.7540590910000002
8,O,oy4,-0.75800001621246338,0.84609234200000005,7.0406043509999998,5.7540590910000002
9,O,oy6,-0.68300002813339233,0.79818576399999996,1.5262302139999999,5.6832970530000004
10,O,oy6,-0.68300002813339233,3.4063531139999998,6.0091421589999996,5.6832970530000004
11,O,oy3,-0.55000001192092896,-0.52708244500000001,3.2415151579999999,7.9881171139999996
12,O,oy3,-0.55000001192092896,2.081084846,7.7244269829999999,7.9881171139999996
13,O,oy1,-0.55000001192092896,2.9456161239999998,1.2207096799999999,7.9835218340000003
14,O,oy1,-0.55000001192092896,0.39378356799999997,5.7036211469999998,7.9835218340000003
15,O,oy2,-0.55000001192092896,2.076994537,3.725987194,7.7455045130000002
16,O,oy2,-0.55000001192092896,-0.47483798999999999,8.2088987810000003,7.7455045130000002
17,Al,ay2,1.4490000009536743,7.5500276409999998,1.3159270270000001,4.6891367319999997
18,Al,ay2,1.4490000009536743,4.9981948010000004,5.7988383749999999,4.6891367319999997
19,Si,sy2,1.1000000238418579,5.7597617230000004,4.2208793150000004,7.370465651
20,Si,sy1,1.1000000238418579,8.4044182620000001,2.6858193859999999,7.3760713490000001
21,Si,sy1,1.1000000238418579,5.8525854070000003,7.1687309729999997,7.3760713490000001
22,O,oy5,-0.75800001621246338,8.1185860949999995,-0.186690946,5.7513021379999998
23,O,oy5,-0.75800001621246338,5.5667534190000003,4.2962205390000001,5.7513021379999998
24,O,oy4,-0.75800001621246338,8.5579250180000006,2.5576930029999998,5.7540590910000002
25,O,oy4,-0.75800001621246338,6.0060923419999996,7.0406043509999998,5.7540590910000002
26,O,oy6,-0.68300002813339233,5.9581857640000004,1.5262302139999999,5.6832970530000004
27,O,oy6,-0.68300002813339233,8.566353114,6.0091421589999996,5.6832970530000004
28,O,oy3,-0.55000001192092896,4.6329175549999997,3.2415151579999999,7.9881171139999996
29,O,oy3,-0.55000001192092896,7.2410848459999997,7.7244269829999999,7.9881171139999996
30,O,oy1,-0.55000001192092896,8.1056161240000009,1.2207096799999999,7.9835218340000003
31,O,oy1,-0.55000001192092896,5.5537835680000001,5.7036211469999998,7.9835218340000003
32,O,oy2,-0.55000001192092896,7.2369945370000002,3.725987194,7.7455045130000002
33,O,oy2,-0.55000001192092896,4.68516201,8.2088987810000003,7.7455045130000002
34,Al,ay2,1.4490000009536743,12.710027641,1.3159270270000001,4.6891367319999997
35,Al,ay2,1.4490000009536743,10.158194801,5.7988383749999999,4.6891367319999997
36,Si,sy2,1.1000000238418579,10.919761723000001,4.2208793150000004,7.370465651
37,Si,sy1,1.1000000238418579,13.564418262,2.6858193859999999,7.3760713490000001
38,Si,sy1,1.1000000238418579,11.012585407,7.1687309729999997,7.3760713490000001
39,O,oy5,-0.75800001621246338,13.278586095,-0.186690946,5.7513021379999998
40,O,oy5,-0.75800001621246338,10.726753419,4.2962205390000001,5.7513021379999998
41,O,oy4,-0.75800001621246338,13.717925018000001,2.5576930029999998,5.7540590910000002
42,O,oy4,-0.75800001621246338,11.166092342000001,7.0406043509999998,5.7540590910000002
43,O,oy6,-0.68300002813339233,11.118185764,1.5262302139999999,5.6832970530000004
44,O,oy6,-0.68300002813339233,13.726353114,6.0091421589999996,5.6832970530000004
45,O,oy3,-0.55000001192092896,9.7929175550000007,3.2415151579999999,7.9881171139999996
46,O,oy3,-0.55000001192092896,12.401084846,7.7244269829999999,7.9881171139999996
47,O,oy1,-0.55000001192092896,13.265616123999999,1.2207096799999999,7.9835218340000003
48,O,oy1,-0.55000001192092896,10.713783568,5.7036211469999998,7.9835218340000003
49,O,oy2,-0.55000001192092896,12.396994536999999,3.725987194,7.7455045130000002
50,O,oy2,-0.55000001192092896,9.8451620099999992,8.2088987810000003,7.7455045130000002
51,Al,ay2,1.4490000009536743,17.870027641,1.3159270270000001,4.6891367319999997
52,Al,ay2,1.4490000009536743,15.318194801000001,5.7988383749999999,4.6891367319999997
53,Si,sy2,1.1000000238418579,16.079761723000001,4.2208793150000004,7.370465651
54,Si,sy1,1.1000000238418579,18.724418262,2.6858193859999999,7.3760713490000001
55,Si,sy1,1.1000000238418579,16.172585407,7.1687309729999997,7.3760713490000001
56,O,oy5,-0.75800001621246338,18.438586095000002,-0.186690946,5.7513021379999998
57,O,oy5,-0.75800001621246338,15.886753419,4.2962205390000001,5.7513021379999998
58,O,oy4,-0.75800001621246338,18.877925017999999,2.5576930029999998,5.7540590910000002
59,O,oy4,-0.75800001621246338,16.326092341999999,7.0406043509999998,5.7540590910000002
60,O,oy6,-0.68300002813339233,16.278185764,1.5262302139999999,5.6832970530000004
61,O,oy6,-0.68300002813339233,18.886353113999998,6.0091421589999996,5.6832970530000004
62,O,oy3,-0.55000001192092896,14.952917555000001,3.2415151579999999,7.9881171139999996
63,O,oy3,-0.55000001192092896,17.561084846,7.7244269829999999,7.9881171139999996
64,O,oy1,-0.55000001192092896,18.425616124000001,1.2207096799999999,7.9835218340000003
65,O,oy1,-0.55000001192092896,15.873783568,5.7036211469999998,7.9835218340000003
66,O,oy2,-0.55000001192092896,17.556994537000001,3.725987194,7.7455045130000002
67,O,oy2,-0.55000001192092896,15.005162009999999,8.2088987810000003,7.7455045130000002
68,Al,ay2,1.4490000009536743,23.030027641,1.3159270270000001,4.6891367319999997
69,Al,ay2,1.4490000009536743,20.478194801000001,5.7988383749999999,4.6891367319999997
70,Si,sy2,1.1000000238418579,21.239761723000001,4.2208793150000004,7.370465651
71,Si,sy1,1.1000000238418579,23.884418262000001,2.6858193859999999,7.3760713490000001
72,Si,sy1,1.1000000238418579,21.332585407,7.1687309729999997,7.3760713490000001
73,O,oy5,-0.75800001621246338,23.598586095000002,-0.186690946,5.7513021379999998
74,O,oy5,-0.75800001621246338,21.046753419000002,4.2962205390000001,5.7513021379999998
75,O,oy4,-0.75800001621246338,24.037925017999999,2.5576930029999998,5.7540590910000002
76,O,oy4,-0.75800001621246338,21.486092341999999,7.0406043509999998,5.7540590910000002
77,O,oy6,-0.68300002813339233,21.438185764,1.5262302139999999,5.6832970530000004
78,O,oy6,-0.68300002813339233,24.046353113999999,6.0091421589999996,5.6832970530000004
79,O,oy3,-0.55000001192092896,20.112917554999999,3.2415151579999999,7.9881171139999996
80,O,oy3,-0.55000001192092896,22.721084846,7.7244269829999999,7.9881171139999996
81,O,oy1,-0.55000001192092896,23.585616124000001,1.2207096799999999,7.9835218340000003
82,O,oy1,-0.55000001192092896,21.033783568,5.7036211469999998,7.9835218340000003
83,O,oy2,-0.55000001192092896,22.716994537000001,3.725987194,7.7455045130000002
84,O,oy2,-0.55000001192092896,20.16516201,8.2088987810000003,7.7455045130000002
85,Al,ay2,1.4490000009536743,2.44636231,10.281750046000001,4.6891367319999997
86,Si,sy2,1.1000000238418579,3.2079289489999998,8.7037908290000008,7.370465651
