id,element,ff_type,charge,x,y,z
1,O,oap1,-0.80000001192092896,0.81221617700000004,2.801366486,0.48331248599999999
2,O,oap1,-0.80000001192092896,1.876337369,7.4580778270000003,0.48331248599999999
3,O,oap1,-0.80000001192092896,-2.6885535460000001,6.0512781420000001,0.48331248599999999
4,O,oap1,-0.80000001192092896,3.8962838230000001,5.3539947410000002,3.920812486
5,O,oap1,-0.80000001192092896,2.8321626310000001,0.69728340099999997,3.920812486
6,O,oap1,-0.80000001192092896,7.3970535460000004,2.1040830860000002,3.920812486
7,O,oap1,-0.80000001192092896,3.8962838230000001,5.3539947410000002,6.391687514
8,O,oap1,-0.80000001192092896,2.8321626310000001,0.69728340099999997,6.391687514
9,O,oap1,-0.80000001192092896,7.3970535460000004,2.1040830860000002,6.391687514
10,O,oap1,-0.80000001192092896,0.81221617700000004,2.801366486,2.954187514
11,O,oap1,-0.80000001192092896,1.876337369,7.4580778270000003,2.954187514
12,O,oap1,-0.80000001192092896,-2.6885535460000001,6.0512781420000001,2.954187514
13,Ca,ca+h,1.5,4.7084999999999999,2.7184537419999999,0.0099000000000000008
14,Ca,ca+h,1.5,-0,5.4369074849999999,3.4474
15,Ca,ca+h,1.5,0,5.4369074849999999,6.8651
16,Ca,ca+h,1.5,4.7084999999999999,2.7184537419999999,3.4276
17,Ca,ca+h,1.5,-1.1014123199999999,2.0148635449999999,1.71875
18,P,pap,1,1.5940156729999999,3.2512163410000001,1.71875
19,O,oap1,-0.80000001192092896,1.6136026910000001,4.7880128129999999,1.71875
20,O,oap1,-0.80000001192092896,3.0186194400000002,2.6822983840000001,1.71875
21,Ca,ca+h,1.5,3.5142831449999998,6.194078406,1.71875
22,P,pap,1,1.0958562190000001,7.9102111239999999,1.71875
23,O,oap1,-0.80000001192092896,-0.24484207499999999,7.1587757429999996,1.71875
24,O,oap1,-0.80000001192092896,0.876251738,9.4284131549999994,1.71875
25,Ca,ca+h,1.5,-2.4128708250000002,8.1017805040000006,1.71875
26,P,pap,1,-2.6898718920000002,5.1492949899999996,1.71875
27,O,oap1,-0.80000001192092896,-1.3687606160000001,4.3639338990000001,1.71875
28,O,oap1,-0.80000001192092896,-3.8948711789999999,4.200010915,1.71875
29,Ca,ca+h,1.5,5.8099123199999996,6.1404976830000004,5.15625
30,P,pap,1,3.114484327,4.9041448870000002,5.15625
31,O,oap1,-0.80000001192092896,3.0948973089999998,3.3673484139999998,5.15625
32,O,oap1,-0.80000001192092896,1.68988056,5.4730628430000001,5.15625
33,Ca,ca+h,1.5,1.1942168550000001,1.961282822,5.15625
34,P,pap,1,3.6126437810000001,0.24515010400000001,5.15625
35,O,oap1,-0.80000001192092896,4.9533420750000001,0.99658548499999999,5.15625
36,O,oap1,-0.80000001192092896,3.8322482619999998,-1.2730519280000001,5.15625
37,Ca,ca+h,1.5,7.1213708249999996,0.053580722999999997,5.15625
38,P,pap,1,7.3983718920000001,3.0060662370000002,5.15625
39,O,oap1,-0.80000001192092896,6.0772606160000002,3.7914273280000002,5.15625
40,O,oap1,-0.80000001192092896,8.6033711789999998,3.9553503120000002,5.15625
41,O,oap2,-1.1000000238418579,-0,0,5.5144375190000003
42,O,oap2,-1.1000000238418579,0,0,2.0769375189999999
43,H,hop,0.20000000298023224,-0.000117823,0.000199318,6.6244374930000003
44,H,hop,0.20000000298023224,0.0041914209999999999,-0.007016886,3.1869074209999999
