id,element,ff_type,charge,x,y,z
1,O,oc23,-0.55000001192092896,1.19352528,0.51392872000000001,1.2398011200000001
2,Si,sc4,1.1000000238418579,1.4935991200000001,1.4935991200000001,0
3,O,oc23,-0.55000001192092896,3.78447472,4.4640712799999998,4.7138011200000003
4,O,oc23,-0.55000001192092896,4.4640712799999998,3.78447472,2.2341988800000001
5,Si,sc4,1.1000000238418579,3.4844008799999999,3.4844008799999999,3.4740000000000002
6,O,oc23,-0.55000001192092896,1.9750712800000001,3.6825252800000001,2.9768011200000002
7,O,oc23,-0.55000001192092896,1.2954747200000001,3.0029287199999999,0.49719888000000001
8,Si,sc4,1.1000000238418579,0.99540088000000004,3.9825991200000002,1.7370000000000001
9,O,oc23,-0.55000001192092896,3.0029287199999999,1.2954747200000001,6.4508011200000004
10,O,oc23,-0.55000001192092896,3.6825252800000001,1.9750712800000001,3.9711988800000002
11,Si,sc4,1.1000000238418579,3.9825991200000002,0.99540088000000004,5.2110000000000003
12,O,oc23,-0.55000001192092896,5.4919287199999998,1.19352528,5.7081988800000003
